PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfId,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
Afghanistan,23,5,2014,Reserve,298,AFG-14/ER/CCS/UN/298,Coordination and Support Services,,100,1000000.02
Afghanistan,23,2,2014,Reserve,291,AFG-14/ER/H/INGO/291,Health,,100,53393
Afghanistan,23,2,2014,Reserve,292,AFG-14/ER/H/INGO/292,Health,,100,50000.03
Afghanistan,23,2,2014,Reserve,289,AFG-14/ER/H/NGO/289,Health,,100,66943.48
Afghanistan,23,2,2014,Reserve,288,AFG-14/ER/H/UN/288,Health,,100,165951.66
Afghanistan,23,5,2014,Reserve,301,AFG-14/ER/MS/INGO/301,Multi-Sector,,100,499999.88
Afghanistan,23,5,2014,Reserve,303,AFG-14/ER/MS/INGO/303,Multi-Sector,,100,300935.65
Afghanistan,23,5,2014,Reserve,305,AFG-14/ER/MS/UN/305,Multi-Sector,,100,1299997.87
Afghanistan,23,5,2014,Reserve,306,AFG-14/ER/MS/UN/306,Multi-Sector,,100,1700000.02
Afghanistan,23,5,2014,Reserve,308,AFG-14/ER/MS/UN/308,Multi-Sector,,100,199983
Afghanistan,23,2,2014,Reserve,294,AFG-14/ER/NFI/INGO/294,Emergency Shelter and NFI,,100,85407.4
Afghanistan,23,2,2014,Reserve,296,AFG-14/ER/NFI/INGO/296,Emergency Shelter and NFI,,100,560948.22
Afghanistan,23,1,2014,Standard,213,AFG-14/S1/CCS/UN/213,Coordination and Support Services,,100,1535993.56
Afghanistan,23,1,2014,Standard,225,AFG-14/S1/H/INGO/225,Health,,100,1510044.04
Afghanistan,23,1,2014,Standard,235,AFG-14/S1/H/INGO/235,Health,,100,751365.13
Afghanistan,23,1,2014,Standard,243,AFG-14/S1/H/INGO/243,Health,,100,862829.81
Afghanistan,23,1,2014,Standard,250,AFG-14/S1/H/INGO/250,Health,,100,575053.67
Afghanistan,23,1,2014,Standard,254,AFG-14/S1/H/NGO/254,Health,,100,814842.45
Afghanistan,23,1,2014,Standard,236,AFG-14/S1/H/UN/236,Health,,100,3713951.27
Afghanistan,23,1,2014,Standard,252,AFG-14/S1/H/UN/252,Health,,100,395589.7
Afghanistan,23,1,2014,Standard,231,AFG-14/S1/N/INGO/231,Nutrition,,100,876510.73
Afghanistan,23,1,2014,Standard,234,AFG-14/S1/N/INGO/234,Nutrition,,100,574336.15
Afghanistan,23,1,2014,Standard,238,AFG-14/S1/N/INGO/238,Nutrition,,100,311487.53
Afghanistan,23,1,2014,Standard,240,AFG-14/S1/N/INGO/240,Nutrition,,100,435260.7
Afghanistan,23,1,2014,Standard,247,AFG-14/S1/N/INGO/247,Nutrition,,100,526145
Afghanistan,23,1,2014,Standard,251,AFG-14/S1/N/INGO/251,Nutrition,,100,456600.01
Afghanistan,23,1,2014,Standard,248,AFG-14/S1/N/NGO/248,Nutrition,,100,462213.25
Afghanistan,23,1,2014,Standard,223,AFG-14/S1/N/UN/223,Nutrition,,100,5330878.63
Afghanistan,23,4,2014,Standard,269,AFG-14/SA2/CCS/UN/269,Coordination and Support Services,,100,3000000
Afghanistan,23,4,2014,Standard,264,AFG-14/SA2/N/INGO/264,Nutrition,,100,639082.05
Afghanistan,23,4,2014,Standard,275,AFG-14/SA2/N/INGO/275,Nutrition,,100,424097.87
Afghanistan,23,4,2014,Standard,284,AFG-14/SA2/N/NGO/284,Nutrition,,100,439856.7
Afghanistan,23,4,2014,Standard,272,AFG-14/SA2/N/UN/272,Nutrition,,100,4505680.57
Afghanistan,23,4,2014,Standard,287,AFG-14/SA2/N/UN/287,Nutrition,,100,644606.52
Afghanistan,23,11,2015,Reserve,454,AFG-15/3481/AFG/CCS/UN/454,Coordination and Support Services,,100,1746042.2
Afghanistan,23,12,2015,Reserve,458,AFG-15/3481/AFG/ESNFI/INGO/458,Emergency Shelter and NFI,,100,437380.96
