PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
23,Afghanistan,AFG23,CHF/000038/HAF10/3-2014/2460,2014,OCHA (Office for the Coordination of Humanitarian Affairs),1,25,UNOCHA,UN,3/25/2014 12:00:00 AM,1087230.72,1/1/0001 12:00:00 AM,4/17/2014 12:00:00 AM,1087230.72,1/1/0001 12:00:00 AM,USD ,1,USD ,1,1087231,1087231,0
23,Afghanistan,AFG23,CHF/000055/HAF10/6-2014/2525,2014,Government of Australia,2,3,Australia,AU,6/3/2014 12:00:00 AM,371040,1/1/0001 12:00:00 AM,6/10/2014 12:00:00 AM,371040,1/1/0001 12:00:00 AM,AUD ,1.08,AUD ,1.08,399981,399981,0
23,Afghanistan,AFG23,CHF/000187/HAF10/5-2014/2522,2014,Government of Norway,12,17,Norway,NO,6/2/2014 12:00:00 AM,1340450.57,1/1/0001 12:00:00 AM,6/11/2014 12:00:00 AM,1340450.57,1/1/0001 12:00:00 AM,NOK ,5.97,NOK ,5.97,7997128,7997128,0
23,Afghanistan,AFG23,CHF/000204/HAF10/12-2014/2879,2014,Government of Republic of Korea,14,63,Republic of Korea,KR,12/4/2014 12:00:00 AM,5000000,1/1/0001 12:00:00 AM,12/17/2014 12:00:00 AM,5000000,1/1/0001 12:00:00 AM,USD ,1,USD ,1,5000000,5000000,0
23,Afghanistan,AFG23,CHF/000204/HAF10/6-2014/2520,2014,Government of Republic of Korea,14,63,Republic of Korea,KR,5/29/2014 12:00:00 AM,1000000,1/1/0001 12:00:00 AM,6/13/2014 12:00:00 AM,1000000,1/1/0001 12:00:00 AM,USD ,1,USD ,1,1000000,1000000,0
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2014/2869,2014,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,12/3/2014 12:00:00 AM,9449656.88,1/1/0001 12:00:00 AM,12/17/2014 12:00:00 AM,9375600,1/1/0001 12:00:00 AM,GBP ,0.63,GBP ,0.64,5981633,5981633,0
23,Afghanistan,AFG23,CHF/000551/HAF10/3-2014/2461,2014,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,3/18/2014 12:00:00 AM,8254000,1/1/0001 12:00:00 AM,3/27/2014 12:00:00 AM,8254000,1/1/0001 12:00:00 AM,GBP ,0.6,GBP ,0.6,4952400,4952400,0
23,Afghanistan,AFG23,CHF/000551/HAF10/9-2014/2461,2014,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,3/18/2014 12:00:00 AM,8293260,1/1/0001 12:00:00 AM,9/4/2014 12:00:00 AM,8252000,1/1/0001 12:00:00 AM,GBP ,0.6,GBP ,0.6,4975956,4975956,0
23,Afghanistan,AFG23,CHF/000555/HAF10/3-2014/2517,2014,Sida,20,22,Sweden,SE,4/22/2014 12:00:00 AM,12093951.65,1/1/0001 12:00:00 AM,5/23/2014 12:00:00 AM,11970374.6,1/1/0001 12:00:00 AM,SEK ,6.49,SEK ,6.56,78489746,78489746,0
23,Afghanistan,AFG23,CHF/000555/HAF10/3-2015/3110,2015,Sida,20,22,Sweden,SE,3/27/2015 12:00:00 AM,8085911.09,1/1/0001 12:00:00 AM,4/2/2015 12:00:00 AM,8073705.23,1/1/0001 12:00:00 AM,SEK ,8.6,SEK ,8.61,69530749,69530749,0
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2015/2869,2015,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,12/3/2014 12:00:00 AM,9450161.14,1/1/0001 12:00:00 AM,8/13/2015 12:00:00 AM,9346800,1/1/0001 12:00:00 AM,GBP ,0.63,GBP ,0.64,5981952,5981952,0
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2015/3521,2015,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,12/2/2015 12:00:00 AM,9022838.86,1/1/0001 12:00:00 AM,12/31/2015 12:00:00 AM,8875800,1/1/0001 12:00:00 AM,GBP ,0.66,GBP ,0.68,5991165,5991165,0
23,Afghanistan,AFG23,CHF/000204/HAF10/11-2015/3556,2015,Government of Republic of Korea,14,63,Republic of Korea,KR,11/16/2015 12:00:00 AM,200000,1/1/0001 12:00:00 AM,12/3/2015 12:00:00 AM,200000,1/1/0001 12:00:00 AM,USD ,1,USD ,1,200000,200000,0
23,Afghanistan,AFG23,CHF/000187/HAF10/5-2015/3244,2015,Government of Norway,12,17,Norway,NO,5/19/2015 12:00:00 AM,1191797.97,1/1/0001 12:00:00 AM,6/1/2015 12:00:00 AM,1147927.18,1/1/0001 12:00:00 AM,NOK ,7.56,NOK ,7.85,9012376,9012376,0
23,Afghanistan,AFG23,CHF/000055/HAF10/6-2015/3283,2015,Government of Australia,2,3,Australia,AU,6/11/2015 12:00:00 AM,2320097.34,1/1/0001 12:00:00 AM,6/26/2015 12:00:00 AM,2320097.34,1/1/0001 12:00:00 AM,AUD ,1.31,AUD ,1.31,3041648,3041648,0
23,Afghanistan,AFG23,CHF/000055/HAF10/1-2015/3062,2015,Government of Australia,2,3,Australia,AU,2/10/2015 12:00:00 AM,3882944.04,1/1/0001 12:00:00 AM,4/8/2015 12:00:00 AM,3823480.89,1/1/0001 12:00:00 AM,AUD ,1.29,AUD ,1.31,4993466,4993466,0
23,Afghanistan,AFG23,CHF/000095/HAF10/12-2014/2990,2015,Government of Denmark,5,8,Denmark,DK,12/23/2014 12:00:00 AM,3285003.56,1/1/0001 12:00:00 AM,1/22/2015 12:00:00 AM,3116235.59,1/1/0001 12:00:00 AM,DKK ,6,DKK ,6.33,19713306,19713306,0
23,Afghanistan,AFG23,CHF/000117/HAF10/10-2015/3455,2015,Government of Germany,7,11,Germany,DE,10/27/2015 12:00:00 AM,1095525.93,1/1/0001 12:00:00 AM,11/17/2015 12:00:00 AM,1070300,1/1/0001 12:00:00 AM,EUR ,0.89,EUR ,0.91,976114,976114,0
23,Afghanistan,AFG23,CHF/000117/HAF10/12-2016/4201,2016,Government of Germany,7,11,Germany,DE,12/5/2016 12:00:00 AM,7943975,1/1/0001 12:00:00 AM,12/12/2016 12:00:00 AM,7943975,1/1/0001 12:00:00 AM,EUR ,0.94,EUR ,0.94,7483224,7483224,0
23,Afghanistan,AFG23,CHF/000117/HAF10/4-2016/3792,2016,Government of Germany,7,11,Germany,DE,4/18/2016 12:00:00 AM,1122900,1/1/0001 12:00:00 AM,4/26/2016 12:00:00 AM,1122900,1/1/0001 12:00:00 AM,EUR ,0.89,EUR ,0.89,996012,996012,0
23,Afghanistan,AFG23,CHF/000095/HAF10/1-2016/3676,2016,Government of Denmark,5,8,Denmark,DK,1/15/2016 12:00:00 AM,1448393.73,1/1/0001 12:00:00 AM,1/25/2016 12:00:00 AM,1448393.73,1/1/0001 12:00:00 AM,DKK ,6.88,DKK ,6.88,9962052,9962052,0
23,Afghanistan,AFG23,CHF/000055/HAF10/4-2016/3807,2016,Government of Australia,2,3,Australia,AU,5/3/2016 12:00:00 AM,5848785.37,1/1/0001 12:00:00 AM,5/13/2016 12:00:00 AM,5848785.38,1/1/0001 12:00:00 AM,AUD ,1.31,AUD ,1.31,7679455,7679455,0
23,Afghanistan,AFG23,CHF/000187/HAF10/6-2016/3872,2016,Government of Norway,12,17,Norway,NO,6/21/2016 12:00:00 AM,2345313.27,1/1/0001 12:00:00 AM,6/28/2016 12:00:00 AM,2345313.27,1/1/0001 12:00:00 AM,NOK ,8.29,NOK ,8.29,19447338,19447338,0
23,Afghanistan,AFG23,CHF/000187/HAF10/10-2016/4069,2016,Government of Norway,12,17,Norway,NO,10/10/2016 12:00:00 AM,1255495.51,1/1/0001 12:00:00 AM,10/20/2016 12:00:00 AM,1226652.84,1/1/0001 12:00:00 AM,NOK ,8.04,NOK ,8.23,10091673,10091673,0
23,Afghanistan,AFG23,CHF/000182/HAF10/3-2016/3752,2016,Government of Netherlands,11,16,Netherlands,NL,3/23/2016 12:00:00 AM,6718692.73,1/1/0001 12:00:00 AM,4/4/2016 12:00:00 AM,6810000,1/1/0001 12:00:00 AM,EUR ,0.9,EUR ,0.88,6013230,6013230,0
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2016/3521,2016,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,12/2/2015 12:00:00 AM,5217127.41,1/1/0001 12:00:00 AM,9/30/2016 12:00:00 AM,4540200,1/1/0001 12:00:00 AM,GBP ,0.66,GBP ,0.76,3464173,3464173,0
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2016/4182,2016,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,12/8/2016 12:00:00 AM,9309000,1/1/0001 12:00:00 AM,12/19/2016 12:00:00 AM,9309000,1/1/0001 12:00:00 AM,GBP ,0.8,GBP ,0.8,7447200,7447200,0
23,Afghanistan,AFG23,CHF/000232/HAF10/12-2016/4183,2016,Government of Switzerland,16,24,Switzerland,CH,12/8/2016 12:00:00 AM,399965,1/1/0001 12:00:00 AM,12/14/2016 12:00:00 AM,399965,1/1/0001 12:00:00 AM,USD ,1,USD ,1,399965,399965,0
23,Afghanistan,AFG23,CHF/000555/HAF10/3-2016/3714,2016,Sida,20,22,Sweden,SE,3/4/2016 12:00:00 AM,7467624,1/1/0001 12:00:00 AM,3/11/2016 12:00:00 AM,7467624,1/1/0001 12:00:00 AM,SEK ,8.53,SEK ,8.53,63683897,63683897,0
23,Afghanistan,AFG23,CHF/000551/HAF10/9-2016/3521,2016,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,12/2/2015 12:00:00 AM,8943646.99,1/1/0001 12:00:00 AM,9/30/2016 12:00:00 AM,7783200,1/1/0001 12:00:00 AM,GBP ,0.66,GBP ,0.76,5938582,5938582,0
23,Afghanistan,AFG23,CHF/000555/HAF10/11-2016/4180,2016,Sida,20,22,Sweden,SE,11/28/2016 12:00:00 AM,2204587.59,1/1/0001 12:00:00 AM,12/5/2016 12:00:00 AM,2171761.98,1/1/0001 12:00:00 AM,SEK ,9.06,SEK ,9.2,19982382,19982382,0
23,Afghanistan,AFG23,CHF/000555/HAF10/8-2016/3988,2016,Sida,20,22,Sweden,SE,8/12/2016 12:00:00 AM,814771.23,1/1/0001 12:00:00 AM,8/16/2016 12:00:00 AM,832534.02,1/1/0001 12:00:00 AM,SEK ,8.62,SEK ,8.44,7026587,7026587,0
23,Afghanistan,AFG23,CHF/000555/HAF10/2-2017/4347,2017,Sida,20,22,Sweden,SE,2/10/2017 12:00:00 AM,6558957.02,1/1/0001 12:00:00 AM,2/17/2017 12:00:00 AM,6558957.02,1/1/0001 12:00:00 AM,SEK ,8.85,SEK ,8.85,58073005,58073005,0
23,Afghanistan,AFG23,CHF/000551/HAF10/9-2017/3521,2017,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,12/2/2015 12:00:00 AM,9351646.9,1/1/0001 12:00:00 AM,9/29/2017 12:00:00 AM,8032980,1/1/0001 12:00:00 AM,GBP ,0.66,GBP ,0.77,6209494,6209494,0
23,Afghanistan,AFG23,CHF/000555/HAF10/7-2017/4579,2017,Sida,20,22,Sweden,SE,7/12/2017 12:00:00 AM,1804738.13,1/1/0001 12:00:00 AM,7/19/2017 12:00:00 AM,1804738.13,1/1/0001 12:00:00 AM,SEK ,8.57,SEK ,8.57,15468411,15468411,0
23,Afghanistan,AFG23,CHF/000232/HAF10/6-2017/4183,2017,Government of Switzerland,16,24,Switzerland,CH,12/8/2016 12:00:00 AM,199965,1/1/0001 12:00:00 AM,7/21/2017 12:00:00 AM,199965,1/1/0001 12:00:00 AM,USD ,1,USD ,1,199965,199965,0
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2017/3521,2017,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,12/2/2015 12:00:00 AM,9024485.69,1/1/0001 12:00:00 AM,12/29/2017 12:00:00 AM,8043300,1/1/0001 12:00:00 AM,GBP ,0.66,GBP ,0.75,5992258,5992259,0
23,Afghanistan,AFG23,CHF/000187/HAF10/4-2017/4457,2017,Government of Norway,12,17,Norway,NO,4/24/2017 12:00:00 AM,2109784.11,1/1/0001 12:00:00 AM,5/3/2017 12:00:00 AM,2109293.8,1/1/0001 12:00:00 AM,NOK ,8.6,NOK ,8.61,18152582,18152582,0
23,Afghanistan,AFG23,CHF/000204/HAF10/9-2017/4673,2017,Government of Republic of Korea,14,63,Republic of Korea,KR,9/20/2017 12:00:00 AM,5899513,1/1/0001 12:00:00 AM,11/1/2017 12:00:00 AM,5899513,1/1/0001 12:00:00 AM,USD ,1,USD ,1,5899513,5899513,0
23,Afghanistan,AFG23,CHF/000055/HAF10/2-2017/3807,2017,Government of Australia,2,3,Australia,AU,5/3/2016 12:00:00 AM,6154315.76,1/1/0001 12:00:00 AM,2/10/2017 12:00:00 AM,6103184.74,1/1/0001 12:00:00 AM,AUD ,1.31,AUD ,1.32,8080617,8080617,0
23,Afghanistan,AFG23,CHF/000095/HAF10/1-2017/4300,2017,Government of Denmark,5,8,Denmark,DK,1/9/2017 12:00:00 AM,2842726.17,1/1/0001 12:00:00 AM,1/10/2017 12:00:00 AM,2842726.17,1/1/0001 12:00:00 AM,DKK ,7.1,DKK ,7.1,20191884,20191884,0
