PooledFundName,PooledFundId,AllocationTypeId,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectStartDate,ProjectEndDate,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,Men,Women,Boys,Girls,ProjectSummary,IndirectBeneficiaries,CatchmentPopulation,AllocationStrategy,HumanitarianContext,GrantRequestJustification,DescriptionOfBeneficiaries,NeedsAssessment,Activities,ImplementationPlan,Monitoring_Eval,CrossCuttingIssues,EnvironmentMarker,GenderMarker,GenderTheme,FieldSecurity,Access,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AllocationTypeCategoryId,AllocationTypeCategory,ApprovedDate
Afghanistan,23,1,213,AFG-14/S1/CCS/UN/213,,2014 1st Standard Allocation,2014,2,Standard,United Nations Office for the Coordination of Humanitarian Affairs,UN Agency,Afghanistan CHF - 2014 Humanitarian Financing Unit (HFU) Proposal,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12 Months,1535993.56,1259088,176420,2/10/2014 7:09:49 AM,75,0,0,0,,,,,,,,,,,,,A+: Neutral Impact on environment with mitigation or enhancement,"4- Not applicable - Only used for very small number of projects, such as 'support services'",,,,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,17564.0880,4,HFU Management Cost,11/30/2017 11:02:00 PM
Afghanistan,23,1,223,AFG-14/S1/N/UN/223,,2014 1st Standard Allocation,2014,2,Standard,United Nations Children's Fund,UN Agency,Establishment and expansion of integrated management of severe acute malnourished (SAM) in children under five and prevention of Micronutrient deficiencies in 6-23 months children in vulnerable communities in targeted districts of Afghanistan,5/1/2014 12:00:00 AM,5/1/2015 12:00:00 AM,15 Months,5330878.63,4529208.7,452920.86,3/20/2014 3:14:44 PM,380,80300,71352,68554,,,,,,,,,,,,,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,,,,5/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,26719.8360,1,Core activities,8/31/2018 10:02:00 PM
Afghanistan,23,1,225,AFG-14/S1/H/INGO/225,,2014 1st Standard Allocation,2014,2,Standard,EMERGENCY Life Support for Civilian War Victims,International NGO,"Life saving health and referral services for trauma affected population in Helmand, Kabul, Paktia, Logar, Ghazni, Kapisa and Maidan-Wardak Provinces.",6/15/2014 12:00:00 AM,6/14/2015 12:00:00 AM,12 Months,1510044.04,1390856.11,20400,3/20/2014 6:30:35 AM,21618,3081,10660,4790,,,,,,,,,,,,,A+: Neutral Impact on environment with mitigation or enhancement,3- Not Specified,,,,6/15/2014 12:00:00 AM,6/14/2015 12:00:00 AM,Under Closure,247,PRJ_UND_CLSR,Project Closure,16,63529.6800,2,Field activities,6/22/2014 11:15:22 AM
Afghanistan,23,1,231,AFG-14/S1/N/INGO/231,,2014 1st Standard Allocation,2014,2,Standard,Action Contre la Faim,International NGO,"Strengthening nutrition interventions design, monitoring and evaluation in Afghanistan",7/1/2014 12:00:00 AM,6/30/2015 12:00:00 AM,16 Months,876510.73,589315.73,229853.18,3/20/2014 2:29:34 PM,181,130,0,0,,,,,,,,,,,,,A: Neutral Impact on environment with No mitigation,2a- The project is designed to contribute significantly to gender equality,,,,7/1/2014 12:00:00 AM,10/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,63342.8280,2,Field activities,7/3/2014 4:31:25 AM
Afghanistan,23,1,234,AFG-14/S1/N/INGO/234,,2014 1st Standard Allocation,2014,2,Standard,Save the Children Fund,International NGO,Improving the nutrition status of children affected by malnutrition,6/1/2014 12:00:00 AM,5/31/2015 12:00:00 AM,12 Months,574336.15,428470.16,108292.6,3/20/2014 1:45:52 PM,210,36042,12560,12561,,,,,,,,,,,,,A+: Neutral Impact on environment with mitigation or enhancement,1- The project is designed to contribute in some limited way to gender equality,,,,6/1/2014 12:00:00 AM,5/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,21301.1280,0,,7/8/2014 7:08:59 AM
Afghanistan,23,1,235,AFG-14/S1/H/INGO/235,,2014 1st Standard Allocation,2014,2,Standard,International Medical Corps UK,International NGO,Live Saving Emergency Services to the Conflict-affected People in Noristan and Paktika  Provinces,6/1/2014 12:00:00 AM,5/30/2015 12:00:00 AM,14 Months,751365.13,582084.96,120125.44,3/20/2014 7:09:37 AM,8555,8146,2005,2005,,,,,,,,,,,,,B+: Medium environmental impact with mitigation(sector guidance),1- The project is designed to contribute in some limited way to gender equality,,,,6/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,11771.6760,0,,7/13/2014 11:36:39 AM
Afghanistan,23,1,236,AFG-14/S1/H/UN/236,,2014 1st Standard Allocation,2014,2,Standard,World Health Organization,UN Agency,Effective emergency health response in high risk provinces including  provision of children and women’s special needs,6/1/2014 12:00:00 AM,5/31/2015 12:00:00 AM,12 Months,3713951.27,3357965.5,113017,3/19/2014 3:09:21 PM,160759,166477,41450,43141,,,,,,,,,,,,,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,,,,6/1/2014 12:00:00 AM,5/31/2015 12:00:00 AM,Under Final Reporting,307,PRJ_UND_FINAL_RPT,Reporting,15,28214.6520,0,,1/1/0001 12:00:00 AM
Afghanistan,23,1,238,AFG-14/S1/N/INGO/238,,2014 1st Standard Allocation,2014,2,Standard,International Medical Corps UK,International NGO,Prevention and Treatment of acute malnutrition in Paktika and Nuristan Provinces,6/1/2014 12:00:00 AM,5/30/2015 12:00:00 AM,13 Months,311487.53,248730.18,42379.66,3/20/2014 10:37:46 AM,428,1401,2014,2014,,,,,,,,,,,,,A+: Neutral Impact on environment with mitigation or enhancement,1- The project is designed to contribute in some limited way to gender equality,,,,6/1/2014 12:00:00 AM,6/30/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,11771.6760,0,,7/13/2014 11:37:52 AM
Afghanistan,23,1,240,AFG-14/S1/N/INGO/240,,2014 1st Standard Allocation,2014,2,Standard,Healthnet International and Transcultural Psychosocial Organization,International NGO,Treatment of Acute malnourished in most the under served conflict affected districts of Khost and Paktya (HealthNet TPO cluster) provinces.,5/13/2014 12:00:00 AM,5/12/2015 12:00:00 AM,12 Months,435260.7,277960,128825.7,3/20/2014 10:25:21 AM,342,9918,13193,13193,,,,,,,,,,,,,B+: Medium environmental impact with mitigation(sector guidance),2a- The project is designed to contribute significantly to gender equality,,,,5/13/2014 12:00:00 AM,5/12/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,64090.2360,0,,6/26/2014 9:15:43 AM
Afghanistan,23,1,243,AFG-14/S1/H/INGO/243,,2014 1st Standard Allocation,2014,2,Standard,Healthnet International and Transcultural Psychosocial Organization,International NGO,Providing emergency health care in prioritizing access to critical services through Nangarhar Regional Hospital and provincial hospitals of Khost and Paktya,5/13/2014 12:00:00 AM,5/12/2015 12:00:00 AM,12 Months,862829.81,803980,2403,3/20/2014 1:44:00 PM,9693,1770,553,594,,,,,,,,,,,,,B+: Medium environmental impact with mitigation(sector guidance),2a- The project is designed to contribute significantly to gender equality,,,,5/13/2014 12:00:00 AM,5/12/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,64090.2360,0,,6/26/2014 11:56:43 AM
