PooledFundId,PooledFundName,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectDuration,Budget,EnvironmentMarker,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AdminLocation1TypeName,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLevel1PCode,AdminLevel1Percentage
23,Afghanistan,213,AFG-14/S1/CCS/UN/213,,2014 1st Standard Allocation,2014,2,Standard,United Nations Office for the Coordination of Humanitarian Affairs,UN Agency,Afghanistan CHF - 2014 Humanitarian Financing Unit (HFU) Proposal,12 Months,1535993.56,A+: Neutral Impact on environment with mitigation or enhancement,"4- Not applicable - Only used for very small number of projects, such as 'support services'",1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,17564.0880,Province,Balkh,36.89091580,67.18944880,1801,10.00000
23,Afghanistan,213,AFG-14/S1/CCS/UN/213,,2014 1st Standard Allocation,2014,2,Standard,United Nations Office for the Coordination of Humanitarian Affairs,UN Agency,Afghanistan CHF - 2014 Humanitarian Financing Unit (HFU) Proposal,12 Months,1535993.56,A+: Neutral Impact on environment with mitigation or enhancement,"4- Not applicable - Only used for very small number of projects, such as 'support services'",1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,17564.0880,Province,Hirat,34.34194400,62.20305600,30,10.00000
23,Afghanistan,213,AFG-14/S1/CCS/UN/213,,2014 1st Standard Allocation,2014,2,Standard,United Nations Office for the Coordination of Humanitarian Affairs,UN Agency,Afghanistan CHF - 2014 Humanitarian Financing Unit (HFU) Proposal,12 Months,1535993.56,A+: Neutral Impact on environment with mitigation or enhancement,"4- Not applicable - Only used for very small number of projects, such as 'support services'",1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,17564.0880,Province,Kabul,34.53333300,69.16666700,1,60.00000
23,Afghanistan,213,AFG-14/S1/CCS/UN/213,,2014 1st Standard Allocation,2014,2,Standard,United Nations Office for the Coordination of Humanitarian Affairs,UN Agency,Afghanistan CHF - 2014 Humanitarian Financing Unit (HFU) Proposal,12 Months,1535993.56,A+: Neutral Impact on environment with mitigation or enhancement,"4- Not applicable - Only used for very small number of projects, such as 'support services'",1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,17564.0880,Province,Kandahar,30.99606790,65.47573600,33,10.00000
23,Afghanistan,213,AFG-14/S1/CCS/UN/213,,2014 1st Standard Allocation,2014,2,Standard,United Nations Office for the Coordination of Humanitarian Affairs,UN Agency,Afghanistan CHF - 2014 Humanitarian Financing Unit (HFU) Proposal,12 Months,1535993.56,A+: Neutral Impact on environment with mitigation or enhancement,"4- Not applicable - Only used for very small number of projects, such as 'support services'",1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,17564.0880,Province,Nangarhar,34.17183130,70.62167940,6,10.00000
23,Afghanistan,223,AFG-14/S1/N/UN/223,,2014 1st Standard Allocation,2014,2,Standard,United Nations Children's Fund,UN Agency,Establishment and expansion of integrated management of severe acute malnourished (SAM) in children under five and prevention of Micronutrient deficiencies in 6-23 months children in vulnerable communities in targeted districts of Afghanistan,15 Months,5330878.63,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,5/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,26719.8360,Province,Badakhshan,36.73477250,70.81199530,15,1.00000
23,Afghanistan,223,AFG-14/S1/N/UN/223,,2014 1st Standard Allocation,2014,2,Standard,United Nations Children's Fund,UN Agency,Establishment and expansion of integrated management of severe acute malnourished (SAM) in children under five and prevention of Micronutrient deficiencies in 6-23 months children in vulnerable communities in targeted districts of Afghanistan,15 Months,5330878.63,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,5/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,26719.8360,Province,Hilmand,31.36364740,63.95861110,32,3.00000
23,Afghanistan,223,AFG-14/S1/N/UN/223,,2014 1st Standard Allocation,2014,2,Standard,United Nations Children's Fund,UN Agency,Establishment and expansion of integrated management of severe acute malnourished (SAM) in children under five and prevention of Micronutrient deficiencies in 6-23 months children in vulnerable communities in targeted districts of Afghanistan,15 Months,5330878.63,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,5/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,26719.8360,Province,Kandahar,30.99606790,65.47573600,33,6.00000
23,Afghanistan,223,AFG-14/S1/N/UN/223,,2014 1st Standard Allocation,2014,2,Standard,United Nations Children's Fund,UN Agency,Establishment and expansion of integrated management of severe acute malnourished (SAM) in children under five and prevention of Micronutrient deficiencies in 6-23 months children in vulnerable communities in targeted districts of Afghanistan,15 Months,5330878.63,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,5/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,26719.8360,Province,Khost,33.35850790,69.85974060,26,6.00000
23,Afghanistan,223,AFG-14/S1/N/UN/223,,2014 1st Standard Allocation,2014,2,Standard,United Nations Children's Fund,UN Agency,Establishment and expansion of integrated management of severe acute malnourished (SAM) in children under five and prevention of Micronutrient deficiencies in 6-23 months children in vulnerable communities in targeted districts of Afghanistan,15 Months,5330878.63,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,5/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,26719.8360,Province,Kunar,34.84658930,71.09731700,13,1.00000
23,Afghanistan,223,AFG-14/S1/N/UN/223,,2014 1st Standard Allocation,2014,2,Standard,United Nations Children's Fund,UN Agency,Establishment and expansion of integrated management of severe acute malnourished (SAM) in children under five and prevention of Micronutrient deficiencies in 6-23 months children in vulnerable communities in targeted districts of Afghanistan,15 Months,5330878.63,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,5/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,26719.8360,Province,Nangarhar,34.17183130,70.62167940,6,5.00000
23,Afghanistan,223,AFG-14/S1/N/UN/223,,2014 1st Standard Allocation,2014,2,Standard,United Nations Children's Fund,UN Agency,Establishment and expansion of integrated management of severe acute malnourished (SAM) in children under five and prevention of Micronutrient deficiencies in 6-23 months children in vulnerable communities in targeted districts of Afghanistan,15 Months,5330878.63,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,5/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,26719.8360,Province,Nuristan,35.32502230,70.90712360,14,1.00000
23,Afghanistan,223,AFG-14/S1/N/UN/223,,2014 1st Standard Allocation,2014,2,Standard,United Nations Children's Fund,UN Agency,Establishment and expansion of integrated management of severe acute malnourished (SAM) in children under five and prevention of Micronutrient deficiencies in 6-23 months children in vulnerable communities in targeted districts of Afghanistan,15 Months,5330878.63,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,5/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,26719.8360,Province,Paktika,32.26453860,68.52471490,25,1.00000
23,Afghanistan,223,AFG-14/S1/N/UN/223,,2014 1st Standard Allocation,2014,2,Standard,United Nations Children's Fund,UN Agency,Establishment and expansion of integrated management of severe acute malnourished (SAM) in children under five and prevention of Micronutrient deficiencies in 6-23 months children in vulnerable communities in targeted districts of Afghanistan,15 Months,5330878.63,A+: Neutral Impact on environment with mitigation or enhancement,2a- The project is designed to contribute significantly to gender equality,5/1/2014 12:00:00 AM,7/31/2015 12:00:00 AM,Project Closed,249,PRJ_PRJ_CLS,Project Closure,16,26719.8360,Province,Paktya,33.70619900,69.38310790,12,6.00000
23,Afghanistan,225,AFG-14/S1/H/INGO/225,,2014 1st Standard Allocation,2014,2,Standard,EMERGENCY Life Support for Civilian War Victims,International NGO,"Life saving health and referral services for trauma affected population in Helmand, Kabul, Paktia, Logar, Ghazni, Kapisa and Maidan-Wardak Provinces.",12 Months,1510044.04,A+: Neutral Impact on environment with mitigation or enhancement,3- Not Specified,6/15/2014 12:00:00 AM,6/14/2015 12:00:00 AM,Under Closure,247,PRJ_UND_CLSR,Project Closure,16,63529.6800,Province,Ghazni,33.55000000,68.41666700,11,5.00000
23,Afghanistan,225,AFG-14/S1/H/INGO/225,,2014 1st Standard Allocation,2014,2,Standard,EMERGENCY Life Support for Civilian War Victims,International NGO,"Life saving health and referral services for trauma affected population in Helmand, Kabul, Paktia, Logar, Ghazni, Kapisa and Maidan-Wardak Provinces.",12 Months,1510044.04,A+: Neutral Impact on environment with mitigation or enhancement,3- Not Specified,6/15/2014 12:00:00 AM,6/14/2015 12:00:00 AM,Under Closure,247,PRJ_UND_CLSR,Project Closure,16,63529.6800,Province,Hilmand,31.36364740,63.95861110,32,20.00000
23,Afghanistan,225,AFG-14/S1/H/INGO/225,,2014 1st Standard Allocation,2014,2,Standard,EMERGENCY Life Support for Civilian War Victims,International NGO,"Life saving health and referral services for trauma affected population in Helmand, Kabul, Paktia, Logar, Ghazni, Kapisa and Maidan-Wardak Provinces.",12 Months,1510044.04,A+: Neutral Impact on environment with mitigation or enhancement,3- Not Specified,6/15/2014 12:00:00 AM,6/14/2015 12:00:00 AM,Under Closure,247,PRJ_UND_CLSR,Project Closure,16,63529.6800,Province,Kabul,34.53333300,69.16666700,1,20.00000
23,Afghanistan,225,AFG-14/S1/H/INGO/225,,2014 1st Standard Allocation,2014,2,Standard,EMERGENCY Life Support for Civilian War Victims,International NGO,"Life saving health and referral services for trauma affected population in Helmand, Kabul, Paktia, Logar, Ghazni, Kapisa and Maidan-Wardak Provinces.",12 Months,1510044.04,A+: Neutral Impact on environment with mitigation or enhancement,3- Not Specified,6/15/2014 12:00:00 AM,6/14/2015 12:00:00 AM,Under Closure,247,PRJ_UND_CLSR,Project Closure,16,63529.6800,Province,Kapisa,34.98105720,69.62145620,2,5.00000
23,Afghanistan,225,AFG-14/S1/H/INGO/225,,2014 1st Standard Allocation,2014,2,Standard,EMERGENCY Life Support for Civilian War Victims,International NGO,"Life saving health and referral services for trauma affected population in Helmand, Kabul, Paktia, Logar, Ghazni, Kapisa and Maidan-Wardak Provinces.",12 Months,1510044.04,A+: Neutral Impact on environment with mitigation or enhancement,3- Not Specified,6/15/2014 12:00:00 AM,6/14/2015 12:00:00 AM,Under Closure,247,PRJ_UND_CLSR,Project Closure,16,63529.6800,Province,Logar,34.01455180,69.19239160,5,5.00000
23,Afghanistan,225,AFG-14/S1/H/INGO/225,,2014 1st Standard Allocation,2014,2,Standard,EMERGENCY Life Support for Civilian War Victims,International NGO,"Life saving health and referral services for trauma affected population in Helmand, Kabul, Paktia, Logar, Ghazni, Kapisa and Maidan-Wardak Provinces.",12 Months,1510044.04,A+: Neutral Impact on environment with mitigation or enhancement,3- Not Specified,6/15/2014 12:00:00 AM,6/14/2015 12:00:00 AM,Under Closure,247,PRJ_UND_CLSR,Project Closure,16,63529.6800,Province,Paktya,33.70619900,69.38310790,12,5.00000
23,Afghanistan,225,AFG-14/S1/H/INGO/225,,2014 1st Standard Allocation,2014,2,Standard,EMERGENCY Life Support for Civilian War Victims,International NGO,"Life saving health and referral services for trauma affected population in Helmand, Kabul, Paktia, Logar, Ghazni, Kapisa and Maidan-Wardak Provinces.",12 Months,1510044.04,A+: Neutral Impact on environment with mitigation or enhancement,3- Not Specified,6/15/2014 12:00:00 AM,6/14/2015 12:00:00 AM,Under Closure,247,PRJ_UND_CLSR,Project Closure,16,63529.6800,Province,Wardak,34.35134940,68.23853390,4,5.00000
