PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfId,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
DRC,24,0,2013,Reserve,3373,DRC-13/X/HCG10/ER/CSS/INGO/3373,Coordination and Support Services,,100,508270
DRC,24,0,2013,Reserve,3375,DRC-13/X/HCG10/ER/E/INGO/3375,Education,,100,665000
DRC,24,0,2013,Reserve,3374,DRC-13/X/HCG10/ER/FS/INGO/3374,Food Security,,100,875000
DRC,24,0,2013,Reserve,3368,DRC-13/X/HCG10/ER/H/INGO/3368,Health,,100,300000
DRC,24,0,2013,Reserve,3372,DRC-13/X/HCG10/ER/H/INGO/3372,Health,,100,613009
DRC,24,0,2013,Reserve,3367,DRC-13/X/HCG10/ER/H/UN/3367,Health,,100,250000
DRC,24,0,2013,Reserve,3370,DRC-13/X/HCG10/ER/L/INGO/3370,Logistics,,100,470000
DRC,24,0,2013,Reserve,3382,DRC-13/X/HCG10/ER/L/INGO/3382,Logistics,,100,684994.44
DRC,24,0,2013,Reserve,3371,DRC-13/X/HCG10/ER/N/INGO/3371,Nutrition,,100,261000
DRC,24,0,2013,Reserve,3378,DRC-13/X/HCG10/ER/P/INGO/3378,Protection,,100,288820
DRC,24,0,2013,Reserve,3376,DRC-13/X/HCG10/ER/P/UN/3376,Protection,,100,400000
DRC,24,0,2013,Reserve,3377,DRC-13/X/HCG10/ER/P/UN/3377,Protection,,100,200000
DRC,24,0,2013,Reserve,3383,DRC-13/X/HCG10/ER/S-NFI/INGO/3383,Emergency Shelter and NFI,,100,399805
DRC,24,0,2013,Reserve,3379,DRC-13/X/HCG10/ER/S-NFI/NGO/3379,Emergency Shelter and NFI,,100,609000
DRC,24,0,2013,Reserve,3369,DRC-13/X/HCG10/ER/WASH/INGO/3369,"Water, Sanitation and Hygiene",,100,950000
DRC,24,0,2013,Reserve,3380,DRC-13/X/HCG10/ER/WASH/INGO/3380,"Water, Sanitation and Hygiene",,100,395000
DRC,24,0,2013,Reserve,3381,DRC-13/X/HCG10/ER/WASH/NGO/3381,"Water, Sanitation and Hygiene",,100,300000
DRC,24,23,2014,Standard,4500,DRC-14/HCG10/PF1/FSEC/UN/4500,Food Security,,100,594908.02
DRC,24,23,2014,Standard,32,DRC-14/HCG10/PF1/FSEC-HLT/INGO/32,Food Security,,47,951750
DRC,24,23,2014,Standard,32,DRC-14/HCG10/PF1/FSEC-HLT/INGO/32,Health,,53,1073250
DRC,24,23,2014,Standard,27,DRC-14/HCG10/PF1/FSEC-HLT-WaSH/NGO/27,Food Security,,29,652719.24
DRC,24,23,2014,Standard,27,DRC-14/HCG10/PF1/FSEC-HLT-WaSH/NGO/27,Health,,37,832779.72
DRC,24,23,2014,Standard,27,DRC-14/HCG10/PF1/FSEC-HLT-WaSH/NGO/27,"Water, Sanitation and Hygiene",,34,765257.04
DRC,24,23,2014,Standard,40,DRC-14/HCG10/PF1/FSEC-LOG-NFI/NGO/40,Emergency Shelter and NFI,,35,300888.7
DRC,24,23,2014,Standard,40,DRC-14/HCG10/PF1/FSEC-LOG-NFI/NGO/40,Food Security,,28,240710.96
DRC,24,23,2014,Standard,40,DRC-14/HCG10/PF1/FSEC-LOG-NFI/NGO/40,Logistics,,37,318082.34
DRC,24,23,2014,Standard,33,DRC-14/HCG10/PF1/FSEC-NFI/NGO/33,Emergency Shelter and NFI,,35,626500.35
DRC,24,23,2014,Standard,33,DRC-14/HCG10/PF1/FSEC-NFI/NGO/33,Food Security,,65,1163500.65
DRC,24,23,2014,Standard,43,DRC-14/HCG10/PF1/FSEC-NFI/UN/43,Emergency Shelter and NFI,,35,770350.35
DRC,24,23,2014,Standard,43,DRC-14/HCG10/PF1/FSEC-NFI/UN/43,Food Security,,65,1430650.65
DRC,24,23,2014,Standard,36,DRC-14/HCG10/PF1/FSEC-NUT/INGO/36,Food Security,,38,838050.1
DRC,24,23,2014,Standard,36,DRC-14/HCG10/PF1/FSEC-NUT/INGO/36,Nutrition,,62,1367344.9
DRC,24,23,2014,Standard,31,DRC-14/HCG10/PF1/FSEC-NUT-PROT/INGO/31,Food Security,,37,548830.99
DRC,24,23,2014,Standard,31,DRC-14/HCG10/PF1/FSEC-NUT-PROT/INGO/31,Nutrition,,35,519164.45
DRC,24,23,2014,Standard,31,DRC-14/HCG10/PF1/FSEC-NUT-PROT/INGO/31,Protection,,28,415331.56
DRC,24,23,2014,Standard,38,DRC-14/HCG10/PF1/FSEC-NUT-PROT/INGO/38,Food Security,,41,587123.28
DRC,24,23,2014,Standard,38,DRC-14/HCG10/PF1/FSEC-NUT-PROT/INGO/38,Nutrition,,36,515522.88
DRC,24,23,2014,Standard,38,DRC-14/HCG10/PF1/FSEC-NUT-PROT/INGO/38,Protection,,23,329361.84
DRC,24,23,2014,Standard,37,DRC-14/HCG10/PF1/FSEC-NUT-WaSH/INGO/37,Food Security,,31,503728.3868
DRC,24,23,2014,Standard,37,DRC-14/HCG10/PF1/FSEC-NUT-WaSH/INGO/37,Nutrition,,59,958708.8652
DRC,24,23,2014,Standard,37,DRC-14/HCG10/PF1/FSEC-NUT-WaSH/INGO/37,"Water, Sanitation and Hygiene",,10,162493.028
DRC,24,23,2014,Standard,44,DRC-14/HCG10/PF1/FSEC-NUT-WaSH/UN/44,Food Security,,49,999600
DRC,24,23,2014,Standard,44,DRC-14/HCG10/PF1/FSEC-NUT-WaSH/UN/44,Nutrition,,29,591600
DRC,24,23,2014,Standard,44,DRC-14/HCG10/PF1/FSEC-NUT-WaSH/UN/44,"Water, Sanitation and Hygiene",,22,448800
DRC,24,23,2014,Standard,41,DRC-14/HCG10/PF1/FSEC-PROT-NFI/UN/41,Emergency Shelter and NFI,,15,281902.0395
DRC,24,23,2014,Standard,41,DRC-14/HCG10/PF1/FSEC-PROT-NFI/UN/41,Food Security,,31,582597.5483
DRC,24,23,2014,Standard,41,DRC-14/HCG10/PF1/FSEC-PROT-NFI/UN/41,Protection,,54,1014847.3422
DRC,24,23,2014,Standard,26,DRC-14/HCG10/PF1/FSEC-WaSH/INGO/26,Food Security,,40,433916
DRC,24,23,2014,Standard,26,DRC-14/HCG10/PF1/FSEC-WaSH/INGO/26,"Water, Sanitation and Hygiene",,60,650874
DRC,24,23,2014,Standard,35,DRC-14/HCG10/PF1/HLT-PROT/INGO/35,Health,,30,179719.2
DRC,24,23,2014,Standard,35,DRC-14/HCG10/PF1/HLT-PROT/INGO/35,Protection,,70,419344.8
DRC,24,23,2014,Standard,34,DRC-14/HCG10/PF1/NFI-WaSH/INGO/34,Emergency Shelter and NFI,,54,720050.58
DRC,24,23,2014,Standard,34,DRC-14/HCG10/PF1/NFI-WaSH/INGO/34,"Water, Sanitation and Hygiene",,46,613376.42
DRC,24,23,2014,Standard,98,DRC-14/HCG10/PF1/NUT-FSEC-WaSH/NGO/98,Food Security,,39,685972.56
DRC,24,23,2014,Standard,98,DRC-14/HCG10/PF1/NUT-FSEC-WaSH/NGO/98,Nutrition,,48,844273.92
DRC,24,23,2014,Standard,98,DRC-14/HCG10/PF1/NUT-FSEC-WaSH/NGO/98,"Water, Sanitation and Hygiene",,13,228657.52
DRC,24,23,2014,Standard,39,DRC-14/HCG10/PF1/NUT-WaSH/INGO/39,Food Security,,10,167204.508
DRC,24,23,2014,Standard,39,DRC-14/HCG10/PF1/NUT-WaSH/INGO/39,Nutrition,,62,1036667.9496
DRC,24,23,2014,Standard,39,DRC-14/HCG10/PF1/NUT-WaSH/INGO/39,"Water, Sanitation and Hygiene",,28,468172.6224
DRC,24,23,2014,Standard,124,DRC-14/HCG10/PF1/PROT-EDU/UN/124,Education,,18,392116.14
DRC,24,23,2014,Standard,124,DRC-14/HCG10/PF1/PROT-EDU/UN/124,Protection,,82,1786306.86
DRC,24,23,2014,Standard,123,DRC-14/HCG10/PF1/WaSH-FSEC/INGO/123,Food Security,,77,1155000
