PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
24,DRC,DRC24,CHF/000061/HCG10/12-2009/182,2009,Government of Belgium,4,6,Belgium,BE,8/7/2009 12:00:00 AM,2106741.57,1/1/0001 12:00:00 AM,9/15/2009 12:00:00 AM,2158273.38,1/1/0001 12:00:00 AM,EUR ,0.71,EUR ,0.7,1500000,1500000,0
24,DRC,DRC24,CHF/000155/HCG10/3-2009/33,2009,Government of Luxembourg,10,15,Luxembourg,LU,3/30/2009 12:00:00 AM,639386.19,1/1/0001 12:00:00 AM,4/29/2009 12:00:00 AM,658761.53,1/1/0001 12:00:00 AM,EUR ,0.78,EUR ,0.76,500000,500000,0
24,DRC,DRC24,CHF/000182/HCG10/12-2009/251,2009,Government of Netherlands,11,16,Netherlands,NL,11/18/2009 12:00:00 AM,3000000,1/1/0001 12:00:00 AM,12/1/2009 12:00:00 AM,3000000,1/1/0001 12:00:00 AM,USD ,1,USD ,1,3000000,3000000,0
24,DRC,DRC24,CHF/000182/HCG10/4-2009/31,2009,Government of Netherlands,11,16,Netherlands,NL,4/3/2009 12:00:00 AM,13999970,1/1/0001 12:00:00 AM,4/16/2009 12:00:00 AM,13999970,1/1/0001 12:00:00 AM,USD ,1,USD ,1,13999970,13999970,0
24,DRC,DRC24,CHF/000187/HCG10/12-2009/103,2009,Government of Norway,12,17,Norway,NO,7/1/2009 12:00:00 AM,3091160.11,1/1/0001 12:00:00 AM,7/16/2009 12:00:00 AM,3091160.11,1/1/0001 12:00:00 AM,NOK ,6.43,NOK ,6.43,19891615,19891615,0
24,DRC,DRC24,CHF/000551/HCG10/12-2009/112,2009,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,8/4/2009 12:00:00 AM,25057500,1/1/0001 12:00:00 AM,8/3/2009 12:00:00 AM,25057500,1/1/0001 12:00:00 AM,USD ,1,USD ,1,25057500,25057500,0
24,DRC,DRC24,CHF/000555/HCG10/12-2009/294,2009,Sida,20,22,Sweden,SE,12/4/2009 12:00:00 AM,3507224.91,1/1/0001 12:00:00 AM,12/11/2009 12:00:00 AM,3507224.91,1/1/0001 12:00:00 AM,SEK ,6.89,SEK ,6.89,24164780,24164780,0
24,DRC,DRC24,CHF/000555/HCG10/4-2009/34,2009,Sida,20,22,Sweden,SE,4/1/2009 12:00:00 AM,14201324.45,1/1/0001 12:00:00 AM,4/30/2009 12:00:00 AM,14201324.45,1/1/0001 12:00:00 AM,USD ,1,USD ,1,14201324,14201324,0
24,DRC,DRC24,CHF/000555/HCG10/9-2009/150,2009,Sida,20,22,Sweden,SE,9/18/2009 12:00:00 AM,2128263.34,1/1/0001 12:00:00 AM,9/10/2009 12:00:00 AM,2128263.34,1/1/0001 12:00:00 AM,SEK ,7.05,SEK ,7.05,15000000,15000000,0
24,DRC,DRC24,CHF/011211/HCG10/12-2009/227,2009,IRISH AID,23,13,Ireland,IE,11/11/2009 12:00:00 AM,738722,1/1/0001 12:00:00 AM,11/19/2009 12:00:00 AM,738722,1/1/0001 12:00:00 AM,EUR ,0.68,EUR ,0.68,499376,499376,0
