PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
DRC,24,65,2019,Standard,DRC-19/HCG10/ST1/WaSH/NGO/11819,"Water, Sanitation and Hygiene",,100,610249.15
DRC,24,274,2020,Standard,DRC-20/HCG10/SA1/WaSH-HLT/NGO/16676,Health,,47,704999.9201
DRC,24,274,2020,Standard,DRC-20/HCG10/SA1/WaSH-HLT/NGO/16676,"Water, Sanitation and Hygiene",,53,794999.9099
DRC,24,284,2020,Reserve,DRC-20/HCG10/RA3/HLT-PROT/NGO/17189,Health,,60,719999.916
DRC,24,284,2020,Reserve,DRC-20/HCG10/RA3/HLT-PROT/NGO/17189,Protection,,40,479999.944
DRC,24,319,2021,Reserve,DRC-21/HCG10/RA1/COORD/INGO/18310,Coordination and Support Services,,100,1500000
DRC,24,334,2021,Standard,DRC-21/HCG10/SA1/NUT/NGO/19141,Nutrition,,100,800063.08
DRC,24,334,2021,Standard,DRC-21/HCG10/SA1/WaSH/INGO/18879,"Water, Sanitation and Hygiene",,100,409075.98
DRC,24,355,2021,Reserve,DRC-21/HCG10/RA3/PROT/INGO/20124,Protection,,100,339953.45
DRC,24,410,2022,Standard,DRC-22/HCG10/SA1/NFI-PROT-CP/INGO/22305,Emergency Shelter and NFI,,50,726500.18
DRC,24,410,2022,Standard,DRC-22/HCG10/SA1/NFI-PROT-CP/INGO/22305,Protection,,20,290600.072
DRC,24,410,2022,Standard,DRC-22/HCG10/SA1/NFI-PROT-CP/INGO/22305,Protection,,30,435900.108
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35419,Food Security,,82,1274792.6804
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35419,Protection,,1,15546.2522
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35419,Protection,,3,46638.7566
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35419,Protection,,7,108823.7654
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35419,"Water, Sanitation and Hygiene",,7,108823.7654
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35481,Food Security,,40,480000
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35481,Nutrition,,50,600000
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35481,Protection,,10,120000
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35518,Emergency Shelter and NFI,,13,195000
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35518,Food Security,,40,600000
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35518,Health,,16,240000
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35518,Nutrition,,11,165000
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35518,Protection,,7,105000
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35518,"Water, Sanitation and Hygiene",,13,195000
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35521,Protection,,20,80975.162
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35521,"Water, Sanitation and Hygiene",,80,323900.648
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35611,Education,,45,314826.1245
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-INGO-35611,Protection,,55,384787.4855
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35398,Protection,,43,150500
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35398,Protection,,57,199500
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35504,Food Security,,85,609804.246
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35504,Protection,,15,107612.514
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35574,Protection,,15,189863.5635
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35574,Protection,,80,1012605.672
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35574,"Water, Sanitation and Hygiene",,5,63287.8545
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35578,Food Security,,60,419998.71
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35578,Protection,,40,279999.14
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35588,Food Security,,86,1262485.3234
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35588,Protection,,1,14680.0619
DRC,24,1422,2025,Reserve,CBPF-DRC-25-R-NGO-35588,Protection,,13,190840.8047
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38437,Food Security,,90,450000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38437,Protection,,10,50000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38440,Food Security,,40,574400.004
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38440,Multi-Sector,,35,502600.0035
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38440,Protection,,25,359000.0025
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38443,Food Security,,40,300000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38443,Protection,,27,202500
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38443,Protection,,33,247500
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38447,Multi-Sector,,70,455000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38447,Protection,,15,97500
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38457,Health,,100,600000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38460,Emergency Shelter and NFI,,100,299992.37
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38474,Multi-Sector,,50,399915.495
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38474,Protection,,25,199957.7475
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38478,Nutrition,,63,252000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38478,"Water, Sanitation and Hygiene",,37,148000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38503,Food Security,,33,495000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38503,Health,,7,105000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38503,Nutrition,,18,270000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38503,"Water, Sanitation and Hygiene",,42,630000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38520,Multi-Sector,,56,528640
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38520,Protection,,44,415360
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38551,Health,,47,446500
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38551,Protection,,16,152000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38551,"Water, Sanitation and Hygiene",,37,351500
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38565,Logistics,,55,247500
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38565,"Water, Sanitation and Hygiene",,45,202500
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38586,Multi-Sector,,38,304000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-INGO-38586,"Water, Sanitation and Hygiene",,62,496000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38444,Food Security,,78,351000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38444,Protection,,22,99000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38455,Health,,56,252000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38455,Nutrition,,44,198000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38459,Health,,83,249000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38459,Protection,,17,51000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38476,Health,,50,300000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38476,Nutrition,,50,300000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38477,Food Security,,37,351500.0148
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38477,Nutrition,,31,294500.0124
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38477,"Water, Sanitation and Hygiene",,32,304000.0128
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38487,Health,,57,399000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38487,"Water, Sanitation and Hygiene",,43,301000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38488,Health,,100,449999.2
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38502,Protection,,44,198000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38502,Protection,,56,252000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38523,Multi-Sector,,100,800000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38527,Multi-Sector,,71,497000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38527,Protection,,29,203000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38529,Food Security,,75,525000
DRC,24,1526,2025,Standard,CBPF-DRC-25-S-NGO-38529,Protection,,25,175000
