PooledFundName,PooledFundId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode
DRC,24,CBPF-DRC-25-S-INGO-38437,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,OXFAM GB,International NGO,12 Months,500000,467289.72,0,12/16/2025 8:08:18 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,2/15/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,147916.8250
DRC,24,CBPF-DRC-25-S-INGO-38440,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Agency for Technical Cooperation and Development,International NGO,12 Months,1436000.01,1342056.08,0,12/16/2025 10:25:23 PM,"3- Likely to contribute to gender equality, but without attention to age groups",3/15/2026 12:00:00 AM,3/14/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,146901.8000
DRC,24,CBPF-DRC-25-S-INGO-38443,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Action Aid International RD Congo,International NGO,12 Months,750000,700934.58,0,12/16/2025 8:47:45 AM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,2/15/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,154422.2125
DRC,24,CBPF-DRC-25-S-INGO-38447,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Jesuit Refugee Service,International NGO,9 Months,650000,607476.64,0,12/16/2025 1:51:48 PM,"4- Likely to contribute to gender equality, including across age groups",2/23/2026 12:00:00 AM,11/22/2026 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,212001.8125
DRC,24,CBPF-DRC-25-S-INGO-38457,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,International Medical Corps,International NGO,9 Months,600000,560747.66,0,12/16/2025 8:18:21 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,11/30/2026 12:00:00 AM,Budget approuvé,6241,PRJ_BUDGET_CLR,Technical Review,11,153591.7375
DRC,24,CBPF-DRC-25-S-INGO-38460,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Dan Church Aid,International NGO,9 Months,299992.37,280366.7,0,12/16/2025 5:27:59 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,11/15/2026 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,155437.2375
DRC,24,CBPF-DRC-25-S-INGO-38474,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,HELP A CHILD,International NGO,10 Months,799830.99,747505.6,0,12/16/2025 3:28:00 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,12/15/2026 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,217953.5500
DRC,24,CBPF-DRC-25-S-INGO-38478,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,People In Need,International NGO,12 Months,400000,373831.78,0,12/16/2025 10:43:26 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,149531.6375
DRC,24,CBPF-DRC-25-S-INGO-38503,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,World Vision International,International NGO,12 Months,1500000,1401869.16,0,12/16/2025 10:02:01 PM,"4- Likely to contribute to gender equality, including across age groups",2/23/2026 12:00:00 AM,2/22/2027 12:00:00 AM,Draft examen technique ,6233,PRJ_TR_DRFT,Technical Review,11,146486.5625
DRC,24,CBPF-DRC-25-S-INGO-38520,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Christian Aid,International NGO,10 Months,944000,882242.99,0,12/16/2025 4:45:05 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,12/31/2026 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,150731.2125
