PooledFundName,PooledFundId,AllocationTypeId,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectStartDate,ProjectEndDate,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,Men,Women,Boys,Girls,ProjectSummary,IndirectBeneficiaries,CatchmentPopulation,AllocationStrategy,HumanitarianContext,GrantRequestJustification,DescriptionOfBeneficiaries,NeedsAssessment,Activities,ImplementationPlan,Monitoring_Eval,CrossCuttingIssues,EnvironmentMarker,GenderMarker,GenderTheme,FieldSecurity,Access,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AllocationTypeCategoryId,AllocationTypeCategory,ApprovedDate
DRC,24,0,2,DRC-14/X/HCG10/ER/CSS/UN/2,DRC-14/PNA/COO/1/UNDP/0063,UR mai 2014 - Programme Stratégique 'Fonctionnement Unité Conjointe du Fonds Humanitaire' - 2014,2014,1,Reserve,United Nations Development Programme,UN Agency,Managing Impact Feasibility Studies,4/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,,323976.25,0,0,4/17/2014 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,0,,,,4/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Final Project Closure,22,,,0,3488.8968,0,,1/1/0001 12:00:00 AM
DRC,24,0,3,DRC-14/X/HCG10/ER/MS-SR/UN/3,DRC-14/MPR/MUS/1/CEF/0064,UR janvier 2014 - Programmes stratégiques,2014,1,Reserve,United Nations Children's Fund,UN Agency,Réponse rapide aux mouvements de Population (RRMP)2014,5/20/2014 12:00:00 AM,5/19/2015 12:00:00 AM,,6200000,0,0,4/15/2014 12:00:00 AM,131112,131112,0,0,,,,,,,,,,,,,,,,,,5/20/2014 12:00:00 AM,5/19/2015 12:00:00 AM,Final Project Closure,22,,,0,775.3104,0,,1/1/0001 12:00:00 AM
DRC,24,0,4,DRC-14/X/HCG10/ER/L/UN/4,DRC-14/MPR/COO/1/HAS/0065,UR janvier 2014 - Programmes stratégiques,2014,1,Reserve,United Nations Humanitarian Air Service,UN Agency,Provision of Humanitarian Air Services in DRC,6/8/2014 12:00:00 AM,6/7/2015 12:00:00 AM,,4653277,0,0,6/2/2014 12:00:00 AM,19200,19200,0,0,,,,,,,,,,,,,,0,,,,6/8/2014 12:00:00 AM,6/7/2015 12:00:00 AM,Final Project Closure,22,,,0,387.6552,0,,1/1/0001 12:00:00 AM
DRC,24,0,5,DRC-14/X/HCG10/ER/E/UN/5,DRC-14/KAT/EDU/1/CEF/0070,"PU juin 2014  - Assistance Humanitaire aux déplacés et retournés (Katanga, Nord Kivu, Maniema)",2014,1,Reserve,United Nations Children's Fund,UN Agency,"Renforcement des mécanismes de protection et réinsertion scolaire de 8750 filles et garçons affectés par les violences et conflits armés dans le Territoire de Pweto, Province de Katanga",9/1/2014 12:00:00 AM,2/28/2015 12:00:00 AM,,912929,0,0,7/10/2014 12:00:00 AM,402,246,15374,6266,,,,,,,,,,,,,,,,,,9/1/2014 12:00:00 AM,2/28/2015 12:00:00 AM,Final Project Closure,22,,,0,775.3104,0,,1/1/0001 12:00:00 AM
DRC,24,0,6,DRC-14/X/HCG10/ER/P/INGO/6,DRC-14/NKV/PRO/2/IRC/0754,"PU juin 2014  - Assistance Humanitaire aux déplacés et retournés (Katanga, Nord Kivu, Maniema)",2014,1,Reserve,International Rescue Committee,International NGO,Réponse d'urgence en protection intégrée,10/1/2014 12:00:00 AM,5/31/2015 12:00:00 AM,,450231,0,0,7/14/2014 12:00:00 AM,9663,9663,0,0,,,,,,,,,,,,,,2b,,,,10/1/2014 12:00:00 AM,5/31/2015 12:00:00 AM,Final Project Closure,22,,,0,1162.9656,0,,1/1/0001 12:00:00 AM
DRC,24,0,7,DRC-14/X/HCG10/ER/FS/UN/7,DRC-14/NKV/AGR/1/FAO/0068,"PU juin 2014  - Assistance Humanitaire aux déplacés et retournés (Katanga, Nord Kivu, Maniema)",2014,1,Reserve,Food and Agriculture Organization of the United Nations,UN Agency,"Appui d'urgence à la sécurité alimentaire à 10 000 ménages vulnérables affectés par les conflits armés dans les territoires de Masisi, Walikale et Lubero au Nord Kivu",9/1/2014 12:00:00 AM,2/28/2015 12:00:00 AM,,1000000,0,0,7/14/2014 12:00:00 AM,25000,25000,0,0,,,,,,,,,,,,,,,,,,9/1/2014 12:00:00 AM,2/28/2015 12:00:00 AM,Final Project Closure,22,,,0,7365.4488,0,,1/1/0001 12:00:00 AM
DRC,24,0,8,DRC-14/X/HCG10/ER/MS-SR/UN/8,DRC-14/EQU/MUS/1/WFP/0072,PU septembre 2014 - Assistance  humanitaire  aux populations  souffrant de l'epidemie  virale  Ebola  en Equateur (RDC),2014,1,Reserve,World Food Programme,UN Agency,"Assistance alimentaire d'urgence en faveur des personnes affectés par la Maladie Virale Ebola, et plus particulièrement envers les personnes vulnérables à l'insécurité alimentaire et services logistiques à la communauté humaniatire dans la Province de l'Equateur, en République Démocratique du Congo",9/19/2014 12:00:00 AM,3/18/2015 12:00:00 AM,,901889,0,0,9/19/2014 12:00:00 AM,9633,13667,0,0,,,,,,,,,,,,,,2a,,,,9/19/2014 12:00:00 AM,3/18/2015 12:00:00 AM,Final Project Closure,22,,,0,1550.6208,0,,1/1/0001 12:00:00 AM
DRC,24,0,9,DRC-14/X/HCG10/ER/MS-SR/UN/9,DRC-14/EQU/MUS/1/CEF/0071,PU septembre 2014 - Assistance  humanitaire  aux populations  souffrant de l'epidemie  virale  Ebola  en Equateur (RDC),2014,1,Reserve,United Nations Children's Fund,UN Agency,"Riposte à l'épidémie de la maladie virale Ebola dans la province de l'Equateur, en RDC",9/19/2014 12:00:00 AM,12/18/2014 12:00:00 AM,,712542,0,0,9/19/2014 12:00:00 AM,124779,124779,0,0,,,,,,,,,,,,,,2a,,,,9/19/2014 12:00:00 AM,12/18/2014 12:00:00 AM,Final Project Closure,22,,,0,775.3104,0,,1/1/0001 12:00:00 AM
DRC,24,0,10,DRC-14/X/HCG10/ER/P/UN/10,DRC-14/POR/MUS/1/UNFP/0074,"PU juin 2014  - Assistance Humanitaire aux déplacés et retournés (Katanga, Nord Kivu, Maniema)",2014,1,Reserve,United Nations Population Fund,UN Agency,PREVENTION ET REPONSE AUX VIOLENCES SEXUELLES ET BASEES SUR LE GENRE AU SEIN DES POPULATIONS DEPLACEES ET HOTES DE L'AXE BOGORO-KAGABA-GETHY-AVEBA-BUIRINGI-BOGA-TCHABI-BWANASURA-KOMANDA DANS LE SUD IRUMU,10/19/2014 12:00:00 AM,4/18/2015 12:00:00 AM,,331805,0,0,7/9/2014 12:00:00 AM,3068,5955,3811,3722,,,,,,,,,,,,,,2a,,,,10/19/2014 12:00:00 AM,4/18/2015 12:00:00 AM,Final Project Closure,22,,,0,2325.9312,0,,1/1/0001 12:00:00 AM
DRC,24,0,11,DRC-14/X/HCG10/ER/FS/NGO/11,DRC-14/POR/FOO/2/ALD/0738,"PU juin 2014  - Assistance Humanitaire aux déplacés et retournés (Katanga, Nord Kivu, Maniema)",2014,1,Reserve,Association Locale pour le Développement Intégral,National NGO,"Renforcement de la sécurité alimentaire et des moyens des subsistances des 4500 ménages (déplacés et retournés) à Nombe, Kagaba, Gety, Munobi et Aveba dans la collectivité de Walendu Bindi.",9/1/2014 12:00:00 AM,2/28/2015 12:00:00 AM,,603000,0,0,7/9/2014 12:00:00 AM,1211,3289,6237,9864,,,,,,,,,,,,,,2a,,,,9/1/2014 12:00:00 AM,2/28/2015 12:00:00 AM,Final Project Closure,22,,,0,5814.8280,0,,1/1/0001 12:00:00 AM
