PooledFundId,PooledFundName,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectDuration,Budget,EnvironmentMarker,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AdminLocation1TypeName,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLevel1PCode,AdminLevel1Percentage
24,DRC,2,DRC-14/X/HCG10/ER/CSS/UN/2,DRC-14/PNA/COO/1/UNDP/0063,UR mai 2014 - Programme Stratégique 'Fonctionnement Unité Conjointe du Fonds Humanitaire' - 2014,2014,1,Reserve,United Nations Development Programme,UN Agency,Managing Impact Feasibility Studies,,323976.25,,0,4/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Final Project Closure,22,,,0,3488.8968,,,0,0,,0.00000
24,DRC,3,DRC-14/X/HCG10/ER/MS-SR/UN/3,DRC-14/MPR/MUS/1/CEF/0064,UR janvier 2014 - Programmes stratégiques,2014,1,Reserve,United Nations Children's Fund,UN Agency,Réponse rapide aux mouvements de Population (RRMP)2014,,6200000,,,5/20/2014 12:00:00 AM,5/19/2015 12:00:00 AM,Final Project Closure,22,,,0,775.3104,,,0,0,,0.00000
24,DRC,4,DRC-14/X/HCG10/ER/L/UN/4,DRC-14/MPR/COO/1/HAS/0065,UR janvier 2014 - Programmes stratégiques,2014,1,Reserve,United Nations Humanitarian Air Service,UN Agency,Provision of Humanitarian Air Services in DRC,,4653277,,0,6/8/2014 12:00:00 AM,6/7/2015 12:00:00 AM,Final Project Closure,22,,,0,387.6552,,,0,0,,0.00000
24,DRC,5,DRC-14/X/HCG10/ER/E/UN/5,DRC-14/KAT/EDU/1/CEF/0070,"PU juin 2014  - Assistance Humanitaire aux déplacés et retournés (Katanga, Nord Kivu, Maniema)",2014,1,Reserve,United Nations Children's Fund,UN Agency,"Renforcement des mécanismes de protection et réinsertion scolaire de 8750 filles et garçons affectés par les violences et conflits armés dans le Territoire de Pweto, Province de Katanga",,912929,,,9/1/2014 12:00:00 AM,2/28/2015 12:00:00 AM,Final Project Closure,22,,,0,775.3104,,,0,0,,0.00000
24,DRC,6,DRC-14/X/HCG10/ER/P/INGO/6,DRC-14/NKV/PRO/2/IRC/0754,"PU juin 2014  - Assistance Humanitaire aux déplacés et retournés (Katanga, Nord Kivu, Maniema)",2014,1,Reserve,International Rescue Committee,International NGO,Réponse d'urgence en protection intégrée,,450231,,2b,10/1/2014 12:00:00 AM,5/31/2015 12:00:00 AM,Final Project Closure,22,,,0,1162.9656,,,0,0,,0.00000
24,DRC,7,DRC-14/X/HCG10/ER/FS/UN/7,DRC-14/NKV/AGR/1/FAO/0068,"PU juin 2014  - Assistance Humanitaire aux déplacés et retournés (Katanga, Nord Kivu, Maniema)",2014,1,Reserve,Food and Agriculture Organization of the United Nations,UN Agency,"Appui d'urgence à la sécurité alimentaire à 10 000 ménages vulnérables affectés par les conflits armés dans les territoires de Masisi, Walikale et Lubero au Nord Kivu",,1000000,,,9/1/2014 12:00:00 AM,2/28/2015 12:00:00 AM,Final Project Closure,22,,,0,7365.4488,,,0,0,,0.00000
24,DRC,8,DRC-14/X/HCG10/ER/MS-SR/UN/8,DRC-14/EQU/MUS/1/WFP/0072,PU septembre 2014 - Assistance  humanitaire  aux populations  souffrant de l'epidemie  virale  Ebola  en Equateur (RDC),2014,1,Reserve,World Food Programme,UN Agency,"Assistance alimentaire d'urgence en faveur des personnes affectés par la Maladie Virale Ebola, et plus particulièrement envers les personnes vulnérables à l'insécurité alimentaire et services logistiques à la communauté humaniatire dans la Province de l'Equateur, en République Démocratique du Congo",,901889,,2a,9/19/2014 12:00:00 AM,3/18/2015 12:00:00 AM,Final Project Closure,22,,,0,1550.6208,,,0,0,,0.00000
24,DRC,9,DRC-14/X/HCG10/ER/MS-SR/UN/9,DRC-14/EQU/MUS/1/CEF/0071,PU septembre 2014 - Assistance  humanitaire  aux populations  souffrant de l'epidemie  virale  Ebola  en Equateur (RDC),2014,1,Reserve,United Nations Children's Fund,UN Agency,"Riposte à l'épidémie de la maladie virale Ebola dans la province de l'Equateur, en RDC",,712542,,2a,9/19/2014 12:00:00 AM,12/18/2014 12:00:00 AM,Final Project Closure,22,,,0,775.3104,,,0,0,,0.00000
24,DRC,10,DRC-14/X/HCG10/ER/P/UN/10,DRC-14/POR/MUS/1/UNFP/0074,"PU juin 2014  - Assistance Humanitaire aux déplacés et retournés (Katanga, Nord Kivu, Maniema)",2014,1,Reserve,United Nations Population Fund,UN Agency,PREVENTION ET REPONSE AUX VIOLENCES SEXUELLES ET BASEES SUR LE GENRE AU SEIN DES POPULATIONS DEPLACEES ET HOTES DE L'AXE BOGORO-KAGABA-GETHY-AVEBA-BUIRINGI-BOGA-TCHABI-BWANASURA-KOMANDA DANS LE SUD IRUMU,,331805,,2a,10/19/2014 12:00:00 AM,4/18/2015 12:00:00 AM,Final Project Closure,22,,,0,2325.9312,,,0,0,,0.00000
24,DRC,11,DRC-14/X/HCG10/ER/FS/NGO/11,DRC-14/POR/FOO/2/ALD/0738,"PU juin 2014  - Assistance Humanitaire aux déplacés et retournés (Katanga, Nord Kivu, Maniema)",2014,1,Reserve,Association Locale pour le Développement Intégral,National NGO,"Renforcement de la sécurité alimentaire et des moyens des subsistances des 4500 ménages (déplacés et retournés) à Nombe, Kagaba, Gety, Munobi et Aveba dans la collectivité de Walendu Bindi.",,603000,,2a,9/1/2014 12:00:00 AM,2/28/2015 12:00:00 AM,Final Project Closure,22,,,0,5814.8280,,,0,0,,0.00000
