PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfId,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
oPt,67,509,2023,Reserve,26799,CBPF-OPT-23-R-INGO-26799,Food Security,,100,750000
oPt,67,509,2023,Reserve,26800,CBPF-OPT-23-R-INGO-26800,Food Security,,100,750000
oPt,67,509,2023,Reserve,26805,CBPF-OPT-23-R-INGO-26805,Emergency Shelter and NFI,,100,500000
oPt,67,509,2023,Reserve,26806,CBPF-OPT-23-R-INGO-26806,Emergency Shelter and NFI,,100,500000
oPt,67,509,2023,Reserve,26809,CBPF-OPT-23-R-INGO-26809,Emergency Shelter and NFI,,100,499713.99
oPt,67,509,2023,Reserve,26810,CBPF-OPT-23-R-INGO-26810,Protection,,100,399999.17
oPt,67,509,2023,Reserve,26814,CBPF-OPT-23-R-INGO-26814,"Water, Sanitation and Hygiene",,100,299999.11
oPt,67,509,2023,Reserve,26827,CBPF-OPT-23-R-INGO-26827,Health,,100,899998.4
oPt,67,523,2023,Reserve,27340,CBPF-OPT-23-R-INGO-27340,Emergency Shelter and NFI,,100,1986274.41
oPt,67,523,2023,Reserve,27343,CBPF-OPT-23-R-INGO-27343,Protection,,100,700000.02
oPt,67,523,2023,Reserve,27350,CBPF-OPT-23-R-INGO-27350,Multi-purpose CASH,,100,800000
oPt,67,523,2023,Reserve,27352,CBPF-OPT-23-R-INGO-27352,Health,,100,1749172.22
oPt,67,523,2023,Reserve,27355,CBPF-OPT-23-R-INGO-27355,Health,,100,1200000
oPt,67,523,2023,Reserve,27356,CBPF-OPT-23-R-INGO-27356,Food Security,,100,1000000
oPt,67,523,2023,Reserve,27357,CBPF-OPT-23-R-INGO-27357,Emergency Shelter and NFI,,100,1500000
oPt,67,523,2023,Reserve,27358,CBPF-OPT-23-R-INGO-27358,"Water, Sanitation and Hygiene",,100,800000
oPt,67,523,2023,Reserve,27360,CBPF-OPT-23-R-INGO-27360,Food Security,,100,2000000
oPt,67,523,2023,Reserve,27361,CBPF-OPT-23-R-INGO-27361,Emergency Shelter and NFI,,100,1750000.13
oPt,67,523,2023,Reserve,27364,CBPF-OPT-23-R-INGO-27364,Multi-purpose CASH,,100,1250000
oPt,67,523,2023,Reserve,27365,CBPF-OPT-23-R-INGO-27365,Multi-purpose CASH,,100,1446752.35
oPt,67,523,2023,Reserve,27366,CBPF-OPT-23-R-INGO-27366,"Water, Sanitation and Hygiene",,100,299050
oPt,67,523,2023,Reserve,27367,CBPF-OPT-23-R-INGO-27367,Protection,,100,1000000
oPt,67,523,2023,Reserve,27374,CBPF-OPT-23-R-INGO-27374,Food Security,,100,1499660
oPt,67,523,2023,Reserve,27376,CBPF-OPT-23-R-INGO-27376,Health,,100,1444693.35
oPt,67,523,2023,Reserve,27386,CBPF-OPT-23-R-INGO-27386,Multi-purpose CASH,,100,500000
oPt,67,523,2023,Reserve,27387,CBPF-OPT-23-R-INGO-27387,"Water, Sanitation and Hygiene",,100,1599395.93
oPt,67,523,2023,Reserve,27388,CBPF-OPT-23-R-INGO-27388,Food Security,,100,999624.77
oPt,67,523,2023,Reserve,27389,CBPF-OPT-23-R-INGO-27389,"Water, Sanitation and Hygiene",,100,798773.61
oPt,67,523,2023,Reserve,27390,CBPF-OPT-23-R-INGO-27390,Emergency Shelter and NFI,,100,1749998.42
oPt,67,523,2023,Reserve,27391,CBPF-OPT-23-R-INGO-27391,Multi-purpose CASH,,100,999990.42
oPt,67,523,2023,Reserve,27400,CBPF-OPT-23-R-INGO-27400,Multi-purpose CASH,,100,1000000
oPt,67,523,2023,Reserve,27401,CBPF-OPT-23-R-INGO-27401,Food Security,,100,500000
oPt,67,523,2023,Reserve,27408,CBPF-OPT-23-R-INGO-27408,Protection,,100,1000000
oPt,67,523,2023,Reserve,27409,CBPF-OPT-23-R-INGO-27409,Emergency Shelter and NFI,,100,1000000
oPt,67,523,2023,Reserve,27410,CBPF-OPT-23-R-INGO-27410,Food Security,,100,1000000
oPt,67,523,2023,Reserve,27411,CBPF-OPT-23-R-INGO-27411,"Water, Sanitation and Hygiene",,100,300000
oPt,67,523,2023,Reserve,27412,CBPF-OPT-23-R-INGO-27412,Emergency Shelter and NFI,,100,2000000
oPt,67,523,2023,Reserve,27413,CBPF-OPT-23-R-INGO-27413,Food Security,,100,700000
oPt,67,509,2023,Reserve,26801,CBPF-OPT-23-R-NGO-26801,Food Security,,100,800000
oPt,67,509,2023,Reserve,26802,CBPF-OPT-23-R-NGO-26802,Health,,100,800000
oPt,67,509,2023,Reserve,26803,CBPF-OPT-23-R-NGO-26803,Health,,100,800000
oPt,67,509,2023,Reserve,26808,CBPF-OPT-23-R-NGO-26808,Emergency Shelter and NFI,,100,500000.3
oPt,67,509,2023,Reserve,26811,CBPF-OPT-23-R-NGO-26811,Protection,,100,300000.18
oPt,67,509,2023,Reserve,26812,CBPF-OPT-23-R-NGO-26812,Protection,,100,300000
oPt,67,509,2023,Reserve,26815,CBPF-OPT-23-R-NGO-26815,"Water, Sanitation and Hygiene",,100,300000.18
oPt,67,509,2023,Reserve,26816,CBPF-OPT-23-R-NGO-26816,"Water, Sanitation and Hygiene",,100,300000
oPt,67,509,2023,Reserve,26842,CBPF-OPT-23-R-NGO-26842,"Water, Sanitation and Hygiene",,100,299848.18
oPt,67,523,2023,Reserve,27416,CBPF-OPT-23-R-NGO-27416,"Water, Sanitation and Hygiene",,100,548208.55
oPt,67,523,2023,Reserve,27344,CBPF-OPT-23-R-UN-27344,Food Security,,100,2799868.53
oPt,67,523,2023,Reserve,27349,CBPF-OPT-23-R-UN-27349,Food Security,,100,2499997.39
oPt,67,523,2023,Reserve,27353,CBPF-OPT-23-R-UN-27353,Health,,100,1498831.03
oPt,67,523,2023,Reserve,27375,CBPF-OPT-23-R-UN-27375,"Water, Sanitation and Hygiene",,100,1300000
oPt,67,523,2023,Reserve,27377,CBPF-OPT-23-R-UN-27377,Health,,30,1000007.751
oPt,67,523,2023,Reserve,27377,CBPF-OPT-23-R-UN-27377,Nutrition,,70,2333351.419
oPt,67,523,2023,Reserve,27381,CBPF-OPT-23-R-UN-27381,Nutrition,,100,299999.78
oPt,67,523,2023,Reserve,27396,CBPF-OPT-23-R-UN-27396,Protection,,100,300000.18
oPt,67,523,2023,Reserve,27398,CBPF-OPT-23-R-UN-27398,Health,,100,3650000.32
oPt,67,523,2023,Reserve,27399,CBPF-OPT-23-R-UN-27399,"Water, Sanitation and Hygiene",,100,1349970.21
oPt,67,523,2023,Reserve,27404,CBPF-OPT-23-R-UN-27404,Coordination and Support Services,,100,4161815.66
oPt,67,523,2023,Reserve,27405,CBPF-OPT-23-R-UN-27405,Health,,71,1490940.502
oPt,67,523,2023,Reserve,27405,CBPF-OPT-23-R-UN-27405,Nutrition,,29,608975.698
oPt,67,459,2023,Standard,24527,CBPF-OPT-23-S-INGO-24527,Emergency Shelter and NFI,,100,400000
oPt,67,459,2023,Standard,24531,CBPF-OPT-23-S-INGO-24531,Emergency Shelter and NFI,,100,689782.06
oPt,67,459,2023,Standard,24538,CBPF-OPT-23-S-INGO-24538,Emergency Shelter and NFI,,100,400000.34
oPt,67,459,2023,Standard,24540,CBPF-OPT-23-S-INGO-24540,Multi-purpose CASH,,100,472920.62
oPt,67,459,2023,Standard,24552,CBPF-OPT-23-S-INGO-24552,Health,,100,760000
oPt,67,459,2023,Standard,24583,CBPF-OPT-23-S-INGO-24583,Multi-purpose CASH,,100,400000
oPt,67,459,2023,Standard,24591,CBPF-OPT-23-S-INGO-24591,Protection,,100,465355.94
oPt,67,459,2023,Standard,24592,CBPF-OPT-23-S-INGO-24592,Food Security,,100,648250
oPt,67,459,2023,Standard,24596,CBPF-OPT-23-S-INGO-24596,Education,,100,324999.99
oPt,67,459,2023,Standard,24606,CBPF-OPT-23-S-INGO-24606,Food Security,,100,350000
oPt,67,459,2023,Standard,24636,CBPF-OPT-23-S-INGO-24636,Food Security,,100,316703.47
oPt,67,459,2023,Standard,24655,CBPF-OPT-23-S-INGO-24655,Education,,33,99053.9781
oPt,67,459,2023,Standard,24655,CBPF-OPT-23-S-INGO-24655,Protection,,67,201109.5919
oPt,67,459,2023,Standard,24666,CBPF-OPT-23-S-INGO-24666,"Water, Sanitation and Hygiene",,100,349974.29
oPt,67,459,2023,Standard,24671,CBPF-OPT-23-S-INGO-24671,Protection,,100,200000.25
oPt,67,459,2023,Standard,24682,CBPF-OPT-23-S-INGO-24682,Emergency Shelter and NFI,,100,297549.29
oPt,67,459,2023,Standard,24688,CBPF-OPT-23-S-INGO-24688,Health,,100,435000
oPt,67,459,2023,Standard,24689,CBPF-OPT-23-S-INGO-24689,Education,,100,250000.04
oPt,67,459,2023,Standard,24697,CBPF-OPT-23-S-INGO-24697,"Water, Sanitation and Hygiene",,100,314950.22
oPt,67,459,2023,Standard,24700,CBPF-OPT-23-S-INGO-24700,Health,,100,565000.01
oPt,67,459,2023,Standard,24733,CBPF-OPT-23-S-INGO-24733,Multi-purpose CASH,,100,317217.37
oPt,67,459,2023,Standard,24744,CBPF-OPT-23-S-INGO-24744,Food Security,,100,454998.65
oPt,67,459,2023,Standard,24746,CBPF-OPT-23-S-INGO-24746,Food Security,,100,350000.37
oPt,67,505,2023,Standard,26700,CBPF-OPT-23-S-INGO-26700,Protection,,100,333795.5
oPt,67,505,2023,Standard,26701,CBPF-OPT-23-S-INGO-26701,"Water, Sanitation and Hygiene",,100,299999.68
oPt,67,505,2023,Standard,26705,CBPF-OPT-23-S-INGO-26705,Protection,,100,323877.6
oPt,67,505,2023,Standard,26775,CBPF-OPT-23-S-INGO-26775,Health,,100,299999.86
oPt,67,505,2023,Standard,26778,CBPF-OPT-23-S-INGO-26778,Protection,,100,469525.1
oPt,67,505,2023,Standard,26851,CBPF-OPT-23-S-INGO-26851,Multi-purpose CASH,,100,250000
oPt,67,505,2023,Standard,26853,CBPF-OPT-23-S-INGO-26853,Food Security,,100,300000
oPt,67,505,2023,Standard,26896,CBPF-OPT-23-S-INGO-26896,Education,,100,200000
oPt,67,505,2023,Standard,26900,CBPF-OPT-23-S-INGO-26900,Multi-purpose CASH,,100,250000
oPt,67,505,2023,Standard,26916,CBPF-OPT-23-S-INGO-26916,Food Security,,100,199997.51
oPt,67,505,2023,Standard,26919,CBPF-OPT-23-S-INGO-26919,Emergency Shelter and NFI,,100,349692.26
oPt,67,505,2023,Standard,26925,CBPF-OPT-23-S-INGO-26925,Education,,100,149785.48
oPt,67,459,2023,Standard,24654,CBPF-OPT-23-S-NGO-24654,Protection,,100,319907.8
oPt,67,459,2023,Standard,24664,CBPF-OPT-23-S-NGO-24664,Health,,100,575000
oPt,67,459,2023,Standard,24665,CBPF-OPT-23-S-NGO-24665,Protection,,100,400000.03
oPt,67,459,2023,Standard,24672,CBPF-OPT-23-S-NGO-24672,Education,,100,259801.89
oPt,67,459,2023,Standard,24675,CBPF-OPT-23-S-NGO-24675,Emergency Shelter and NFI,,100,342952.49
oPt,67,459,2023,Standard,24679,CBPF-OPT-23-S-NGO-24679,Health,,100,300002.03
oPt,67,459,2023,Standard,24687,CBPF-OPT-23-S-NGO-24687,Food Security,,100,483147.29
oPt,67,459,2023,Standard,24691,CBPF-OPT-23-S-NGO-24691,Food Security,,100,394526.6
oPt,67,459,2023,Standard,24702,CBPF-OPT-23-S-NGO-24702,"Water, Sanitation and Hygiene",,100,584547.24
oPt,67,459,2023,Standard,24705,CBPF-OPT-23-S-NGO-24705,Emergency Shelter and NFI,,100,254021.21
oPt,67,459,2023,Standard,24706,CBPF-OPT-23-S-NGO-24706,Food Security,,100,351730.4
oPt,67,459,2023,Standard,24712,CBPF-OPT-23-S-NGO-24712,Protection,,100,219999.13
oPt,67,459,2023,Standard,24722,CBPF-OPT-23-S-NGO-24722,"Water, Sanitation and Hygiene",,100,434085.61
oPt,67,459,2023,Standard,24738,CBPF-OPT-23-S-NGO-24738,"Water, Sanitation and Hygiene",,100,297435.23
oPt,67,505,2023,Standard,26885,CBPF-OPT-23-S-NGO-26885,"Water, Sanitation and Hygiene",,100,299923.57
oPt,67,505,2023,Standard,26894,CBPF-OPT-23-S-NGO-26894,Emergency Shelter and NFI,,100,450000
oPt,67,459,2023,Standard,24715,CBPF-OPT-23-S-UN-24715,Food Security,,100,1803044.23
oPt,67,536,2024,Reserve,27652,CBPF-OPT-24-R-INGO-27652,Health,,100,500000.06
oPt,67,536,2024,Reserve,27654,CBPF-OPT-24-R-INGO-27654,"Water, Sanitation and Hygiene",,100,500000.3
oPt,67,536,2024,Reserve,27656,CBPF-OPT-24-R-INGO-27656,Emergency Shelter and NFI,,100,750000.02
oPt,67,536,2024,Reserve,27658,CBPF-OPT-24-R-INGO-27658,Food Security,,100,500000
oPt,67,536,2024,Reserve,27660,CBPF-OPT-24-R-INGO-27660,Education,,100,249952
oPt,67,539,2024,Reserve,27852,CBPF-OPT-24-R-INGO-27852,Health,,100,456498.01
oPt,67,539,2024,Reserve,27859,CBPF-OPT-24-R-INGO-27859,Education,,100,427450
oPt,67,543,2024,Reserve,27969,CBPF-OPT-24-R-INGO-27969,Emergency Shelter and NFI,,100,500000
oPt,67,536,2024,Reserve,27651,CBPF-OPT-24-R-NGO-27651,Health,,100,500000
oPt,67,536,2024,Reserve,27655,CBPF-OPT-24-R-NGO-27655,"Water, Sanitation and Hygiene",,100,500000
oPt,67,536,2024,Reserve,27657,CBPF-OPT-24-R-NGO-27657,Emergency Shelter and NFI,,100,750000
oPt,67,536,2024,Reserve,27659,CBPF-OPT-24-R-NGO-27659,Food Security,,100,500000
oPt,67,536,2024,Reserve,27661,CBPF-OPT-24-R-NGO-27661,Protection,,100,250000
oPt,67,539,2024,Reserve,27760,CBPF-OPT-24-R-NGO-27760,Education,,100,322498
oPt,67,539,2024,Reserve,27762,CBPF-OPT-24-R-NGO-27762,Health,,100,543458
oPt,67,539,2024,Reserve,27764,CBPF-OPT-24-R-NGO-27764,Protection,,100,249872.82
oPt,67,539,2024,Reserve,27774,CBPF-OPT-24-R-NGO-27774,Protection,,100,248228.01
oPt,67,539,2024,Reserve,27775,CBPF-OPT-24-R-NGO-27775,"Water, Sanitation and Hygiene",,100,333083.61
oPt,67,539,2024,Reserve,27778,CBPF-OPT-24-R-NGO-27778,Multi-purpose CASH,,100,428004.28
oPt,67,539,2024,Reserve,27784,CBPF-OPT-24-R-NGO-27784,Emergency Shelter and NFI,,100,250006.3
oPt,67,539,2024,Reserve,27789,CBPF-OPT-24-R-NGO-27789,"Water, Sanitation and Hygiene",,100,333333.03
oPt,67,539,2024,Reserve,27792,CBPF-OPT-24-R-NGO-27792,"Water, Sanitation and Hygiene",,100,333312.49
oPt,67,539,2024,Reserve,27850,CBPF-OPT-24-R-NGO-27850,Emergency Shelter and NFI,,100,250046.57
oPt,67,539,2024,Reserve,27860,CBPF-OPT-24-R-NGO-27860,Multi-purpose CASH,,100,571864.71
oPt,67,539,2024,Reserve,27877,CBPF-OPT-24-R-NGO-27877,Protection,,100,250000
oPt,67,527,2024,Reserve,27540,CBPF-OPT-24-R-UN-27540,Coordination and Support Services,,100,3547123.27
oPt,67,1373,2024,Reserve,34438,CBPF-OPT-24-R-UN-34438,Coordination and Support Services,,100,4992959.79
oPt,67,1368,2024,Reserve,34480,CBPF-OPT-24-R-UN-34480,Protection,,100,501783.86
oPt,67,1329,2024,Standard,33541,CBPF-OPT-24-S-INGO-33541,Emergency Shelter and NFI,,100,950000
oPt,67,1329,2024,Standard,33542,CBPF-OPT-24-S-INGO-33542,"Water, Sanitation and Hygiene",,100,503772.95
oPt,67,1329,2024,Standard,33550,CBPF-OPT-24-S-INGO-33550,Protection,,100,500000
oPt,67,1329,2024,Standard,33593,CBPF-OPT-24-S-INGO-33593,Emergency Shelter and NFI,,100,850000
oPt,67,1329,2024,Standard,33624,CBPF-OPT-24-S-INGO-33624,"Water, Sanitation and Hygiene",,100,383384.97
oPt,67,1329,2024,Standard,33625,CBPF-OPT-24-S-INGO-33625,Health,,100,384648.36
oPt,67,1329,2024,Standard,33626,CBPF-OPT-24-S-INGO-33626,Nutrition,,100,398243.93
oPt,67,1329,2024,Standard,33631,CBPF-OPT-24-S-INGO-33631,Food Security,,100,522510.67
oPt,67,1329,2024,Standard,33632,CBPF-OPT-24-S-INGO-33632,Food Security,,100,505574.85
oPt,67,1329,2024,Standard,33633,CBPF-OPT-24-S-INGO-33633,"Water, Sanitation and Hygiene",,100,360938.94
oPt,67,1329,2024,Standard,33646,CBPF-OPT-24-S-INGO-33646,Multi-purpose CASH,,100,700000
oPt,67,1329,2024,Standard,33657,CBPF-OPT-24-S-INGO-33657,"Water, Sanitation and Hygiene",,100,650000
oPt,67,1329,2024,Standard,33672,CBPF-OPT-24-S-INGO-33672,Health,,100,299999.75
oPt,67,1329,2024,Standard,33685,CBPF-OPT-24-S-INGO-33685,Emergency Shelter and NFI,,100,427600
oPt,67,1329,2024,Standard,33686,CBPF-OPT-24-S-INGO-33686,"Water, Sanitation and Hygiene",,100,565438.29
oPt,67,1329,2024,Standard,33689,CBPF-OPT-24-S-INGO-33689,"Water, Sanitation and Hygiene",,100,700707.37
oPt,67,1329,2024,Standard,33698,CBPF-OPT-24-S-INGO-33698,Education,,100,305797
oPt,67,1329,2024,Standard,33700,CBPF-OPT-24-S-INGO-33700,Emergency Shelter and NFI,,100,500109.44
oPt,67,1329,2024,Standard,33701,CBPF-OPT-24-S-INGO-33701,Camp Coordination / Management,,100,250000
oPt,67,1329,2024,Standard,33712,CBPF-OPT-24-S-INGO-33712,Education,,100,396909.33
oPt,67,1329,2024,Standard,33756,CBPF-OPT-24-S-INGO-33756,Emergency Shelter and NFI,,100,849350
