PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
67,oPt,PSE67,ERF/O355/1545/2265/2006,2007,Government of Spain,15,21,Spain,ES,1/1/1900 12:00:00 AM,3807106.6,10/22/2006 12:00:00 AM,4/24/2007 12:00:00 AM,4000000,1/1/0001 12:00:00 AM,EUR,0.79,EUR,0.75,3000000,3000000,0
67,oPt,PSE67,ERF/O355/1584/2398/2007,2007,Sida,20,22,Sweden,SE,1/1/1900 12:00:00 AM,1494768.31,5/21/2007 12:00:00 AM,5/21/2007 12:00:00 AM,1469495.63,1/1/0001 12:00:00 AM,SEK,6.69,SEK,6.8,9999999.99,9999917.76,0
67,oPt,PSE67,ERF/O355/2477/3895/2008,2008,Sida,20,22,Sweden,SE,1/1/1900 12:00:00 AM,879396.98,12/3/2008 12:00:00 AM,12/22/2008 12:00:00 AM,893735.02,1/1/0001 12:00:00 AM,SEK,7.96,SEK,7.83,7000000,6999732.68,0
67,oPt,PSE67,ERF/O355/2485/3903/2008,2008,Government of Spain,15,21,Spain,ES,1/15/2009 12:00:00 AM,925925.93,12/15/2008 12:00:00 AM,2/25/2009 12:00:00 AM,918635.17,1/1/0001 12:00:00 AM,EUR,0.77,EUR,0.76,700000,700000,0
67,oPt,PSE67,ERF/O355/2499/3932/2008,2008,Government of Norway,12,17,Norway,NO,1/1/1900 12:00:00 AM,755058.89,11/11/2008 12:00:00 AM,12/5/2008 12:00:00 AM,713840.03,1/1/0001 12:00:00 AM,NOK,6.62,NOK,7,5000000,4999735.57,0
67,oPt,PSE67,ERF/O355/2505/3971/2009,2009,IRISH AID,23,13,Ireland,IE,1/1/1900 12:00:00 AM,661375.66,1/15/2009 12:00:00 AM,1/28/2009 12:00:00 AM,661375.66,1/1/0001 12:00:00 AM,EUR,0.76,EUR,0.76,500000,500000,0
67,oPt,PSE67,ERF/O355/2531/3975/2009,2009,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,1/1/1900 12:00:00 AM,1430615.16,2/9/2009 12:00:00 AM,3/30/2009 12:00:00 AM,1436781.61,1/1/0001 12:00:00 AM,GBP,0.7,GBP,0.7,1000000,1000000,0
67,oPt,PSE67,ERF/O355/2560/4003/2009,2009,Sida,20,22,Sweden,SE,1/1/1900 12:00:00 AM,1215066.83,1/26/2009 12:00:00 AM,9/9/2009 12:00:00 AM,1416400.1,1/1/0001 12:00:00 AM,SEK,8.23,SEK,7.06,10000000,9999784.71,0
67,oPt,PSE67,ERF/O355/2601/4151/2009,2009,Government of Norway,12,17,Norway,NO,1/1/1900 12:00:00 AM,734214.39,4/20/2009 12:00:00 AM,5/13/2009 12:00:00 AM,778258.57,1/1/0001 12:00:00 AM,NOK,6.81,NOK,6.42,5000000,5000311.31,0
67,oPt,PSE67,ERF/O355/2667/4237/2009,2009,Government of Netherlands,11,16,Netherlands,NL,1/1/1900 12:00:00 AM,1102941,6/16/2009 12:00:00 AM,7/7/2009 12:00:00 AM,1102941,1/1/0001 12:00:00 AM,USD,1,USD,1,1102941,1102941,0
67,oPt,PSE67,ERF/O355/2774/4419/2009,2009,Government of Switzerland,16,24,Switzerland,CH,12/21/2009 12:00:00 AM,499500.5,12/5/2009 12:00:00 AM,12/17/2009 12:00:00 AM,499500.5,1/1/0001 12:00:00 AM,CHF,1,CHF,1,500000,500000,0
67,oPt,PSE67,ERF/O355/2830/4584/2009,2009,Sida,20,22,Sweden,SE,1/1/1900 12:00:00 AM,1741654.57,12/9/2009 12:00:00 AM,12/16/2009 12:00:00 AM,1656119.94,1/1/0001 12:00:00 AM,SEK,6.89,SEK,7.25,12000000,12000245.09,0
67,oPt,PSE67,ERF/O355/3018/4908/2010,2010,Government of Spain,15,21,Spain,ES,1/1/1900 12:00:00 AM,944669.37,3/11/2010 12:00:00 AM,4/12/2010 12:00:00 AM,942126.51,1/1/0001 12:00:00 AM,EUR,0.74,EUR,0.74,700000,700000,0
67,oPt,PSE67,ERF/O355/3029/4920/2010,2010,Government of Spain,15,21,Spain,ES,1/1/1900 12:00:00 AM,655307.99,8/20/2010 12:00:00 AM,10/14/2010 12:00:00 AM,680272.11,1/1/0001 12:00:00 AM,EUR,0.76,EUR,0.73,500000,500000,0
67,oPt,PSE67,ERF/O355/3118/5073/2010,2010,Government of Norway,12,17,Norway,NO,6/28/2010 12:00:00 AM,764058.68,6/15/2010 12:00:00 AM,7/6/2010 12:00:00 AM,760184.96,1/1/0001 12:00:00 AM,NOK,6.54,NOK,6.58,5000000,4999736.48,0
67,oPt,PSE67,ERF/O355/2824/4575/2009,2010,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,1/7/2010 12:00:00 AM,1600000,12/30/2009 12:00:00 AM,1/13/2010 12:00:00 AM,1600000,1/1/0001 12:00:00 AM,GBP,0.6,GBP,0.63,1000000,1000000,0
67,oPt,PSE67,ERF/O355/3396/5671/2011,2011,Sida,20,22,Sweden,SE,5/6/2011 12:00:00 AM,1326919.89,5/2/2011 12:00:00 AM,5/11/2011 12:00:00 AM,1275600.1,1/1/0001 12:00:00 AM,SEK,6.03,SEK,6.27,8000000,8000563.83,0
67,oPt,PSE67,ERF/O355/3459/5775/2011,2011,Government of Spain,15,21,Spain,ES,9/1/2011 12:00:00 AM,726744.19,8/8/2011 12:00:00 AM,10/11/2011 12:00:00 AM,682128.24,1/1/0001 12:00:00 AM,EUR,0.7,EUR,0.73,500000,500000,0
67,oPt,PSE67,ERF/O355/3728/6160/2011,2011,Government of Norway,12,17,Norway,NO,12/21/2011 12:00:00 AM,1705902.42,12/8/2011 12:00:00 AM,12/22/2011 12:00:00 AM,1701438.98,1/1/0001 12:00:00 AM,NOK,5.86,NOK,5.88,10000000,9999356.89,0
67,oPt,PSE67,ERF/O355/3870/6425/2012,2012,Sida,20,22,Sweden,SE,7/12/2012 12:00:00 AM,1132182.28,5/7/2012 12:00:00 AM,7/13/2012 12:00:00 AM,1131120,1/1/0001 12:00:00 AM,SEK,6.72,SEK,7.07,8000000,8000411.76,0
67,oPt,PSE67,ERF/O355/3938/6555/2012,2012,Government of Spain,15,21,Spain,ES,1/1/1900 12:00:00 AM,647668.39,11/19/2012 12:00:00 AM,12/4/2012 12:00:00 AM,649350.65,1/1/0001 12:00:00 AM,EUR,0.77,EUR,0.77,500000,500000,0
