PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
Afghanistan,23,1,2014,Standard,AFG-14/S1/N/UN/241,Nutrition,,100,1291299.54
Afghanistan,23,7,2015,Standard,AFG-15/O580/SA1/N/INGO/345,Nutrition,,100,203047.78
Afghanistan,23,7,2015,Standard,AFG-15/O580/SA1/WASH/INGO/335,"Water, Sanitation and Hygiene",,100,266084.39
Afghanistan,23,12,2015,Reserve,AFG-15/3481/AFG/ESNFI/INGO/457,Emergency Shelter and NFI,,100,484787.77
Afghanistan,23,12,2015,Reserve,AFG-15/3481/AFG/ESNFI/INGO/463,Emergency Shelter and NFI,,100,461293.03
Afghanistan,23,12,2015,Reserve,AFG-15/3481/AFG/ESNFI/INGO/468,Emergency Shelter and NFI,,100,275000
Afghanistan,23,12,2015,Reserve,AFG-15/3481/AFG/ESNFI/INGO/470,Emergency Shelter and NFI,,100,242617.15
Afghanistan,23,12,2015,Reserve,AFG-15/3481/AFG/ESNFI/INGO/472,Emergency Shelter and NFI,,100,1045643.59
Afghanistan,23,12,2015,Reserve,AFG-15/3481/AFG/ESNFI/NGO/460,Emergency Shelter and NFI,,100,147627.9
Afghanistan,23,12,2015,Reserve,AFG-15/3481/AFG/ESNFI/NGO/467,Emergency Shelter and NFI,,100,564742.5
Afghanistan,23,12,2015,Reserve,AFG-15/3481/AFG/ESNFI/NGO/475,Emergency Shelter and NFI,,100,253790.08
Afghanistan,23,15,2016,Standard,AFG-16/3481/SA1/FSAC/UN/535,Food Security,,100,1328965.57
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/APC/NGO/3386,Protection,,100,351923
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/APC/NGO/3657,Protection,,100,299386.4
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/APC-WASH/NGO/3519,Protection,,50,243943.12
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/APC-WASH/NGO/3519,"Water, Sanitation and Hygiene",,50,243943.12
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/ESNFI-FSAC/INGO/3546,Emergency Shelter and NFI,,90,425024.883
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/ESNFI-FSAC/INGO/3546,Food Security,,10,47224.987
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/FSAC/NGO/3405,Food Security,,100,451965
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/H/NGO/3464,Health,,100,165381.32
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/H/NGO/3590,Health,,100,159742.01
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/N/INGO/3652,Nutrition,,100,462967.6
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/N/NGO/3298,Nutrition,,100,649218.82
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/N-WASH/INGO/3409,Nutrition,,75,486193.02
Afghanistan,23,16,2016,Standard,AFG-16/3481/SA2/N-WASH/INGO/3409,"Water, Sanitation and Hygiene",,25,162064.34
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/APC/INGO/5034,Protection,,100,372360
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/APC/INGO/5128,Protection,,100,211774.74
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/APC/NGO/5192,Protection,,100,330897.5
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/ESNFI/NGO/5029,Emergency Shelter and NFI,,100,441931.4
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/FSAC/INGO/5018,Food Security,,100,461186.52
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/FSAC/NGO/5004,Food Security,,100,406735.89
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/FSAC-APC-WASH-ESNFI/INGO/4962,Emergency Shelter and NFI,,70,123985.288
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/FSAC-APC-WASH-ESNFI/INGO/4962,Food Security,,10,17712.184
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/FSAC-APC-WASH-ESNFI/INGO/4962,Protection,,10,17712.184
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/FSAC-APC-WASH-ESNFI/INGO/4962,"Water, Sanitation and Hygiene",,10,17712.184
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/H/INGO/4979,Health,,100,426111.45
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/H/INGO/4991,Health,,100,476761.31
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/H/INGO/5011,Health,,100,481645.01
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/H/NGO/4989,Health,,100,551310.66
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/H/NGO/4998,Health,,100,352995.14
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/H/NGO/5001,Health,,100,423128.29
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/H/NGO/5051,Health,,100,470324.92
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/H/NGO/5193,Health,,100,459868.88
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/N/INGO/5141,Nutrition,,100,427467.86
Afghanistan,23,21,2017,Standard,AFG-17/3481/1SA/WASH/INGO/5054,"Water, Sanitation and Hygiene",,100,351130.77
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/APC/NGO/6796,Protection,,100,691757.31
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/FSAC-WASH-APC/NGO/6789,Food Security,,72,619093.7496
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/FSAC-WASH-APC/NGO/6789,Protection,,13,111780.8159
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/FSAC-WASH-APC/NGO/6789,"Water, Sanitation and Hygiene",,15,128977.8645
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/N-H-APC/NGO/6810,Health,,64,387781.5808
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/N-H-APC/NGO/6810,Nutrition,,20,121181.744
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/N-H-APC/NGO/6810,Protection,,16,96945.3952
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/WASH-CCS-ESNFI-APC/INGO/6804,Coordination and Support Services,,20,381800.012
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/WASH-CCS-ESNFI-APC/INGO/6804,Emergency Shelter and NFI,,30,572700.018
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/WASH-CCS-ESNFI-APC/INGO/6804,Protection,,25,477250.015
Afghanistan,23,22,2017,Standard,AFG-17/3481/SA2/WASH-CCS-ESNFI-APC/INGO/6804,"Water, Sanitation and Hygiene",,25,477250.015
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/EIE/INGO/7710,Education,,100,431277.67
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/EIE/NGO/7712,Education,,100,254709.22
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/ESNFI/INGO/7704,Emergency Shelter and NFI,,100,872585
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/ESNFI-WASH-EIE/INGO/7681,Education,,22,177446.863
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/ESNFI-WASH-EIE/INGO/7681,Emergency Shelter and NFI,,35,282301.8275
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/ESNFI-WASH-EIE/INGO/7681,"Water, Sanitation and Hygiene",,43,346827.9595
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/H/NGO/7686,Health,,100,566823.94
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/H/NGO/7715,Health,,100,298332.05
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/H-N/INGO/7692,Health,,66,318391.3986
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/H-N/INGO/7692,Nutrition,,34,164019.8114
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/H-N-GBV/NGO/7666,Health,,48,300399.3504
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/H-N-GBV/NGO/7666,Nutrition,,36,225299.5128
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/H-N-GBV/NGO/7666,Protection,,16,100133.1168
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/H-N-GBV/NGO/7698,Health,,70,462520.233
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/H-N-GBV/NGO/7698,Nutrition,,25,165185.7975
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/H-N-GBV/NGO/7698,Protection,,5,33037.1595
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/N/INGO/7673,Nutrition,,100,898160.35
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/WASH/INGO/7684,"Water, Sanitation and Hygiene",,100,269579.2
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/WASH/NGO/7707,"Water, Sanitation and Hygiene",,100,393813.82
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/WASH-APC/NGO/7708,Protection,,20,79317.474
Afghanistan,23,26,2018,Standard,AFG-18/3481/SA1/WASH-APC/NGO/7708,"Water, Sanitation and Hygiene",,80,317269.896
Afghanistan,23,29,2018,Standard,AFG-18/3481/SA2/WASH-FSAC/INGO/9749,Food Security,,30,842100
Afghanistan,23,29,2018,Standard,AFG-18/3481/SA2/WASH-FSAC/INGO/9749,"Water, Sanitation and Hygiene",,70,1964900
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/APC-FSAC/NGO/13337,Food Security,,18.8,50454.75004
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/APC-FSAC/NGO/13337,Protection,,81.2,217921.57996
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/CPiE-EIE-N/NGO/13321,Education,,24,110991.5784
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/CPiE-EIE-N/NGO/13321,Nutrition,,16,73994.3856
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/CPiE-EIE-N/NGO/13321,Protection,,60,277478.946
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/CPiE-GBV/INGO/13346,Protection,,41,104854.8268
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/CPiE-GBV/INGO/13346,Protection,,59,150888.6532
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/ESNFI/INGO/13309,Emergency Shelter and NFI,,100,462233.58
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/ESNFI/NGO/13316,Emergency Shelter and NFI,,100,613480.22
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/ESNFI/NGO/13333,Emergency Shelter and NFI,,100,431918.34
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/ESNFI/NGO/13339,Emergency Shelter and NFI,,100,721497.79
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/FSAC/NGO/13325,Food Security,,100,337050
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/FSAC/UN/13322,Food Security,,100,1393479.29
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/GBV/NGO/13324,Protection,,100,175633.01
Afghanistan,23,36,2019,Standard,AFG-19/3481/SA1/GBV-CPiE/UN/13336,Protection,,50,135664.765
Afghanistan,23,40,2020,Standard,AFG-20/3481/SA1/FSAC/NGO/15061,Food Security,,100,585196.7
Afghanistan,23,40,2020,Standard,AFG-20/3481/SA1/H/NGO/15076,Health,,100,303033.63
Afghanistan,23,40,2020,Standard,AFG-20/3481/SA1/N/NGO/15059,Nutrition,,100,280004.72
Afghanistan,23,40,2020,Standard,AFG-20/3481/SA1/WASH/NGO/15112,"Water, Sanitation and Hygiene",,100,440259.71
Afghanistan,23,45,2020,Reserve,AFG-20/3481/RA6/ESNFI/NGO/17795,Emergency Shelter and NFI,,100,499974.62
Afghanistan,23,49,2021,Standard,AFG-21/3481/SA1/APC/NGO/20921,Protection,,100,239573
Afghanistan,23,50,2022,Reserve,AFG-22/3481/RA1/N/NGO/21647,Nutrition,,100,252057.76
Afghanistan,23,51,2022,Standard,AFG-22/3481/SA1/APC/NGO/22339,Protection,,100,200360.45
Afghanistan,23,51,2022,Standard,AFG-22/3481/SA1/APC/NGO/22467,Protection,,100,179977.96
Afghanistan,23,51,2022,Standard,AFG-22/3481/SA1/FSAC/NGO/22253,Food Security,,100,349921.78
Afghanistan,23,51,2022,Standard,AFG-22/3481/SA1/H/NGO/22278,Health,,100,476802.63
Afghanistan,23,51,2022,Standard,AFG-22/3481/SA1/N/NGO/22266,Nutrition,,100,303367.47
Afghanistan,23,51,2022,Standard,AFG-22/3481/SA1/N/NGO/22464,Nutrition,,100,135004.87
