PooledFundName,PooledFundId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode
Burkina Faso,85,CBPF-BFA-25-R-INGO-37818,,2025 First Reserve Allocation,2025,1,Reserve,Agence d'Aide à la coopération technique et au développement,International NGO,12 Months,477292,446067.29,0,10/27/2025 9:52:33 AM,,10/1/2025 12:00:00 AM,9/30/2026 12:00:00 AM,Contractualisaton,7353,PRJ_UND_GA_PREPAR,HC Final Approval,4,2287039.1040
CAR,17,CBPF-CAR-25-R-INGO-38623,,2025 Fifth Réserve Allocation,2025,1,Reserve,Solidarité pour la Paix et le Développement Intégré,International NGO,8 Months,878622.37,821142.4,0,1/10/2026 12:00:00 AM,"3- Likely to contribute to gender equality, but without attention to age groups",3/1/2026 12:00:00 AM,10/31/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,99452.7072
CAR,17,CBPF-CAR-25-R-INGO-38624,,2025 Sixth Réserve Allocation,2025,1,Reserve,Cooperative de Production Agricole et Artisanale pour le Developpement du Monde Rural,International NGO,9 Months,750000,700934.58,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,10/31/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,74936.3472
CAR,17,CBPF-CAR-25-R-INGO-38644,,2025 Fifth Réserve Allocation,2025,1,Reserve,Triangle Génération Humanitaire,International NGO,12 Months,1000000,934579.44,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,72711.9360
CAR,17,CBPF-CAR-25-R-INGO-38645,,2025 Sixth Réserve Allocation,2025,1,Reserve,Médecins du Monde France,International NGO,8 Months,749998.95,700933.6,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,9/30/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,72903.2832
CAR,17,CBPF-CAR-25-R-INGO-38665,,2025 Sixth Réserve Allocation,2025,1,Reserve,Global Social Action,International NGO,12 Months,749890.99,700832.7,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,99333.1152
CAR,17,CBPF-CAR-25-R-INGO-38723,,2025 Sixth Réserve Allocation,2025,1,Reserve,"«Fondation Opéra San Francesco Saverio-Collège Universitaire Aspirants Médecins Missionaires, Médeci",International NGO,12 Months,256996.88,240184,0,1/30/2026 12:00:00 AM,,3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,75127.6944
CAR,17,CBPF-CAR-25-R-INGO-38775,,2025 Sixth Réserve Allocation,2025,1,Reserve,INTERSOS,International NGO,13 Months,1000000,934579.44,0,2/13/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",3/15/2026 12:00:00 AM,4/14/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,72975.0384
CAR,17,CBPF-CAR-25-R-INGO-38813,,2025 Sixth Réserve Allocation,2025,1,Reserve,Plan International,International NGO,12 Months,834884.27,780265.67,0,11/29/2025 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",12/29/2025 12:00:00 AM,12/28/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,73022.8752
CAR,17,CBPF-CAR-25-R-INGO-38845,,2025 Sixth Réserve Allocation,2025,1,Reserve,OXFAM Intermón,International NGO,12 Months,750000,700934.58,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,73716.5088
CAR,17,CBPF-CAR-25-R-INGO-38850,,2025 Sixth Réserve Allocation,2025,1,Reserve,Welthungerhilfe,International NGO,12 Months,588000,549532.71,0,12/23/2025 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",1/22/2026 12:00:00 AM,1/21/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,99261.3600
CAR,17,CBPF-CAR-25-R-INGO-38852,,2025 Sixth Réserve Allocation,2025,1,Reserve,War Child UK,International NGO,12 Months,750000,700934.58,0,1/3/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/2/2026 12:00:00 AM,2/1/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,72688.0176
CAR,17,CBPF-CAR-25-R-INGO-38853,,2025 Sixth Réserve Allocation,2025,1,Reserve,Alliance for International Medical Action,International NGO,12 Months,750000,700934.58,0,1/30/2026 12:00:00 AM,,3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,72616.2624
CAR,17,CBPF-CAR-25-R-INGO-38856,,2025 Fifth Réserve Allocation,2025,1,Reserve,International Rescue Committee,International NGO,12 Months,700000,654205.61,0,1/17/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,2/15/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,72855.4464
CAR,17,CBPF-CAR-25-R-NGO-38632,,2025 Sixth Réserve Allocation,2025,1,Reserve,Fédération Gambissa Yindou,National NGO,9 Months,513442.18,479852.5,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,10/31/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,107250.1056
CAR,17,CBPF-CAR-25-R-NGO-38648,,2025 Sixth Réserve Allocation,2025,1,Reserve,Centre de Réeduction pour Handicapés Moteurs,National NGO,6 Months,301811.45,282066.78,0,1/2/2026 12:00:00 AM,"3- Likely to contribute to gender equality, but without attention to age groups",3/1/2026 12:00:00 AM,8/31/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,266833.6704
CAR,17,CBPF-CAR-25-R-NGO-38663,,2025 Fifth Réserve Allocation,2025,1,Reserve,African Relief Service,National NGO,12 Months,748582.06,699609.4,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,74816.7552
CAR,17,CBPF-CAR-25-R-NGO-38693,,2025 Sixth Réserve Allocation,2025,1,Reserve,Association des Humanitaires pour le Développement,National NGO,9 Months,537000.71,501869.82,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,10/31/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,75606.0624
CAR,17,CBPF-CAR-25-R-NGO-38707,,2025 Sixth Réserve Allocation,2025,1,Reserve,ASSOCIATION EPHPHATHA,National NGO,12 Months,460058.27,429961,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,262647.9504
CAR,17,CBPF-CAR-25-R-NGO-38714,,2025 Sixth Réserve Allocation,2025,1,Reserve,Association des Femmes pour la Promotion de l'Entreprenariat,National NGO,12 Months,850000,794392.52,0,1/18/2026 12:00:00 AM,1- Unlikely to contribute to gender equality (no gender equality measure and no age consideration),2/17/2026 12:00:00 AM,2/16/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,72472.7520
CAR,17,CBPF-CAR-25-R-NGO-38729,,2025 Sixth Réserve Allocation,2025,1,Reserve,Fracarita Centrafrique,National NGO,12 Months,599999.65,560747.34,0,12/2/2025 12:00:00 AM,,1/1/2026 12:00:00 AM,12/31/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,99285.2784
CAR,17,CBPF-CAR-25-R-NGO-38776,,2025 Sixth Réserve Allocation,2025,1,Reserve,Forces des Nations pour des Œuvres Humanitaires et Développement Durable,National NGO,12 Months,599997.57,560745.39,0,1/2/2026 12:00:00 AM,"3- Likely to contribute to gender equality, but without attention to age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,262767.5424
CAR,17,CBPF-CAR-25-R-NGO-38780,,2025 Sixth Réserve Allocation,2025,1,Reserve,Association pour le Développement de l'Enfant et de la Famille,National NGO,12 Months,547121.99,511328.96,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,263485.0944
CAR,17,CBPF-CAR-25-R-NGO-38807,,2025 Sixth Réserve Allocation,2025,1,Reserve,Organisation pour la Promotion des Initiatives de developpement Durable,National NGO,6 Months,93753.4,87620,0,1/31/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",3/2/2026 12:00:00 AM,9/1/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,74745.0000
