PooledFundName,PooledFundId,AllocationTypeId,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectStartDate,ProjectEndDate,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,Men,Women,Boys,Girls,ProjectSummary,IndirectBeneficiaries,CatchmentPopulation,AllocationStrategy,HumanitarianContext,GrantRequestJustification,DescriptionOfBeneficiaries,NeedsAssessment,Activities,ImplementationPlan,Monitoring_Eval,CrossCuttingIssues,EnvironmentMarker,GenderMarker,GenderTheme,FieldSecurity,Access,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AllocationTypeCategoryId,AllocationTypeCategory,ApprovedDate
Ukraine,81,217,13624,UKR-19/UKR_CBPF/SA1/FSL/NGO/13624,,UHF 1st Standard Allocation,2019,2,Standard,Dorcas Aid International Transcarpathia,National NGO,Life saving support for conflict affected most vulnerable residents of Donetsk Oblast,10/1/2019 12:00:00 AM,6/30/2020 12:00:00 AM,9 Months,208896.41,170748.05,24482.24,8/9/2019 1:46:27 PM,256,384,64,96,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,10/1/2019 12:00:00 AM,6/30/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,920245.0500,0,,10/10/2019 1:48:08 PM
Ukraine,81,217,13680,UKR-19/UKR_CBPF/SA1/P-WASH-H-N/INGO/13680,,UHF 1st Standard Allocation,2019,2,Standard,HelpAge International UK,International NGO,“Emergency multi-sectoral support to conflict affected vulnerable and disabled older women and men in settlements located in the 5km zone in the GCAs locations of Donetsk and Luhansk Oblasts”,10/14/2019 12:00:00 AM,7/13/2020 12:00:00 AM,11 Months,273194.01,207867.67,47453.83,8/9/2019 4:28:46 PM,599,1062,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,10/14/2019 12:00:00 AM,9/13/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,1204067.9970,4,HFU Management Cost,10/15/2019 1:39:29 PM
Ukraine,81,217,13694,UKR-19/UKR_CBPF/SA1/P-FSL-H-N-WASH-S-NFI/NGO/13694,,UHF 1st Standard Allocation,2019,2,Standard,Charitable Organization Charitable Foundation “Development Center',National NGO,Rod for Donbass,12/1/2019 12:00:00 AM,5/31/2020 12:00:00 AM,6 Months,307208.14,289819,0,8/9/2019 3:09:28 PM,508,619,149,144,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,2/10/2020 12:00:00 AM,8/9/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,919760.7105,3,N/A,2/26/2020 8:09:16 PM
Ukraine,81,217,13701,UKR-19/UKR_CBPF/SA1/P-WASH-FSL/INGO/13701,,UHF 1st Standard Allocation,2019,2,Standard,People in Need,International NGO,Multi-sectoral humanitarian assistance for conflict affected families with person with disability and/or most vulnerable elderly in settlements within 5 km of the line of contact in Luhansk Oblast in Non-Government Controlled Areas of Ukraine.,12/1/2019 12:00:00 AM,8/31/2020 12:00:00 AM,14 Months,321593,259521.85,41032.36,8/9/2019 7:40:35 PM,365,715,43,43,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,12/1/2019 12:00:00 AM,1/31/2021 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,1314013.0635,0,,12/20/2019 8:59:56 PM
Ukraine,81,217,13707,UKR-19/UKR_CBPF/SA1/WASH-S-NFI/NGO/13707,,UHF 1st Standard Allocation,2019,2,Standard,Charity Foundation “NEW WAY”,National NGO,"Assistance to the conflict-affected population in isolated settlements in Toretsk and Volnovakha rayon of Donetsk Oblast, GCA",10/1/2019 12:00:00 AM,3/31/2020 12:00:00 AM,7 Months,260008.98,227732.48,25934.82,8/9/2019 8:24:19 PM,356,543,43,28,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,10/1/2019 12:00:00 AM,4/30/2020 12:00:00 AM,Project Closed,4221,PRJ_PRJ_CLS,Project Closure,16,1925733.8520,3,N/A,10/14/2019 2:30:20 PM
Ukraine,81,217,13722,UKR-19/UKR_CBPF/SA1/S-NFI-H-N-FSL/INGO/13722,,UHF 1st Standard Allocation,2019,2,Standard,International Public Organization 'Emmanuel' Charity Association,International NGO,Addressing immediate needs of  people with disabilities living in isolated settlements in GCA,10/1/2019 12:00:00 AM,1/31/2020 12:00:00 AM,4 Months,215349.01,201260.76,0,8/9/2019 2:24:38 PM,296,444,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,10/1/2019 12:00:00 AM,1/31/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,924604.1055,4,HFU Management Cost,10/4/2019 3:06:52 PM
Ukraine,81,217,13730,UKR-19/UKR_CBPF/SA1/P-FSL/INGO/13730,,UHF 1st Standard Allocation,2019,2,Standard,Triangle Generation Humanitaire,International NGO,"Building resilience of vulnerable conflict-affected individuals in 7 isolated settlements in Bakhmutskyi and Volnovaskyi rayons in Donetska oblast and Novoaidarskyi and Stanichno-Luhanskyi rayons in Luhanska oblast to withstand harsh winter months through provision of community-based home care, Cash for Work and electronic food  vouchers.",11/1/2019 12:00:00 AM,3/31/2020 12:00:00 AM,5 Months,204999.99,167865.62,23723.16,8/9/2019 2:30:09 PM,225,805,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,11/1/2019 12:00:00 AM,3/31/2020 12:00:00 AM,Project Closed,4221,PRJ_PRJ_CLS,Project Closure,16,1427348.5065,0,,10/10/2019 1:45:36 PM
Ukraine,81,217,13737,UKR-19/UKR_CBPF/SA1/H-N-WASH/NGO/13737,,UHF 1st Standard Allocation,2019,2,Standard,ICF Caritas Ukraine,National NGO,Provision of multi-sectoral market-based and community based assistance to the most vulnerable elderly people living along contact line to ensure their overcoming the effects of protracted crises in Ukraine,10/1/2019 12:00:00 AM,6/30/2020 12:00:00 AM,11 Months,222890.5,159933.64,48375.24,8/8/2019 7:48:11 PM,656,760,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,10/1/2019 12:00:00 AM,8/31/2020 12:00:00 AM,Under Refund,4223,PRJ_UND_REF,Project Closure,16,922182.4080,4,HFU Management Cost,10/14/2019 2:35:56 PM
Ukraine,81,217,13752,UKR-19/UKR_CBPF/SA1/P-WASH/NGO/13752,,UHF 1st Standard Allocation,2019,2,Standard,Proliska,National NGO,Assistance to elderly people living alone and people with disabilities living close to the contact line in Government Controlled Areas of Donetska and Luhanska oblasts,11/1/2019 12:00:00 AM,10/31/2020 12:00:00 AM,14 Months,213000,177384.12,29412,8/9/2019 8:02:52 PM,168,351,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,11/1/2019 12:00:00 AM,12/31/2020 12:00:00 AM,Under Refund,4223,PRJ_UND_REF,Project Closure,16,925088.4450,0,,10/23/2019 7:37:34 PM
Ukraine,81,217,13773,UKR-19/UKR_CBPF/SA1/WASH-P/INGO/13773,,UHF 1st Standard Allocation,2019,2,Standard,Save the Children Fund,International NGO,Providing lifesaving assistance for the most vulnerable families in Donetsk NGCA,10/15/2019 12:00:00 AM,5/14/2020 12:00:00 AM,7 Months,200140,160200.93,26845.8,8/9/2019 12:56:27 PM,820,2742,4544,3840,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,3/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,1409912.2845,0,,2/27/2020 7:31:02 PM
