PooledFundId,PooledFundName,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectDuration,Budget,EnvironmentMarker,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AdminLocation1TypeName,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLevel1PCode,AdminLevel1Percentage
81,Ukraine,13624,UKR-19/UKR_CBPF/SA1/FSL/NGO/13624,,UHF 1st Standard Allocation,2019,2,Standard,Dorcas Aid International Transcarpathia,National NGO,Life saving support for conflict affected most vulnerable residents of Donetsk Oblast,9 Months,208896.41,,"4- Likely to contribute to gender equality, including across age groups",10/1/2019 12:00:00 AM,6/30/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,920245.0500,Oblast,Donetska,48.04760900,37.67396200,UKR14,78.00000
81,Ukraine,13680,UKR-19/UKR_CBPF/SA1/P-WASH-H-N/INGO/13680,,UHF 1st Standard Allocation,2019,2,Standard,HelpAge International UK,International NGO,“Emergency multi-sectoral support to conflict affected vulnerable and disabled older women and men in settlements located in the 5km zone in the GCAs locations of Donetsk and Luhansk Oblasts”,11 Months,273194.01,,"4- Likely to contribute to gender equality, including across age groups",10/14/2019 12:00:00 AM,9/13/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,1204067.9970,Oblast,Donetska,48.04760900,37.67396200,UKR14,59.07000
81,Ukraine,13680,UKR-19/UKR_CBPF/SA1/P-WASH-H-N/INGO/13680,,UHF 1st Standard Allocation,2019,2,Standard,HelpAge International UK,International NGO,“Emergency multi-sectoral support to conflict affected vulnerable and disabled older women and men in settlements located in the 5km zone in the GCAs locations of Donetsk and Luhansk Oblasts”,11 Months,273194.01,,"4- Likely to contribute to gender equality, including across age groups",10/14/2019 12:00:00 AM,9/13/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,1204067.9970,Oblast,Luhanska,48.98548500,39.01766300,UKR44,18.70000
81,Ukraine,13694,UKR-19/UKR_CBPF/SA1/P-FSL-H-N-WASH-S-NFI/NGO/13694,,UHF 1st Standard Allocation,2019,2,Standard,Charitable Organization Charitable Foundation “Development Center',National NGO,Rod for Donbass,6 Months,307208.14,,"4- Likely to contribute to gender equality, including across age groups",2/10/2020 12:00:00 AM,8/9/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,919760.7105,Oblast,Donetska,48.04760900,37.67396200,UKR14,15.00000
81,Ukraine,13701,UKR-19/UKR_CBPF/SA1/P-WASH-FSL/INGO/13701,,UHF 1st Standard Allocation,2019,2,Standard,People in Need,International NGO,Multi-sectoral humanitarian assistance for conflict affected families with person with disability and/or most vulnerable elderly in settlements within 5 km of the line of contact in Luhansk Oblast in Non-Government Controlled Areas of Ukraine.,14 Months,321593,,"4- Likely to contribute to gender equality, including across age groups",12/1/2019 12:00:00 AM,1/31/2021 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,1314013.0635,Oblast,Luhanska,48.98548500,39.01766300,UKR44,20.00000
81,Ukraine,13707,UKR-19/UKR_CBPF/SA1/WASH-S-NFI/NGO/13707,,UHF 1st Standard Allocation,2019,2,Standard,Charity Foundation “NEW WAY”,National NGO,"Assistance to the conflict-affected population in isolated settlements in Toretsk and Volnovakha rayon of Donetsk Oblast, GCA",7 Months,260008.98,,"4- Likely to contribute to gender equality, including across age groups",10/1/2019 12:00:00 AM,4/30/2020 12:00:00 AM,Project Closed,4221,PRJ_PRJ_CLS,Project Closure,16,1925733.8520,Oblast,Donetska,48.04760900,37.67396200,UKR14,100.00000
81,Ukraine,13722,UKR-19/UKR_CBPF/SA1/S-NFI-H-N-FSL/INGO/13722,,UHF 1st Standard Allocation,2019,2,Standard,International Public Organization 'Emmanuel' Charity Association,International NGO,Addressing immediate needs of  people with disabilities living in isolated settlements in GCA,4 Months,215349.01,,"4- Likely to contribute to gender equality, including across age groups",10/1/2019 12:00:00 AM,1/31/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,924604.1055,Oblast,Donetska,48.04760900,37.67396200,UKR14,52.00000
81,Ukraine,13730,UKR-19/UKR_CBPF/SA1/P-FSL/INGO/13730,,UHF 1st Standard Allocation,2019,2,Standard,Triangle Generation Humanitaire,International NGO,"Building resilience of vulnerable conflict-affected individuals in 7 isolated settlements in Bakhmutskyi and Volnovaskyi rayons in Donetska oblast and Novoaidarskyi and Stanichno-Luhanskyi rayons in Luhanska oblast to withstand harsh winter months through provision of community-based home care, Cash for Work and electronic food  vouchers.",5 Months,204999.99,,"4- Likely to contribute to gender equality, including across age groups",11/1/2019 12:00:00 AM,3/31/2020 12:00:00 AM,Project Closed,4221,PRJ_PRJ_CLS,Project Closure,16,1427348.5065,Oblast,Donetska,48.04760900,37.67396200,UKR14,22.27000
81,Ukraine,13730,UKR-19/UKR_CBPF/SA1/P-FSL/INGO/13730,,UHF 1st Standard Allocation,2019,2,Standard,Triangle Generation Humanitaire,International NGO,"Building resilience of vulnerable conflict-affected individuals in 7 isolated settlements in Bakhmutskyi and Volnovaskyi rayons in Donetska oblast and Novoaidarskyi and Stanichno-Luhanskyi rayons in Luhanska oblast to withstand harsh winter months through provision of community-based home care, Cash for Work and electronic food  vouchers.",5 Months,204999.99,,"4- Likely to contribute to gender equality, including across age groups",11/1/2019 12:00:00 AM,3/31/2020 12:00:00 AM,Project Closed,4221,PRJ_PRJ_CLS,Project Closure,16,1427348.5065,Oblast,Luhanska,48.98548500,39.01766300,UKR44,77.73000
81,Ukraine,13737,UKR-19/UKR_CBPF/SA1/H-N-WASH/NGO/13737,,UHF 1st Standard Allocation,2019,2,Standard,ICF Caritas Ukraine,National NGO,Provision of multi-sectoral market-based and community based assistance to the most vulnerable elderly people living along contact line to ensure their overcoming the effects of protracted crises in Ukraine,11 Months,222890.5,,"4- Likely to contribute to gender equality, including across age groups",10/1/2019 12:00:00 AM,8/31/2020 12:00:00 AM,Under Refund,4223,PRJ_UND_REF,Project Closure,16,922182.4080,Oblast,Donetska,48.04760900,37.67396200,UKR14,25.00000
81,Ukraine,13737,UKR-19/UKR_CBPF/SA1/H-N-WASH/NGO/13737,,UHF 1st Standard Allocation,2019,2,Standard,ICF Caritas Ukraine,National NGO,Provision of multi-sectoral market-based and community based assistance to the most vulnerable elderly people living along contact line to ensure their overcoming the effects of protracted crises in Ukraine,11 Months,222890.5,,"4- Likely to contribute to gender equality, including across age groups",10/1/2019 12:00:00 AM,8/31/2020 12:00:00 AM,Under Refund,4223,PRJ_UND_REF,Project Closure,16,922182.4080,Oblast,Luhanska,48.98548500,39.01766300,UKR44,25.00000
81,Ukraine,13752,UKR-19/UKR_CBPF/SA1/P-WASH/NGO/13752,,UHF 1st Standard Allocation,2019,2,Standard,Proliska,National NGO,Assistance to elderly people living alone and people with disabilities living close to the contact line in Government Controlled Areas of Donetska and Luhanska oblasts,14 Months,213000,,"4- Likely to contribute to gender equality, including across age groups",11/1/2019 12:00:00 AM,12/31/2020 12:00:00 AM,Under Refund,4223,PRJ_UND_REF,Project Closure,16,925088.4450,Oblast,Donetska,48.04760900,37.67396200,UKR14,57.30000
81,Ukraine,13752,UKR-19/UKR_CBPF/SA1/P-WASH/NGO/13752,,UHF 1st Standard Allocation,2019,2,Standard,Proliska,National NGO,Assistance to elderly people living alone and people with disabilities living close to the contact line in Government Controlled Areas of Donetska and Luhanska oblasts,14 Months,213000,,"4- Likely to contribute to gender equality, including across age groups",11/1/2019 12:00:00 AM,12/31/2020 12:00:00 AM,Under Refund,4223,PRJ_UND_REF,Project Closure,16,925088.4450,Oblast,Luhanska,48.98548500,39.01766300,UKR44,29.20000
81,Ukraine,13773,UKR-19/UKR_CBPF/SA1/WASH-P/INGO/13773,,UHF 1st Standard Allocation,2019,2,Standard,Save the Children Fund,International NGO,Providing lifesaving assistance for the most vulnerable families in Donetsk NGCA,7 Months,200140,,"4- Likely to contribute to gender equality, including across age groups",3/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,1409912.2845,Oblast,Donetska,48.04760900,37.67396200,UKR14,62.90000
