PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfId,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
South Sudan,19,5,2015,Reserve,142,SSD-14/RA 3/WASH/UN/142,"Water, Sanitation and Hygiene",,100,286546
South Sudan,19,9,2015,Reserve,492,SSD-15/HSS10/RA1/P/UN/492,Protection,,100,497193.5
South Sudan,19,10,2015,Reserve,502,SSD-15/HSS10/RA2/L/UN/502,Logistics,,100,1335026.03
South Sudan,19,5,2015,Reserve,659,SSD-15/HSS10/RA3/CCCM/INGO/659,Camp Coordination / Management,,100,891328.19
South Sudan,19,5,2015,Reserve,655,SSD-15/HSS10/RA3/L/UN/655,Logistics,,100,322500.14
South Sudan,19,5,2015,Reserve,656,SSD-15/HSS10/RA3/L/UN/656,Logistics,,100,1572382.12
South Sudan,19,5,2015,Reserve,657,SSD-15/HSS10/RA3/L/UN/657,Logistics,,100,1105003.04
South Sudan,19,12,2015,Reserve,668,SSD-15/HSS10/RA4/E/INGO/668,Education,,100,499966.83
South Sudan,19,12,2015,Reserve,662,SSD-15/HSS10/RA4/H/INGO/662,Health,,100,200000
South Sudan,19,12,2015,Reserve,666,SSD-15/HSS10/RA4/H/INGO/666,Health,,100,102525.47
South Sudan,19,12,2015,Reserve,661,SSD-15/HSS10/RA4/H/NGO/661,Health,,100,75006.25
South Sudan,19,12,2015,Reserve,664,SSD-15/HSS10/RA4/MA/INGO/664,Protection,,100,197884.48
South Sudan,19,12,2015,Reserve,663,SSD-15/HSS10/RA4/N/NGO/663,Nutrition,,100,495042.3
South Sudan,19,12,2015,Reserve,665,SSD-15/HSS10/RA4/P/INGO/665,Protection,,100,200000.09
South Sudan,19,12,2015,Reserve,667,SSD-15/HSS10/RA4/WASH/INGO/667,"Water, Sanitation and Hygiene",,100,612670.06
South Sudan,19,13,2015,Reserve,669,SSD-15/HSS10/RA5/CCCM/UN/669,Camp Coordination / Management,,100,790013.1
South Sudan,19,7,2015,Standard,491,SSD-15/HSS10/SA1/CCCM/UN/491,Camp Coordination / Management,,100,400001.63
South Sudan,19,11,2015,Standard,635,SSD-15/HSS10/SA2/CCCM/INGO/635,Camp Coordination / Management,,100,495049.46
South Sudan,19,11,2015,Standard,518,SSD-15/HSS10/SA2/CCCM/UN/518,Camp Coordination / Management,,100,599978.96
South Sudan,19,11,2015,Standard,618,SSD-15/HSS10/SA2/CCS/UN/618,Coordination and Support Services,,100,500000
South Sudan,19,11,2015,Standard,509,SSD-15/HSS10/SA2/E/NGO/509,Education,,100,203214.4
