PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
19,South Sudan,SSD19,CHF/000095/HSS10/5-2012/1486,2012,Government of Denmark,5,8,Denmark,DK,5/10/2012 12:00:00 AM,5123825.79,1/1/0001 12:00:00 AM,5/22/2012 12:00:00 AM,5123825.79,1/1/0001 12:00:00 AM,DKK ,5.62,DKK ,5.62,28775406,28775406,0
19,South Sudan,SSD19,CHF/000182/HSS10/11-2012/1751,2012,Government of Netherlands,11,16,Netherlands,NL,11/30/2012 12:00:00 AM,11428571,1/1/0001 12:00:00 AM,12/19/2012 12:00:00 AM,11428571,1/1/0001 12:00:00 AM,USD ,1,USD ,1,11428571,11428571,0
19,South Sudan,SSD19,CHF/000182/HSS10/7-2012/1587,2012,Government of Netherlands,11,16,Netherlands,NL,7/19/2012 12:00:00 AM,8571429,1/1/0001 12:00:00 AM,7/27/2012 12:00:00 AM,8571429,1/1/0001 12:00:00 AM,USD ,1,USD ,1,8571429,8571429,0
19,South Sudan,SSD19,CHF/000187/HSS10/12-2012/1782,2012,Government of Norway,12,17,Norway,NO,12/5/2012 12:00:00 AM,6052837.71,1/1/0001 12:00:00 AM,12/17/2012 12:00:00 AM,6052837.71,1/1/0001 12:00:00 AM,NOK ,5.66,NOK ,5.66,34283273,34283273,0
19,South Sudan,SSD19,CHF/000187/HSS10/3-2012/1427,2012,Government of Norway,12,17,Norway,NO,3/15/2012 12:00:00 AM,6053792.27,1/1/0001 12:00:00 AM,3/26/2012 12:00:00 AM,6053792.27,1/1/0001 12:00:00 AM,NOK ,5.59,NOK ,5.59,33822537,33822537,0
19,South Sudan,SSD19,CHF/000551/HSS10/2-2012/1401,2012,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,2/29/2012 12:00:00 AM,23583918.37,1/1/0001 12:00:00 AM,3/7/2012 12:00:00 AM,23770500,1/1/0001 12:00:00 AM,GBP ,0.64,GBP ,0.63,15022956,15022956,0
19,South Sudan,SSD19,CHF/000551/HSS10/9-2012/1687,2012,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,9/21/2012 12:00:00 AM,25349606.34,1/1/0001 12:00:00 AM,10/1/2012 12:00:00 AM,25924800,1/1/0001 12:00:00 AM,GBP ,0.63,GBP ,0.62,15995602,15995602,0
19,South Sudan,SSD19,CHF/000555/HSS10/11-2012/1730,2012,Sida,20,22,Sweden,SE,11/20/2012 12:00:00 AM,2227891.5,1/1/0001 12:00:00 AM,12/14/2012 12:00:00 AM,2223874.87,1/1/0001 12:00:00 AM,SEK ,6.64,SEK ,6.66,14802111,14802111,0
19,South Sudan,SSD19,CHF/000555/HSS10/3-2012/1402,2012,Sida,20,22,Sweden,SE,3/1/2012 12:00:00 AM,6004527.07,1/1/0001 12:00:00 AM,1/1/2012 12:00:00 AM,5729974.83,1/1/0001 12:00:00 AM,SEK ,6.59,SEK ,6.91,39599856,39599856,0
19,South Sudan,SSD19,CHF/000555/HSS10/4-2012/1463,2012,Sida,20,22,Sweden,SE,4/18/2012 12:00:00 AM,11128474.6,1/1/0001 12:00:00 AM,4/20/2012 12:00:00 AM,11128474.6,1/1/0001 12:00:00 AM,SEK ,6.66,SEK ,6.66,74171283,74171283,0
19,South Sudan,SSD19,CHF/011211/HSS10/3-2012/1419,2012,IRISH AID,23,13,Ireland,IE,3/12/2012 12:00:00 AM,1168196.4,1/1/0001 12:00:00 AM,3/22/2012 12:00:00 AM,1168196.4,1/1/0001 12:00:00 AM,EUR ,0.75,EUR ,0.75,871475,871475,0
19,South Sudan,SSD19,CHF/011211/HSS10/6-2012/1542,2012,IRISH AID,23,13,Ireland,IE,6/12/2012 12:00:00 AM,1750686,1/1/0001 12:00:00 AM,6/28/2012 12:00:00 AM,1750686,1/1/0001 12:00:00 AM,EUR ,0.8,EUR ,0.8,1409302,1409302,0
19,South Sudan,SSD19,CHF/011234/HSS10/3-2012/1432,2012,Government of Australia (Former AusAID),24,3,Australia,AU,3/20/2012 12:00:00 AM,4243200,1/1/0001 12:00:00 AM,3/26/2012 12:00:00 AM,4243200,1/1/0001 12:00:00 AM,AUD ,0.93,AUD ,0.93,3950419,3950419,0
19,South Sudan,SSD19,CHF/011234/HSS10/9-2012/1661,2012,Government of Australia (Former AusAID),24,3,Australia,AU,9/4/2012 12:00:00 AM,5102500,1/1/0001 12:00:00 AM,9/19/2012 12:00:00 AM,5102500,1/1/0001 12:00:00 AM,AUD ,0.97,AUD ,0.97,4939220,4939220,0
19,South Sudan,SSD19,CHF/011234/HSS10/4-2013/2003,2013,Government of Australia (Former AusAID),24,3,Australia,AU,4/19/2013 12:00:00 AM,2068633.16,1/1/0001 12:00:00 AM,5/9/2013 12:00:00 AM,2049400,1/1/0001 12:00:00 AM,AUD ,0.96,AUD ,0.97,1983819,1983819,0
19,South Sudan,SSD19,CHF/011234/HSS10/6-2013/2078,2013,Government of Australia (Former AusAID),24,3,Australia,AU,6/27/2013 12:00:00 AM,2857530.64,1/1/0001 12:00:00 AM,7/5/2013 12:00:00 AM,2766900,1/1/0001 12:00:00 AM,AUD ,1.04,AUD ,1.07,2966117,2966117,0
19,South Sudan,SSD19,CHF/011211/HSS10/7-2013/2114,2013,IRISH AID,23,13,Ireland,IE,7/19/2013 12:00:00 AM,1282950.16,1/1/0001 12:00:00 AM,8/20/2013 12:00:00 AM,1305070,1/1/0001 12:00:00 AM,EUR ,0.77,EUR ,0.75,984023,984023,0
19,South Sudan,SSD19,CHF/011211/HSS10/3-2013/1953,2013,IRISH AID,23,13,Ireland,IE,3/27/2013 12:00:00 AM,1932652.67,1/1/0001 12:00:00 AM,4/8/2013 12:00:00 AM,1907970,1/1/0001 12:00:00 AM,EUR ,0.77,EUR ,0.78,1493941,1493941,0
19,South Sudan,SSD19,CHF/000555/HSS10/3-2013/1946,2013,Sida,20,22,Sweden,SE,3/26/2013 12:00:00 AM,14202910.46,1/1/0001 12:00:00 AM,4/16/2013 12:00:00 AM,13997672.4,1/1/0001 12:00:00 AM,SEK ,6.41,SEK ,6.51,91054859,91054859,0
19,South Sudan,SSD19,CHF/000551/HSS10/8-2013/1899,2013,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,2/14/2013 12:00:00 AM,22413628.99,1/1/0001 12:00:00 AM,8/13/2013 12:00:00 AM,21695024.09,1/1/0001 12:00:00 AM,GBP ,0.63,GBP ,0.66,14210241,14210241,0
19,South Sudan,SSD19,CHF/000551/HSS10/8-2013/2148,2013,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,8/1/2013 12:00:00 AM,3084040.09,1/1/0001 12:00:00 AM,8/15/2013 12:00:00 AM,3084040.09,1/1/0001 12:00:00 AM,GBP ,0.65,GBP ,0.65,2020046,2020046,0
19,South Sudan,SSD19,CHF/000551/HSS10/2-2013/1899,2013,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,2/14/2013 12:00:00 AM,21996879.5,1/1/0001 12:00:00 AM,3/1/2013 12:00:00 AM,21162400,1/1/0001 12:00:00 AM,GBP ,0.63,GBP ,0.66,13946022,13946022,0
19,South Sudan,SSD19,CHF/000551/HSS10/12-2013/2279,2013,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,12/5/2013 12:00:00 AM,31072600,1/1/0001 12:00:00 AM,12/10/2013 12:00:00 AM,31072600,1/1/0001 12:00:00 AM,GBP ,0.61,GBP ,0.61,19078576,19078576,0
19,South Sudan,SSD19,CHF/000187/HSS10/6-2013/2056,2013,Government of Norway,12,17,Norway,NO,6/13/2013 12:00:00 AM,8547008.55,1/1/0001 12:00:00 AM,6/6/2013 12:00:00 AM,8547008.55,1/1/0001 12:00:00 AM,NOK ,5.85,NOK ,5.85,50000000,50000000,0
19,South Sudan,SSD19,CHF/000182/HSS10/10-2013/2202,2013,Government of Netherlands,11,16,Netherlands,NL,10/8/2013 12:00:00 AM,5000000,1/1/0001 12:00:00 AM,10/25/2013 12:00:00 AM,5000000,1/1/0001 12:00:00 AM,USD ,1,USD ,1,5000000,5000000,0
19,South Sudan,SSD19,CHF/000095/HSS10/3-2013/1913,2013,Government of Denmark,5,8,Denmark,DK,3/4/2013 12:00:00 AM,3525860.76,1/1/0001 12:00:00 AM,3/25/2013 12:00:00 AM,3485474.29,1/1/0001 12:00:00 AM,DKK ,5.7,DKK ,5.76,20083303,20083303,0
19,South Sudan,SSD19,CHF/000095/HSS10/7-2013/2102,2013,Government of Denmark,5,8,Denmark,DK,7/12/2013 12:00:00 AM,3507026.12,1/1/0001 12:00:00 AM,8/6/2013 12:00:00 AM,3568815.69,1/1/0001 12:00:00 AM,DKK ,5.72,DKK ,5.62,20053175,20053175,0
19,South Sudan,SSD19,CHF/000117/HSS10/1-2014/2392,2014,Government of Germany,7,11,Germany,DE,1/17/2014 12:00:00 AM,975456.48,1/1/0001 12:00:00 AM,3/12/2014 12:00:00 AM,967450,1/1/0001 12:00:00 AM,EUR ,0.73,EUR ,0.73,707206,707206,0
19,South Sudan,SSD19,CHF/000095/HSS10/3-2014/2427,2014,Government of Denmark,5,8,Denmark,DK,3/3/2014 12:00:00 AM,4671500.11,1/1/0001 12:00:00 AM,3/17/2014 12:00:00 AM,4671500.11,1/1/0001 12:00:00 AM,DKK ,5.45,DKK ,5.45,25478362,25478362,0
19,South Sudan,SSD19,CHF/000095/HSS10/5-2014/2504,2014,Government of Denmark,5,8,Denmark,DK,5/26/2014 12:00:00 AM,3705526.43,1/1/0001 12:00:00 AM,6/3/2014 12:00:00 AM,3645444.11,1/1/0001 12:00:00 AM,DKK ,5.4,DKK ,5.49,20009843,20009843,0
19,South Sudan,SSD19,CHF/000117/HSS10/12-2014/2872,2014,Government of Germany,7,11,Germany,DE,12/3/2014 12:00:00 AM,990400,1/1/0001 12:00:00 AM,12/11/2014 12:00:00 AM,990400,1/1/0001 12:00:00 AM,EUR ,0.8,EUR ,0.8,791330,791330,0
19,South Sudan,SSD19,CHF/000055/HSS10/1-2014/2401,2014,Government of Australia,2,3,Australia,AU,1/31/2014 12:00:00 AM,2663345.99,1/1/0001 12:00:00 AM,2/6/2014 12:00:00 AM,2625900,1/1/0001 12:00:00 AM,AUD ,1.12,AUD ,1.14,2988274,2988274,0
19,South Sudan,SSD19,CHF/000061/HSS10/10-2014/2735,2014,Government of Belgium,4,6,Belgium,BE,10/13/2014 12:00:00 AM,2297579.92,1/1/0001 12:00:00 AM,11/18/2014 12:00:00 AM,2251800,1/1/0001 12:00:00 AM,EUR ,0.79,EUR ,0.8,1808195,1808195,0
19,South Sudan,SSD19,CHF/000055/HSS10/9-2014/2703,2014,Government of Australia,2,3,Australia,AU,9/23/2014 12:00:00 AM,4699762.79,1/1/0001 12:00:00 AM,10/7/2014 12:00:00 AM,4383984.66,1/1/0001 12:00:00 AM,AUD ,1.07,AUD ,1.15,5024046,5024046,0
19,South Sudan,SSD19,CHF/000061/HSS10/6-2013/2045,2014,Government of Belgium,4,6,Belgium,BE,6/4/2013 12:00:00 AM,3925259.16,1/1/0001 12:00:00 AM,3/18/2014 12:00:00 AM,4024725.01,1/1/0001 12:00:00 AM,EUR ,0.77,EUR ,0.75,3010673,3010673,0
19,South Sudan,SSD19,CHF/000182/HSS10/6-2014/2543,2014,Government of Netherlands,11,16,Netherlands,NL,6/19/2014 12:00:00 AM,9511600,1/1/0001 12:00:00 AM,6/26/2014 12:00:00 AM,9511600,1/1/0001 12:00:00 AM,EUR ,0.73,EUR ,0.74,6991026,6991026,0
19,South Sudan,SSD19,CHF/000182/HSS10/11-2014/2828,2014,Government of Netherlands,11,16,Netherlands,NL,11/19/2014 12:00:00 AM,6122847.44,1/1/0001 12:00:00 AM,12/4/2014 12:00:00 AM,6153500,1/1/0001 12:00:00 AM,EUR ,0.8,EUR ,0.8,4916646,4916647,0
19,South Sudan,SSD19,CHF/000187/HSS10/6-2014/2545,2014,Government of Norway,12,17,Norway,NO,6/20/2014 12:00:00 AM,3321794.15,1/1/0001 12:00:00 AM,7/8/2014 12:00:00 AM,3220839.25,1/1/0001 12:00:00 AM,NOK ,5.97,NOK ,6.15,19817824,19817824,0
19,South Sudan,SSD19,CHF/000187/HSS10/10-2014/2742,2014,Government of Norway,12,17,Norway,NO,10/22/2014 12:00:00 AM,1545386.28,1/1/0001 12:00:00 AM,11/18/2014 12:00:00 AM,1471437.8,1/1/0001 12:00:00 AM,NOK ,6.45,NOK ,6.77,9963105,9963105,0
19,South Sudan,SSD19,CHF/000551/HSS10/6-2014/2529,2014,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,6/6/2014 12:00:00 AM,41799130.44,1/1/0001 12:00:00 AM,6/30/2014 12:00:00 AM,42510000,1/1/0001 12:00:00 AM,GBP ,0.6,GBP ,0.59,24995880,24995880,0
19,South Sudan,SSD19,CHF/000187/HSS10/2-2014/2403,2014,Government of Norway,12,17,Norway,NO,2/7/2014 12:00:00 AM,6499516.22,1/1/0001 12:00:00 AM,3/21/2014 12:00:00 AM,6686135.99,1/1/0001 12:00:00 AM,NOK ,6.23,NOK ,6.06,40517984,40517984,0
19,South Sudan,SSD19,CHF/000555/HSS10/10-2014/2708,2014,Sida,20,22,Sweden,SE,10/1/2014 12:00:00 AM,17588975,1/1/0001 12:00:00 AM,10/28/2014 12:00:00 AM,17588975,1/1/0001 12:00:00 AM,SEK ,7.24,SEK ,7.24,127361768,127361768,0
19,South Sudan,SSD19,CHF/000555/HSS10/2-2014/2406,2014,Sida,20,22,Sweden,SE,2/4/2014 12:00:00 AM,12330374.21,1/1/0001 12:00:00 AM,2/11/2014 12:00:00 AM,12330374.21,1/1/0001 12:00:00 AM,SEK ,6.51,SEK ,6.51,80307727,80307727,0
19,South Sudan,SSD19,CHF/000555/HSS10/12-2014/3009,2014,Sida,20,22,Sweden,SE,12/2/2014 12:00:00 AM,3305475.14,1/1/0001 12:00:00 AM,12/9/2014 12:00:00 AM,3305475.14,1/1/0001 12:00:00 AM,SEK ,7.4,SEK ,7.4,24447294,24447294,0
19,South Sudan,SSD19,CHF/010282/HSS10/11-2014/2832,2014,Swiss Agency for Development and Cooperation,22,24,Switzerland,CH,11/6/2014 12:00:00 AM,1047544.85,1/1/0001 12:00:00 AM,11/14/2014 12:00:00 AM,1037775.01,1/1/0001 12:00:00 AM,CHF ,0.96,CHF ,0.97,1001453,1001453,0
19,South Sudan,SSD19,CHF/010282/HSS10/12-2014/2972,2014,Swiss Agency for Development and Cooperation,22,24,Switzerland,CH,12/18/2014 12:00:00 AM,1011736.14,1/1/0001 12:00:00 AM,12/29/2014 12:00:00 AM,1011736.14,1/1/0001 12:00:00 AM,CHF ,0.97,CHF ,0.97,980372,980372,0
19,South Sudan,SSD19,CHF/011211/HSS10/7-2014/2622,2014,IRISH AID,23,13,Ireland,IE,7/30/2014 12:00:00 AM,2009203.21,1/1/0001 12:00:00 AM,8/11/2014 12:00:00 AM,1976970,1/1/0001 12:00:00 AM,EUR ,0.74,EUR ,0.75,1478774,1478774,0
19,South Sudan,SSD19,CHF/011211/HSS10/2-2014/2422,2014,IRISH AID,23,13,Ireland,IE,2/24/2014 12:00:00 AM,2026635.5,1/1/0001 12:00:00 AM,3/5/2014 12:00:00 AM,2043270,1/1/0001 12:00:00 AM,EUR ,0.74,EUR ,0.73,1493630,1493630,0
19,South Sudan,SSD19,CHF/011211/HSS10/3-2015/3146,2015,IRISH AID,23,13,Ireland,IE,3/25/2015 12:00:00 AM,3186522.92,1/1/0001 12:00:00 AM,4/8/2015 12:00:00 AM,3255570,1/1/0001 12:00:00 AM,EUR ,0.94,EUR ,0.92,3004891,3004891,0
19,South Sudan,SSD19,CHF/010282/HSS10/12-2015/3592,2015,Swiss Agency for Development and Cooperation,22,24,Switzerland,CH,12/17/2015 12:00:00 AM,756010.28,1/1/0001 12:00:00 AM,12/24/2015 12:00:00 AM,756010.28,1/1/0001 12:00:00 AM,CHF ,0.98,CHF ,0.98,743914,743914,0
19,South Sudan,SSD19,CHF/000555/HSS10/12-2015/3566,2015,Sida,20,22,Sweden,SE,12/7/2015 12:00:00 AM,5532107.26,1/1/0001 12:00:00 AM,12/18/2015 12:00:00 AM,5706187.71,1/1/0001 12:00:00 AM,SEK ,8.75,SEK ,8.49,48417003,48417003,0
19,South Sudan,SSD19,CHF/000555/HSS10/7-2015/3296,2015,Sida,20,22,Sweden,SE,7/6/2015 12:00:00 AM,594004.31,1/1/0001 12:00:00 AM,7/28/2015 12:00:00 AM,581600.02,1/1/0001 12:00:00 AM,SEK ,8.3,SEK ,8.48,4929642,4929642,0
19,South Sudan,SSD19,CHF/010282/HSS10/10-2015/3449,2015,Swiss Agency for Development and Cooperation,22,24,Switzerland,CH,10/26/2015 12:00:00 AM,1033477.05,1/1/0001 12:00:00 AM,11/3/2015 12:00:00 AM,1014686.57,1/1/0001 12:00:00 AM,CHF ,0.97,CHF ,0.99,1004540,1004540,0
19,South Sudan,SSD19,CHF/000555/HSS10/3-2015/3114,2015,Sida,20,22,Sweden,SE,3/20/2015 12:00:00 AM,6566659.86,1/1/0001 12:00:00 AM,3/31/2015 12:00:00 AM,6566659.86,1/1/0001 12:00:00 AM,SEK ,8.6,SEK ,8.6,56466708,56466708,0
19,South Sudan,SSD19,CHF/000551/HSS10/6-2015/3281,2015,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,6/24/2015 12:00:00 AM,15230305.34,1/1/0001 12:00:00 AM,6/30/2015 12:00:00 AM,15710000,1/1/0001 12:00:00 AM,GBP ,0.66,GBP ,0.64,9975850,9975850,0
19,South Sudan,SSD19,CHF/000551/HSS10/9-2015/3409,2015,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,9/18/2015 12:00:00 AM,9157200,1/1/0001 12:00:00 AM,9/28/2015 12:00:00 AM,9157200,1/1/0001 12:00:00 AM,GBP ,0.65,GBP ,0.65,5952180,5952180,0
19,South Sudan,SSD19,CHF/000551/HSS10/12-2014/2895,2015,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,12/8/2014 12:00:00 AM,20715892.89,1/1/0001 12:00:00 AM,1/9/2015 12:00:00 AM,20362050,1/1/0001 12:00:00 AM,GBP ,0.63,GBP ,0.64,13113160,13113160,0
19,South Sudan,SSD19,CHF/000551/HSS10/11-2015/3485,2015,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,11/18/2015 12:00:00 AM,7615500,1/1/0001 12:00:00 AM,11/24/2015 12:00:00 AM,7615500,1/1/0001 12:00:00 AM,GBP ,0.65,GBP ,0.65,4980537,4980537,0
19,South Sudan,SSD19,CHF/000187/HSS10/11-2015/3590,2015,Government of Norway,12,17,Norway,NO,11/25/2015 12:00:00 AM,2715836.09,1/1/0001 12:00:00 AM,12/17/2015 12:00:00 AM,2675552.9,1/1/0001 12:00:00 AM,NOK ,8.57,NOK ,8.7,23269284,23269283,0
19,South Sudan,SSD19,CHF/000187/HSS10/5-2015/3223,2015,Government of Norway,12,17,Norway,NO,5/19/2015 12:00:00 AM,6643467.2,1/1/0001 12:00:00 AM,6/4/2015 12:00:00 AM,6398917.2,1/1/0001 12:00:00 AM,NOK ,7.56,NOK ,7.85,50237899,50237899,0
19,South Sudan,SSD19,CHF/000182/HSS10/3-2015/3090,2015,Government of Netherlands,11,16,Netherlands,NL,3/16/2015 12:00:00 AM,5233106.58,1/1/0001 12:00:00 AM,4/23/2015 12:00:00 AM,5346500,1/1/0001 12:00:00 AM,EUR ,0.94,EUR ,0.92,4934819,4934820,0
19,South Sudan,SSD19,CHF/000061/HSS10/3-2016/3236,2015,Government of Belgium,4,6,Belgium,BE,5/28/2015 12:00:00 AM,2232672.88,1/1/0001 12:00:00 AM,8/6/2015 12:00:00 AM,2205832,1/1/0001 12:00:00 AM,EUR ,0.9,EUR ,0.91,2018336,2018336,0
19,South Sudan,SSD19,CHF/000055/HSS10/10-2015/3517,2015,Government of Australia,2,3,Australia,AU,10/2/2015 12:00:00 AM,4943872.64,1/1/0001 12:00:00 AM,12/29/2015 12:00:00 AM,5082685.48,1/1/0001 12:00:00 AM,AUD ,1.43,AUD ,1.39,7059850,7059850,0
19,South Sudan,SSD19,CHF/000055/HSS10/6-2015/3383,2015,Government of Australia,2,3,Australia,AU,6/19/2015 12:00:00 AM,2426207.96,1/1/0001 12:00:00 AM,8/1/2015 12:00:00 AM,2313279.01,1/1/0001 12:00:00 AM,AUD ,1.31,AUD ,1.38,3180759,3180759,0
19,South Sudan,SSD19,CHF/000117/HSS10/4-2015/3155,2015,Government of Germany,7,11,Germany,DE,4/16/2015 12:00:00 AM,1091580,1/1/0001 12:00:00 AM,4/30/2015 12:00:00 AM,1091580,1/1/0001 12:00:00 AM,EUR ,0.92,EUR ,0.92,1007528,1007528,0
