PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
South Sudan,19,7,2015,Standard,SSD-15/SA1/N/NGO/221,Nutrition,,100,237623.76
South Sudan,19,343,2021,Standard,SSD-21/HSS10/SA1/H-P/INGO/19671,Health,,70,695677.5
South Sudan,19,343,2021,Standard,SSD-21/HSS10/SA1/H-P/INGO/19671,Protection,,30,298147.5
South Sudan,19,1387,2024,Reserve,CBPF-SSD-24-R-INGO-34652,"Water, Sanitation and Hygiene",,100,566915.32
South Sudan,19,1387,2024,Reserve,CBPF-SSD-24-R-INGO-34653,"Water, Sanitation and Hygiene",,100,380000
South Sudan,19,1387,2024,Reserve,CBPF-SSD-24-R-INGO-34661,Emergency Shelter and NFI,,100,238000
South Sudan,19,1387,2024,Reserve,CBPF-SSD-24-R-NGO-34646,Protection,,100,329455.14
South Sudan,19,1387,2024,Reserve,CBPF-SSD-24-R-NGO-34647,Health,,100,320000
South Sudan,19,1387,2024,Reserve,CBPF-SSD-24-R-NGO-34649,Protection,,100,239999.99
South Sudan,19,1387,2024,Reserve,CBPF-SSD-24-R-NGO-34656,Emergency Shelter and NFI,,100,339000
South Sudan,19,1387,2024,Reserve,CBPF-SSD-24-R-NGO-34666,Health,,100,359999.19
South Sudan,19,1387,2024,Reserve,CBPF-SSD-24-R-UN-34650,Emergency Shelter and NFI,,100,226000
South Sudan,19,1431,2025,Standard,CBPF-SSD-25-S-NGO-36264,Health,,100,315981.7
South Sudan,19,1431,2025,Standard,CBPF-SSD-25-S-NGO-36267,Protection,,100,284919.6
South Sudan,19,1431,2025,Standard,CBPF-SSD-25-S-NGO-36392,Food Security,,100,360000.16
