PooledFundId,PooledFundName,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectDuration,Budget,EnvironmentMarker,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,Cluster,ClusterPercentage,AdminLocation1TypeName,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLevel1PCode,AdminLevel1Percentage
19,South Sudan,142,SSD-14/RA 3/WASH/UN/142,,Reserve Allocation 3,2015,1,Reserve,International Organization for Migration,UN Agency,Provision of emergency WASH assistance for vulnerable populations in South Sudan,2 Months,286546,A: Neutral Impact on environment with No mitigation,"4- Not applicable - Only used for very small number of projects, such as 'support services'",9/1/2014 12:00:00 AM,10/31/2014 12:00:00 AM,Project Closure,49,PRJ_UND_CLSR,Project Closure,8,2122.9080,"Water, Sanitation and Hygiene",100,State,Unity,8.92772110,29.78892480,SU19,0
19,South Sudan,655,SSD-15/HSS10/RA3/L/UN/655,,Reserve Allocation 3,2015,1,Reserve,International Organization for Migration,UN Agency,Humanitarian Common Logistics Services in the Republic of South Sudan.,5 Months,322500.14,N/S: Not specified,"4- Not applicable - Only used for very small number of projects, such as 'support services'",10/14/2015 12:00:00 AM,3/13/2016 12:00:00 AM,Project Closed,264,PRJ_PRJ_CLS,Project Closure,8,2122.9080,Logistics,100,State,Jonglei,7.18196190,32.35609520,SU06,0
19,South Sudan,655,SSD-15/HSS10/RA3/L/UN/655,,Reserve Allocation 3,2015,1,Reserve,International Organization for Migration,UN Agency,Humanitarian Common Logistics Services in the Republic of South Sudan.,5 Months,322500.14,N/S: Not specified,"4- Not applicable - Only used for very small number of projects, such as 'support services'",10/14/2015 12:00:00 AM,3/13/2016 12:00:00 AM,Project Closed,264,PRJ_PRJ_CLS,Project Closure,8,2122.9080,Logistics,100,State,Lakes,6.60307990,29.97405340,SU09,0
19,South Sudan,655,SSD-15/HSS10/RA3/L/UN/655,,Reserve Allocation 3,2015,1,Reserve,International Organization for Migration,UN Agency,Humanitarian Common Logistics Services in the Republic of South Sudan.,5 Months,322500.14,N/S: Not specified,"4- Not applicable - Only used for very small number of projects, such as 'support services'",10/14/2015 12:00:00 AM,3/13/2016 12:00:00 AM,Project Closed,264,PRJ_PRJ_CLS,Project Closure,8,2122.9080,Logistics,100,State,Unity,8.92772110,29.78892480,SU19,0
19,South Sudan,655,SSD-15/HSS10/RA3/L/UN/655,,Reserve Allocation 3,2015,1,Reserve,International Organization for Migration,UN Agency,Humanitarian Common Logistics Services in the Republic of South Sudan.,5 Months,322500.14,N/S: Not specified,"4- Not applicable - Only used for very small number of projects, such as 'support services'",10/14/2015 12:00:00 AM,3/13/2016 12:00:00 AM,Project Closed,264,PRJ_PRJ_CLS,Project Closure,8,2122.9080,Logistics,100,State,Upper Nile,9.88942020,32.71813750,SU20,0
19,South Sudan,655,SSD-15/HSS10/RA3/L/UN/655,,Reserve Allocation 3,2015,1,Reserve,International Organization for Migration,UN Agency,Humanitarian Common Logistics Services in the Republic of South Sudan.,5 Months,322500.14,N/S: Not specified,"4- Not applicable - Only used for very small number of projects, such as 'support services'",10/14/2015 12:00:00 AM,3/13/2016 12:00:00 AM,Project Closed,264,PRJ_PRJ_CLS,Project Closure,8,2122.9080,Logistics,100,State,Upper Nile,9.88942020,32.71813750,SU20,0
19,South Sudan,656,SSD-15/HSS10/RA3/L/UN/656,,Reserve Allocation 3,2015,1,Reserve,World Food Programme,UN Agency,Logistics Cluster Activities in Support of the Humanitarian Community in South Sudan,4 Months,1572382.12,"N/A: Not applicable, only used for a small number of services","4- Not applicable - Only used for very small number of projects, such as 'support services'",9/1/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Under Final Reporting,319,PRJ_UND_FINAL_RPT,Reporting,7,2476.7260,Logistics,100,State,Jonglei,7.18196190,32.35609520,SU06,0
19,South Sudan,656,SSD-15/HSS10/RA3/L/UN/656,,Reserve Allocation 3,2015,1,Reserve,World Food Programme,UN Agency,Logistics Cluster Activities in Support of the Humanitarian Community in South Sudan,4 Months,1572382.12,"N/A: Not applicable, only used for a small number of services","4- Not applicable - Only used for very small number of projects, such as 'support services'",9/1/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Under Final Reporting,319,PRJ_UND_FINAL_RPT,Reporting,7,2476.7260,Logistics,100,State,Jonglei,7.18196190,32.35609520,SU06,0
19,South Sudan,656,SSD-15/HSS10/RA3/L/UN/656,,Reserve Allocation 3,2015,1,Reserve,World Food Programme,UN Agency,Logistics Cluster Activities in Support of the Humanitarian Community in South Sudan,4 Months,1572382.12,"N/A: Not applicable, only used for a small number of services","4- Not applicable - Only used for very small number of projects, such as 'support services'",9/1/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Under Final Reporting,319,PRJ_UND_FINAL_RPT,Reporting,7,2476.7260,Logistics,100,State,Jonglei,7.18196190,32.35609520,SU06,0
19,South Sudan,656,SSD-15/HSS10/RA3/L/UN/656,,Reserve Allocation 3,2015,1,Reserve,World Food Programme,UN Agency,Logistics Cluster Activities in Support of the Humanitarian Community in South Sudan,4 Months,1572382.12,"N/A: Not applicable, only used for a small number of services","4- Not applicable - Only used for very small number of projects, such as 'support services'",9/1/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Under Final Reporting,319,PRJ_UND_FINAL_RPT,Reporting,7,2476.7260,Logistics,100,State,Jonglei,7.18196190,32.35609520,SU06,0
19,South Sudan,656,SSD-15/HSS10/RA3/L/UN/656,,Reserve Allocation 3,2015,1,Reserve,World Food Programme,UN Agency,Logistics Cluster Activities in Support of the Humanitarian Community in South Sudan,4 Months,1572382.12,"N/A: Not applicable, only used for a small number of services","4- Not applicable - Only used for very small number of projects, such as 'support services'",9/1/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Under Final Reporting,319,PRJ_UND_FINAL_RPT,Reporting,7,2476.7260,Logistics,100,State,Jonglei,7.18196190,32.35609520,SU06,0
