PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfId,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
Sudan,15,2,2013,Reserve,164,SUD-13/ER/N/UN/164,Nutrition,,100,80000
Sudan,15,2,2013,Reserve,166,SUD-13/ER/P/UN/166,Protection,,100,80000
Sudan,15,1,2013,Standard,12,SUD-13/S1/WASH/UN/12,"Water, Sanitation and Hygiene",,100,650000
Sudan,15,3,2014,Standard,1337,SUD-14/HSD20/S1/H/INGO/1337,Health,,100,138704.96
Sudan,15,3,2014,Standard,1338,SUD-14/HSD20/S1/H/INGO/1338,Health,,100,207920.8
Sudan,15,3,2014,Standard,1339,SUD-14/HSD20/S1/N/INGO/1339,Nutrition,,100,247524.78
Sudan,15,3,2014,Standard,1340,SUD-14/HSD20/S1/WASH/UN/1340,"Water, Sanitation and Hygiene",,100,280437.55
Sudan,15,5,2014,Reserve,1027,SUD-14/R/CCS/UN/1027,Coordination and Support Services,,100,99999.85
Sudan,15,5,2014,Reserve,1030,SUD-14/R/E/INGO/1030,Education,,100,137966.09
Sudan,15,5,2014,Reserve,1018,SUD-14/R/E/UN/1018,Education,,100,150267.59
Sudan,15,5,2014,Reserve,1040,SUD-14/R/FSL/INGO/1040,Food Security,,100,403508.47
Sudan,15,5,2014,Reserve,1017,SUD-14/R/H/UN/1017,Health,,100,100000.65
Sudan,15,5,2014,Reserve,1020,SUD-14/R/H/UN/1020,Health,,100,284999.85
Sudan,15,5,2014,Reserve,1022,SUD-14/R/H/UN/1022,Health,,100,115005.85
Sudan,15,5,2014,Reserve,1045,SUD-14/R/H/UN/1045,Health,,100,250000
Sudan,15,5,2014,Reserve,1046,SUD-14/R/H/UN/1046,Health,,100,892900
Sudan,15,5,2014,Reserve,1047,SUD-14/R/H/UN/1047,Health,,100,470890
Sudan,15,5,2014,Reserve,1024,SUD-14/R/N/INGO/1024,Nutrition,,100,183168.35
Sudan,15,5,2014,Reserve,1044,SUD-14/R/N/INGO/1044,Nutrition,,100,99009.9
Sudan,15,5,2014,Reserve,1025,SUD-14/R/N/UN/1025,Nutrition,,100,100000
Sudan,15,5,2014,Reserve,1026,SUD-14/R/NFI/INGO/1026,Emergency Shelter and NFI,,100,123575.37
Sudan,15,5,2014,Reserve,1039,SUD-14/R/NFI/INGO/1039,Emergency Shelter and NFI,,100,55742.57
Sudan,15,5,2014,Reserve,1038,SUD-14/R/NFI/UN/1038,Emergency Shelter and NFI,,100,138971.6
Sudan,15,5,2014,Reserve,1087,SUD-14/R/NFI/UN/1087,Emergency Shelter and NFI,,100,378523
Sudan,15,5,2014,Reserve,1019,SUD-14/R/P/UN/1019,Protection,Child protection,100,214636.65
Sudan,15,5,2014,Reserve,1088,SUD-14/R/RMS/UN/1088,Camp Coordination / Management,,100,800000
Sudan,15,5,2014,Reserve,1035,SUD-14/R/WASH/INGO/1035,"Water, Sanitation and Hygiene",,100,99009.9
Sudan,15,5,2014,Reserve,1041,SUD-14/R/WASH/INGO/1041,"Water, Sanitation and Hygiene",,100,148514.85
Sudan,15,5,2014,Reserve,1032,SUD-14/R/WASH/UN/1032,"Water, Sanitation and Hygiene",,100,400000.22
Sudan,15,5,2014,Reserve,1043,SUD-14/R/WASH/UN/1043,"Water, Sanitation and Hygiene",,100,100000
Sudan,15,3,2014,Standard,462,SUD-14/S1/CCS/NGO/462,Coordination and Support Services,,100,98712.95
Sudan,15,3,2014,Standard,725,SUD-14/S1/CCS/UN/725,Coordination and Support Services,,100,400034.99
Sudan,15,3,2014,Standard,384,SUD-14/S1/E/NGO/384,Education,,100,433720.54
Sudan,15,3,2014,Standard,390,SUD-14/S1/E/NGO/390,Education,,100,495069.23
Sudan,15,3,2014,Standard,461,SUD-14/S1/E/NGO/461,Education,,100,474747.94
Sudan,15,3,2014,Standard,477,SUD-14/S1/E/NGO/477,Education,,100,239209.2
Sudan,15,3,2014,Standard,570,SUD-14/S1/E/NGO/570,Education,,100,195078.23
Sudan,15,3,2014,Standard,588,SUD-14/S1/E/NGO/588,Education,,100,198059.15
Sudan,15,3,2014,Standard,635,SUD-14/S1/E/NGO/635,Education,,100,198019.6
Sudan,15,3,2014,Standard,703,SUD-14/S1/E/NGO/703,Education,,100,200017.76
Sudan,15,3,2014,Standard,787,SUD-14/S1/E/NGO/787,Education,,100,198019.7
Sudan,15,3,2014,Standard,817,SUD-14/S1/E/NGO/817,Education,,100,198019.55
Sudan,15,3,2014,Standard,827,SUD-14/S1/E/NGO/827,Education,,100,330739.05
Sudan,15,3,2014,Standard,870,SUD-14/S1/E/NGO/870,Education,,100,346534.65
Sudan,15,3,2014,Standard,875,SUD-14/S1/E/NGO/875,Education,,100,198020.62
Sudan,15,3,2014,Standard,698,SUD-14/S1/E/UN/698,Education,,100,604822.85
Sudan,15,3,2014,Standard,480,SUD-14/S1/FSL/NGO/480,Food Security,,100,263898.18
Sudan,15,3,2014,Standard,566,SUD-14/S1/FSL/NGO/566,Food Security,,100,202532.71
Sudan,15,3,2014,Standard,607,SUD-14/S1/FSL/NGO/607,Food Security,,100,241480.23
Sudan,15,3,2014,Standard,609,SUD-14/S1/FSL/NGO/609,Food Security,,100,294416.17
Sudan,15,3,2014,Standard,614,SUD-14/S1/FSL/NGO/614,Food Security,,100,225963.15
Sudan,15,3,2014,Standard,620,SUD-14/S1/FSL/NGO/620,Food Security,,100,226832.03
Sudan,15,3,2014,Standard,631,SUD-14/S1/FSL/NGO/631,Food Security,,100,207885.12
