PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
Sudan,15,1,2013,Standard,SUD-13/S1/CCS/NGO/100,Coordination and Support Services,,100,148499.95
Sudan,15,1,2013,Standard,SUD-13/S1/CCS/NGO/97,Coordination and Support Services,,100,396039.6
Sudan,15,1,2013,Standard,SUD-13/S1/CCS/NGO/98,Coordination and Support Services,,100,198019.8
Sudan,15,1,2013,Standard,SUD-13/S1/CCS/NGO/99,Coordination and Support Services,,100,138799
Sudan,15,1,2013,Standard,SUD-13/S1/CCS/UN/134,Coordination and Support Services,,100,500000
Sudan,15,1,2013,Standard,SUD-13/S1/CCS/UN/135,Coordination and Support Services,,100,350000
Sudan,15,1,2013,Standard,SUD-13/S1/CCS/UN/136,Coordination and Support Services,,100,200000
Sudan,15,1,2013,Standard,SUD-13/S1/CCS/UN/137,Coordination and Support Services,,100,186916
Sudan,15,1,2013,Standard,SUD-13/S1/E/NGO/25,Education,,100,412732.67
Sudan,15,1,2013,Standard,SUD-13/S1/E/NGO/26,Education,,100,1113584
Sudan,15,1,2013,Standard,SUD-13/S1/E/NGO/27,Education,,100,634653.38
Sudan,15,1,2013,Standard,SUD-13/S1/E/NGO/28,Education,,100,367583.52
Sudan,15,1,2013,Standard,SUD-13/S1/E/NGO/29,Education,,100,488930.69
Sudan,15,1,2013,Standard,SUD-13/S1/E/NGO/32,Education,,100,766257.43
Sudan,15,1,2013,Standard,SUD-13/S1/E/NGO/33,Education,,100,215841
Sudan,15,1,2013,Standard,SUD-13/S1/E/NGO/34,Education,,100,678217.82
Sudan,15,1,2013,Standard,SUD-13/S1/E/UN/31,Education,,100,636700
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/36,Food Security,,100,209706
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/37,Food Security,,100,308275.56
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/38,Food Security,,100,406826.73
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/41,Food Security,,100,363849.5
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/42,Food Security,,100,418229.7
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/43,Food Security,,100,223429
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/44,Food Security,,100,484257.43
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/45,Food Security,,100,444600.99
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/46,Food Security,,100,354140.04
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/47,Food Security,,100,392344.39
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/48,Food Security,,100,443705.94
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/49,Food Security,,100,553174.26
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/NGO/51,Food Security,,100,243857.43
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/UN/39,Food Security,,100,734459
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/UN/40,Food Security,,100,994354
Sudan,15,1,2013,Standard,SUD-13/S1/FSL/UN/50,Food Security,,100,358537
Sudan,15,1,2013,Standard,SUD-13/S1/GEIR/NGO/52,Camp Coordination / Management,,100,356435.64
Sudan,15,1,2013,Standard,SUD-13/S1/GEIR/NGO/53,Camp Coordination / Management,,100,185065
Sudan,15,1,2013,Standard,SUD-13/S1/GEIR/NGO/54,Camp Coordination / Management,,100,198019.8
Sudan,15,1,2013,Standard,SUD-13/S1/GEIR/NGO/56,Camp Coordination / Management,,100,138613.86
Sudan,15,1,2013,Standard,SUD-13/S1/GEIR/NGO/57,Camp Coordination / Management,,100,299009.9
Sudan,15,1,2013,Standard,SUD-13/S1/GEIR/NGO/58,Camp Coordination / Management,,100,118442
Sudan,15,1,2013,Standard,SUD-13/S1/GEIR/NGO/59,Camp Coordination / Management,,100,198019.8
Sudan,15,1,2013,Standard,SUD-13/S1/GEIR/UN/55,Camp Coordination / Management,,100,439252
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/114,Health,,100,297029.7
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/115,Health,,100,297000
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/116,Health,,100,195072.02
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/117,Health,,100,150000
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/118,Health,,100,495050
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/119,Health,,100,198000
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/120,Health,,100,396040
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/123,Health,,100,396039.6
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/124,Health,,100,298242.16
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/125,Health,,100,198019.8
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/126,Health,,100,233645
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/127,Health,,100,396040
Sudan,15,1,2013,Standard,SUD-13/S1/H/NGO/138,Health,,100,138799
Sudan,15,1,2013,Standard,SUD-13/S1/H/UN/1,Health,,100,2074766
Sudan,15,1,2013,Standard,SUD-13/S1/H/UN/121,Health,,100,300000
Sudan,15,1,2013,Standard,SUD-13/S1/H/UN/122,Health,,100,370000
Sudan,15,1,2013,Standard,SUD-13/S1/H/UN/128,Health,,100,710280
Sudan,15,1,2013,Standard,SUD-13/S1/L/UN/60,Logistics,,100,664199.96
Sudan,15,1,2013,Standard,SUD-13/S1/L/UN/61,Logistics,,100,400000
Sudan,15,1,2013,Standard,SUD-13/S1/MA/NGO/6,Protection,,100,146750
