PooledFundName,PooledFundId,AllocationTypeId,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectStartDate,ProjectEndDate,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,Men,Women,Boys,Girls,ProjectSummary,IndirectBeneficiaries,CatchmentPopulation,AllocationStrategy,HumanitarianContext,GrantRequestJustification,DescriptionOfBeneficiaries,NeedsAssessment,Activities,ImplementationPlan,Monitoring_Eval,CrossCuttingIssues,EnvironmentMarker,GenderMarker,GenderTheme,FieldSecurity,Access,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AllocationTypeCategoryId,AllocationTypeCategory,ApprovedDate
Sudan,15,1,12,SUD-13/S1/WASH/UN/12,,2013 - 1st Round Standard Allocation,2013,2,Standard,International Organization for Migration,UN Agency,"Durable WASH solutions for IDPs, returnees and under-served host communities in the Three Areas of Southern Kordofan, Blue Nile and Abyei",3/1/2013 12:00:00 AM,12/31/2013 12:00:00 AM,10 Months,650000,607476.64,0,1/30/2013 12:00:00 AM,4131,6356,4902,4901,,,,,,,,,,,,,,,,,,3/1/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Implementation & Reporting,30,PRJ_IMPL_RPT,Implementation,14,9169.1820,0,,4/20/2016 1:08:27 PM
Sudan,15,2,164,SUD-13/ER/N/UN/164,,2013 - CHF Reserve Allocation,2013,1,Reserve,United Nations Children's Fund,UN Agency,Emergency nutrition programme,1/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,"12 Months, 1 Days",80000,74766.36,0,12/2/2012 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,1/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,Implementation & Reporting,50,PRJ_IMPL_RPT,Implementation,6,19866.5610,0,,1/12/2017 12:14:16 PM
Sudan,15,2,166,SUD-13/ER/P/UN/166,,2013 - CHF Reserve Allocation,2013,1,Reserve,United Nations High Commissioner for Refugees,UN Agency,"Provision of strategic coordination and effective implementation of lifesaving protection responses for at-risk and displaced populations affected by conflict-affected, as well as IDPs in search of a durable solution in Darfur",1/9/2013 12:00:00 AM,1/9/2014 12:00:00 AM,"12 Months, 1 Days",80000,74766.36,0,12/10/2012 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,N/S: Not specified,3- Not Specified,,,,1/9/2013 12:00:00 AM,1/9/2014 12:00:00 AM,Implementation & Reporting,50,PRJ_IMPL_RPT,Implementation,6,19727.6340,2,Special allocations,1/12/2017 12:14:16 PM
Sudan,15,3,242,SUD-14/S1/H/UN/242,,2014 - 1st Round Standard Allocation,2014,2,Standard,World Health Organization,UN Agency,Enhance access to quality health services focusing on vulnerable population ( men / women and children) needs,4/10/2014 12:00:00 AM,3/31/2015 12:00:00 AM,"11 Months, 22 Days",1543642.35,1442656.4,0,1/12/2014 3:29:28 PM,183260,190740,45815,47685,,,,,,,,,,,,,B+: Medium environmental impact with mitigation(sector guidance),2a- The project is designed to contribute significantly to gender equality,,,,4/10/2014 12:00:00 AM,3/31/2015 12:00:00 AM,Under Final Reporting,293,PRJ_UND_FINAL_RPT,Reporting,15,20977.9770,0,,11/25/2014 10:11:24 AM
Sudan,15,3,254,SUD-14/S1/P/UN/254,,2014 - 1st Round Standard Allocation,2014,2,Standard,United Nations Mine Action Service,UN Agency,"Reducing risk, impact and effects of landmines/ERWs and promoting free and safe  movement for IDPs/Returnees and affected populations through Land Release Operations.",5/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,8 Months,400000.43,373832.18,0,1/12/2014 1:47:57 PM,1584,1296,1716,1404,,,,,,,,,,,,,B+: Medium environmental impact with mitigation(sector guidance),2b- The principal purpose of the project is to advance gender equality,,,,5/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Under Final Reporting,293,PRJ_UND_FINAL_RPT,Reporting,15,20283.3420,0,,11/25/2014 10:21:08 AM
Sudan,15,3,273,SUD-14/S1/WASH/NGO/273,,2014 - 1st Round Standard Allocation,2014,2,Standard,Daralsalam Development Association (DDA),National NGO,"Improve access to Water, Sanitation and hygiene services for IDPs and Vulnerable people in Shangil Tobai  ",4/1/2014 12:00:00 AM,3/31/2015 12:00:00 AM,12 Months,197694.63,188280.6,0,1/12/2014 6:32:31 AM,13224,15660,2436,3480,,,,,,,,,,,,,B+: Medium environmental impact with mitigation(sector guidance),2a- The project is designed to contribute significantly to gender equality,,,,5/8/2014 12:00:00 AM,5/7/2015 12:00:00 AM,Implementation & Reporting,30,PRJ_IMPL_RPT,Implementation,14,39316.3410,0,,11/25/2014 10:29:08 AM
Sudan,15,3,276,SUD-14/S1/NFI/NGO/276,,2014 - 1st Round Standard Allocation,2014,2,Standard,United Peace Organization,National NGO,"To provide NFIs and Environmental Friendly and improved emergency shelter to newly displaced people, returnees and most extremely vulnerable populations affected by conflict/flood and encourage the communities to increase environmental protection",4/1/2014 12:00:00 AM,3/31/2015 12:00:00 AM,12 Months,89108.92,83279.36,0,1/18/2014 5:05:21 PM,2800,3200,3350,3225,,,,,,,,,,,,,B+: Medium environmental impact with mitigation(sector guidance),2a- The project is designed to contribute significantly to gender equality,,,,5/1/2014 12:00:00 AM,4/30/2015 12:00:00 AM,Implementation & Reporting,30,PRJ_IMPL_RPT,Implementation,14,45429.1290,0,,11/25/2014 10:14:48 AM
Sudan,15,3,314,SUD-14/S1/NFI/NGO/314,,2014 - 1st Round Standard Allocation,2014,2,Standard,Alshroog Organization for Social and Culture Development,National NGO,Assist IDPs affected by conflict and disaster and protracted IDPs in camps with ES &amp; NFIs and environmentally friendly transitional shelter in South Darfur.,4/1/2014 12:00:00 AM,3/31/2015 12:00:00 AM,12 Months,64356.22,47850,12296,1/19/2014 8:03:53 AM,3500,7500,3500,4000,,,,,,,,,,,,,B+: Medium environmental impact with mitigation(sector guidance),2a- The project is designed to contribute significantly to gender equality,,,,5/8/2014 12:00:00 AM,5/7/2015 12:00:00 AM,Implementation & Reporting,30,PRJ_IMPL_RPT,Implementation,14,39455.2680,0,,11/25/2014 10:14:49 AM
Sudan,15,3,326,SUD-14/S1/H/NGO/326,,2014 - 1st Round Standard Allocation,2014,2,Standard,Panhealth Care Organization,National NGO,Support the provision of quality and sustainable Primary Health Care and Community health promotion services to vulnerable communities in  Blue Nile and South Khordofan State.,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,12 Months,235031.92,219656,0,1/12/2014 9:43:41 AM,58344,53856,30056,27744,,,,,,,,,,,,,B: Medium environmental impact with NO mitigation,2a- The project is designed to contribute significantly to gender equality,,,,5/8/2014 12:00:00 AM,5/7/2015 12:00:00 AM,Implementation & Reporting,30,PRJ_IMPL_RPT,Implementation,14,29452.5240,1,Core pipelines,11/25/2014 10:11:24 AM
Sudan,15,3,327,SUD-14/S1/NFI/NGO/327,,2014 - 1st Round Standard Allocation,2014,2,Standard,Catholic Relief Services,International NGO,Basic NFI and Shelter support to emergency &amp; conflict affected communities in West &amp; Central Darfur,4/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,"13 Months, 1 Days",198047.17,156831.62,28259.19,1/19/2014 9:17:39 AM,7510,9689,7159,6847,,,,,,,,,,,,,B+: Medium environmental impact with mitigation(sector guidance),2a- The project is designed to contribute significantly to gender equality,,,,4/1/2014 12:00:00 AM,5/1/2015 12:00:00 AM,Under Final Reporting,293,PRJ_UND_FINAL_RPT,Reporting,15,4584.5910,1,Core pipelines,11/25/2014 10:14:50 AM
