PooledFundId,PooledFundName,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectDuration,Budget,EnvironmentMarker,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AdminLocation1TypeName,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLevel1PCode,AdminLevel1Percentage
15,Sudan,12,SUD-13/S1/WASH/UN/12,,2013 - 1st Round Standard Allocation,2013,2,Standard,International Organization for Migration,UN Agency,"Durable WASH solutions for IDPs, returnees and under-served host communities in the Three Areas of Southern Kordofan, Blue Nile and Abyei",10 Months,650000,,,3/1/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Implementation & Reporting,30,PRJ_IMPL_RPT,Implementation,14,9169.1820,State,Abyei,0,0,1,25.00000
15,Sudan,12,SUD-13/S1/WASH/UN/12,,2013 - 1st Round Standard Allocation,2013,2,Standard,International Organization for Migration,UN Agency,"Durable WASH solutions for IDPs, returnees and under-served host communities in the Three Areas of Southern Kordofan, Blue Nile and Abyei",10 Months,650000,,,3/1/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Implementation & Reporting,30,PRJ_IMPL_RPT,Implementation,14,9169.1820,State,Southern Kordofan,11.19901920,29.41793240,1,75.00000
15,Sudan,164,SUD-13/ER/N/UN/164,,2013 - CHF Reserve Allocation,2013,1,Reserve,United Nations Children's Fund,UN Agency,Emergency nutrition programme,"12 Months, 1 Days",80000,,,1/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,Implementation & Reporting,50,PRJ_IMPL_RPT,Implementation,6,19866.5610,State,Abyei,0,0,1,5.00000
15,Sudan,164,SUD-13/ER/N/UN/164,,2013 - CHF Reserve Allocation,2013,1,Reserve,United Nations Children's Fund,UN Agency,Emergency nutrition programme,"12 Months, 1 Days",80000,,,1/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,Implementation & Reporting,50,PRJ_IMPL_RPT,Implementation,6,19866.5610,State,Blue Nile,11.58600780,34.15319470,1,5.00000
15,Sudan,164,SUD-13/ER/N/UN/164,,2013 - CHF Reserve Allocation,2013,1,Reserve,United Nations Children's Fund,UN Agency,Emergency nutrition programme,"12 Months, 1 Days",80000,,,1/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,Implementation & Reporting,50,PRJ_IMPL_RPT,Implementation,6,19866.5610,State,Central Darfur,0,0,1,5.00000
15,Sudan,164,SUD-13/ER/N/UN/164,,2013 - CHF Reserve Allocation,2013,1,Reserve,United Nations Children's Fund,UN Agency,Emergency nutrition programme,"12 Months, 1 Days",80000,,,1/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,Implementation & Reporting,50,PRJ_IMPL_RPT,Implementation,6,19866.5610,State,Eastern Darfur,0,0,1,5.00000
15,Sudan,164,SUD-13/ER/N/UN/164,,2013 - CHF Reserve Allocation,2013,1,Reserve,United Nations Children's Fund,UN Agency,Emergency nutrition programme,"12 Months, 1 Days",80000,,,1/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,Implementation & Reporting,50,PRJ_IMPL_RPT,Implementation,6,19866.5610,State,El Gezira,0,0,1,5.00000
15,Sudan,164,SUD-13/ER/N/UN/164,,2013 - CHF Reserve Allocation,2013,1,Reserve,United Nations Children's Fund,UN Agency,Emergency nutrition programme,"12 Months, 1 Days",80000,,,1/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,Implementation & Reporting,50,PRJ_IMPL_RPT,Implementation,6,19866.5610,State,Gedaref,0,0,1,5.00000
15,Sudan,164,SUD-13/ER/N/UN/164,,2013 - CHF Reserve Allocation,2013,1,Reserve,United Nations Children's Fund,UN Agency,Emergency nutrition programme,"12 Months, 1 Days",80000,,,1/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,Implementation & Reporting,50,PRJ_IMPL_RPT,Implementation,6,19866.5610,State,Kassala,15.45000000,36.40000000,1,5.00000
15,Sudan,164,SUD-13/ER/N/UN/164,,2013 - CHF Reserve Allocation,2013,1,Reserve,United Nations Children's Fund,UN Agency,Emergency nutrition programme,"12 Months, 1 Days",80000,,,1/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,Implementation & Reporting,50,PRJ_IMPL_RPT,Implementation,6,19866.5610,State,Khartoum,15.56666700,32.51666700,1,5.00000
