PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfId,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
Syria,62,461,2023,Reserve,24638,CBPF-SYR-23-R-INGO-24638,Emergency Shelter and NFI,,100,700000
Syria,62,461,2023,Reserve,24647,CBPF-SYR-23-R-INGO-24647,Emergency Shelter and NFI,,100,551617.47
Syria,62,461,2023,Reserve,24656,CBPF-SYR-23-R-INGO-24656,Emergency Shelter and NFI,,100,384268.68
Syria,62,464,2023,Reserve,24808,CBPF-SYR-23-R-INGO-24808,Food Security,,100,300000
Syria,62,464,2023,Reserve,24809,CBPF-SYR-23-R-INGO-24809,Protection,,100,700000
Syria,62,464,2023,Reserve,24810,CBPF-SYR-23-R-INGO-24810,Education,,100,430000
Syria,62,464,2023,Reserve,24820,CBPF-SYR-23-R-INGO-24820,Early Recovery,,100,249999.93
Syria,62,464,2023,Reserve,24832,CBPF-SYR-23-R-INGO-24832,Education,,100,473399.93
Syria,62,464,2023,Reserve,24836,CBPF-SYR-23-R-INGO-24836,"Water, Sanitation and Hygiene",,100,688000
Syria,62,464,2023,Reserve,24837,CBPF-SYR-23-R-INGO-24837,"Water, Sanitation and Hygiene",,100,644000
Syria,62,464,2023,Reserve,24839,CBPF-SYR-23-R-INGO-24839,Early Recovery,,100,296870.94
Syria,62,464,2023,Reserve,24842,CBPF-SYR-23-R-INGO-24842,Education,,100,311459.94
Syria,62,464,2023,Reserve,24843,CBPF-SYR-23-R-INGO-24843,Food Security,,100,250000
Syria,62,464,2023,Reserve,24875,CBPF-SYR-23-R-INGO-24875,Education,,100,404134.71
Syria,62,464,2023,Reserve,24878,CBPF-SYR-23-R-INGO-24878,Food Security,,100,300000
Syria,62,464,2023,Reserve,24901,CBPF-SYR-23-R-INGO-24901,"Water, Sanitation and Hygiene",,100,700000
Syria,62,464,2023,Reserve,24902,CBPF-SYR-23-R-INGO-24902,Early Recovery,,100,420000
Syria,62,464,2023,Reserve,24904,CBPF-SYR-23-R-INGO-24904,"Water, Sanitation and Hygiene",,100,507354.99
Syria,62,464,2023,Reserve,24905,CBPF-SYR-23-R-INGO-24905,"Water, Sanitation and Hygiene",,100,700000
