PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
62,Syria,SYR62,ERF/3558/76092/82534/2024,2024,Brunei Darussalam,37,37,Brunei Darussalam,BN,1/30/2024 12:00:00 AM,80091.07,1/30/2024 12:00:00 AM,5/30/2024 12:00:00 AM,76970.57,1/1/0001 12:00:00 AM,USD,1,USD,1.04,80091.07,80126.36,0
62,Syria,SYR62,ERF/3558/76116/82616/2023,2024,Japan,60,60,Japan,JP,2/15/2024 12:00:00 AM,300000,11/27/2023 12:00:00 AM,3/14/2024 12:00:00 AM,300000,1/1/0001 12:00:00 AM,USD,1,USD,1,300000,300000,0
62,Syria,SYR62,ERF/3558/76144/82672/2024,2024,Sida,20,22,Sweden,SE,4/2/2024 12:00:00 AM,1318639.92,2/26/2024 12:00:00 AM,4/11/2024 12:00:00 AM,1325755.58,1/1/0001 12:00:00 AM,SEK,10.54,SEK,10.56,14000000,13999978.88,0
62,Syria,SYR62,ERF/3558/76167/82706/2024,2024,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,6/23/2022 12:00:00 AM,913520.1,3/11/2024 12:00:00 AM,3/15/2024 12:00:00 AM,960307.3,1/1/0001 12:00:00 AM,GBP,0.79,GBP,0.78,750000,750000,0
62,Syria,SYR62,ERF/3558/76185/82740/2024,2024,Government of Luxembourg,10,15,Luxembourg,LU,3/25/2024 12:00:00 AM,273522.98,3/22/2024 12:00:00 AM,3/15/2024 12:00:00 AM,273522.98,1/1/0001 12:00:00 AM,EUR,0.91,EUR,0.91,250000,250000,0
62,Syria,SYR62,ERF/3558/76219/82836/2024,2024,Government of Netherlands,11,16,Netherlands,NL,6/21/2024 12:00:00 AM,4333694.47,4/12/2024 12:00:00 AM,7/1/2024 12:00:00 AM,4287245.44,1/1/0001 12:00:00 AM,EUR,0.92,EUR,0.93,4000000,4000000,0
62,Syria,SYR62,ERF/3558/76638/83260/2024,2024,Government of Spain,15,21,Spain,ES,9/25/2024 12:00:00 AM,1927312.78,4/25/2024 12:00:00 AM,9/11/2024 12:00:00 AM,1940133.04,1/1/0001 12:00:00 AM,EUR,0.93,EUR,0.9,1750000,1750000,0
62,Syria,SYR62,ERF/3558/76670/83316/2024,2024,Government of Denmark,5,8,Denmark,DK,6/20/2024 12:00:00 AM,3631609.53,5/17/2024 12:00:00 AM,7/2/2024 12:00:00 AM,3619630.71,1/1/0001 12:00:00 AM,DKK,6.91,DKK,6.91,25000000,25000789.31,0
62,Syria,SYR62,ERF/3558/77109/83838/2024,2024,Government of Norway,12,17,Norway,NO,6/25/2024 12:00:00 AM,2095836.91,5/31/2024 12:00:00 AM,7/5/2024 12:00:00 AM,2076858.88,1/1/0001 12:00:00 AM,NOK,10.82,NOK,10.59,22000000,22000166.16,0
62,Syria,SYR62,ERF/3558/77187/83882/2022,2024,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,6/23/2022 12:00:00 AM,2436053.59,6/23/2022 12:00:00 AM,10/21/2024 12:00:00 AM,2614379.08,1/1/0001 12:00:00 AM,GBP,0.82,GBP,0.77,2000000,2000000,0
62,Syria,SYR62,ERF/3558/77208/83906/2024,2024,Greece,53,53,Greece,GR,8/28/2024 12:00:00 AM,1095290.25,8/28/2024 12:00:00 AM,11/15/2024 12:00:00 AM,1060451.75,1/1/0001 12:00:00 AM,EUR,0.91,EUR,0.94,1000000,1000006,0
62,Syria,SYR62,ERF/3558/77220/83918/2024,2024,Government of Switzerland,16,24,Switzerland,CH,10/1/2024 12:00:00 AM,1189060.64,9/9/2024 12:00:00 AM,10/11/2024 12:00:00 AM,1189060.64,1/1/0001 12:00:00 AM,CHF,0.85,CHF,0.84,1000000,1000000,0
62,Syria,SYR62,ERF/3558/75390/81479/2023,2024,Government of Belgium,4,6,Belgium,BE,6/9/2023 12:00:00 AM,7510729.61,3/14/2023 12:00:00 AM,2/8/2024 12:00:00 AM,7592190.89,1/1/0001 12:00:00 AM,EUR,0.94,EUR,0.92,7000000,7000000,0
