PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
Syria,62,57,2016,Standard,SYR-16/DDA-3558/SA/FSA/NGO/2377,Food Security,,100,455242.2
Syria,62,57,2016,Standard,SYR-16/DDA-3558/SA/H/INGO/2359,Health,,100,550000
Syria,62,57,2016,Standard,SYR-16/DDA-3558/SA/H/NGO/2396,Health,,100,300353.28
Syria,62,57,2016,Standard,SYR-16/DDA-3558/SA/WASH/INGO/2357,"Water, Sanitation and Hygiene",,100,577768.01
Syria,62,132,2017,Standard,SYR-17/DDA-3558/NE Standard Allocation/FSA/NGO/7469,Food Security,,100,422889.68
Syria,62,132,2017,Standard,SYR-17/DDA-3558/NE Standard Allocation/FSA/NGO/7537,Food Security,,100,445847.6
Syria,62,132,2017,Standard,SYR-17/DDA-3558/NE Standard Allocation/S/NFI/NGO/7566,Emergency Shelter and NFI,,100,384203.67
Syria,62,132,2017,Standard,SYR-17/DDA-3558/NE Standard Allocation/WASH/NGO/7544,"Water, Sanitation and Hygiene",,100,353528
Syria,62,151,2018,Standard,SYR-18/DDA-3558/SA/H/NGO/10619,Health,,100,205479.38
Syria,62,151,2018,Standard,SYR-18/DDA-3558/SA/H/NGO/10623,Health,,100,249952
Syria,62,151,2018,Standard,SYR-18/DDA-3558/SA/S/NFI/NGO/10689,Emergency Shelter and NFI,,100,1298040.54
Syria,62,152,2018,Reserve,SYR-18/DDA-3558/RA1/FSA/NGO/8831,Food Security,,100,774508.8
Syria,62,152,2018,Reserve,SYR-18/DDA-3558/RA1/P-S/NFI-WASH/NGO/8837,Emergency Shelter and NFI,,25,214535
Syria,62,152,2018,Reserve,SYR-18/DDA-3558/RA1/P-S/NFI-WASH/NGO/8837,Protection,NFIs,50,429070
Syria,62,152,2018,Reserve,SYR-18/DDA-3558/RA1/P-S/NFI-WASH/NGO/8837,"Water, Sanitation and Hygiene",,25,214535
Syria,62,198,2019,Reserve,SYR-19/DDA-3558/RA2/H/NGO/12580,Health,,100,753632.89
Syria,62,198,2019,Reserve,SYR-19/DDA-3558/RA2/WASH/UN/12588,"Water, Sanitation and Hygiene",,100,776874.09
Syria,62,228,2019,Reserve,SYR-19/DDA-3558/RA3/FSA/NGO/14622,Food Security,,100,454081.25
Syria,62,228,2019,Reserve,SYR-19/DDA-3558/RA3/H/INGO/14700,Health,,100,233046
Syria,62,228,2019,Reserve,SYR-19/DDA-3558/RA3/P/NGO/14572,Protection,NFIs,100,110474.29
Syria,62,228,2019,Reserve,SYR-19/DDA-3558/RA3/S/NFI/INGO/14653,Emergency Shelter and NFI,,100,297716.8
Syria,62,228,2019,Reserve,SYR-19/DDA-3558/RA3/S/NFI/NGO/14562,Emergency Shelter and NFI,,100,608599.95
Syria,62,256,2020,Reserve,SYR-20/DDA-3558/COVID 19 RA/COVID-19/INGO/15793,COVID-19,,100,510798.77
Syria,62,256,2020,Reserve,SYR-20/DDA-3558/COVID 19 RA/COVID-19/INGO/15813,COVID-19,,100,1856095.93
Syria,62,256,2020,Reserve,SYR-20/DDA-3558/COVID 19 RA/COVID-19/INGO/15822,COVID-19,,100,511742.48
Syria,62,256,2020,Reserve,SYR-20/DDA-3558/COVID 19 RA/COVID-19/INGO/15837,COVID-19,,100,528999.44
Syria,62,256,2020,Reserve,SYR-20/DDA-3558/COVID 19 RA/COVID-19/INGO/15838,COVID-19,,100,297820.52
