Year,Fund,Partner type,Direct funding,Net funding
2025,Sudan,UN Agency,4000000.6,4000000.6
2025,Sudan,International NGO,125468815.44,99928920.44
2025,Sudan,National NGO,5107637,30489429
2025,Sudan,Red Cross/Red Crescent Society,600000,137218
2025,Sudan,Others / Government,0,620885
2025,Sudan,Private Contractor,0,0
2025,CAR,UN Agency,0,0
2025,CAR,International NGO,4650000.01,3902649.01
2025,CAR,National NGO,2450000,3197351
2025,CAR,Red Cross/Red Crescent Society,0,0
2025,CAR,Others / Government,0,0
2025,CAR,Private Contractor,0,0
2025,South Sudan,UN Agency,13555236.59,13555236.59
2025,South Sudan,International NGO,11088438.83,10266493.83
2025,South Sudan,National NGO,19782139.67,20604084.67
2025,South Sudan,Red Cross/Red Crescent Society,0,0
2025,South Sudan,Others / Government,0,0
2025,South Sudan,Private Contractor,0,0
2025,Somalia,UN Agency,249148.93,249148.93
2025,Somalia,International NGO,11669116.06,11717116.06
2025,Somalia,National NGO,40277390.34,40229390.34
2025,Somalia,Red Cross/Red Crescent Society,0,0
2025,Somalia,Others / Government,0,0
2025,Somalia,Private Contractor,0,0
2025,Afghanistan,UN Agency,12008818.62,10547165.62
2025,Afghanistan,International NGO,35330884.11,34788354.11
2025,Afghanistan,National NGO,26099040.23,28103223.23
2025,Afghanistan,Red Cross/Red Crescent Society,0,0
2025,Afghanistan,Others / Government,0,0
2025,Afghanistan,Private Contractor,0,0
2025,DRC,UN Agency,350000,154515
2025,DRC,International NGO,9450000.22,7838595.220000001
2025,DRC,National NGO,12846566.35,14653456.35
2025,DRC,Red Cross/Red Crescent Society,350000,350000
2025,DRC,Others / Government,0,0
2025,DRC,Private Contractor,0,0
2025,Colombia,UN Agency,0,0
2025,Colombia,International NGO,0,0
2025,Colombia,National NGO,0,0
2025,Colombia,Red Cross/Red Crescent Society,0,0
2025,Colombia,Others / Government,0,0
2025,Colombia,Private Contractor,0,0
2025,Ethiopia,UN Agency,0,0
2025,Ethiopia,International NGO,11905226.92,11238832.92
2025,Ethiopia,National NGO,32295633.76,32962027.760000005
2025,Ethiopia,Red Cross/Red Crescent Society,0,0
2025,Ethiopia,Others / Government,0,0
2025,Ethiopia,Private Contractor,0,0
2025,Haiti,UN Agency,0,0
2025,Haiti,International NGO,0,0
2025,Haiti,National NGO,0,0
2025,Haiti,Red Cross/Red Crescent Society,0,0
2025,Haiti,Others / Government,0,0
2025,Haiti,Private Contractor,0,0
2025,Myanmar,UN Agency,169638.87,169638.87
2025,Myanmar,International NGO,16291182.31,6363889.3100000005
2025,Myanmar,National NGO,19387561.79,28247460.79
2025,Myanmar,Red Cross/Red Crescent Society,0,0
2025,Myanmar,Others / Government,0,1067394
2025,Myanmar,Private Contractor,0,0
2025,Pakistan,UN Agency,0,0
2025,Pakistan,International NGO,0,0
2025,Pakistan,National NGO,0,0
2025,Pakistan,Red Cross/Red Crescent Society,0,0
2025,Pakistan,Others / Government,0,0
2025,Pakistan,Private Contractor,0,0
2025,Syria,UN Agency,7280545.83,5008630.83
2025,Syria,International NGO,28816361.44,28310987.44
2025,Syria,National NGO,12436876.81,15214165.81
2025,Syria,Red Cross/Red Crescent Society,1123827.63,1123827.63
2025,Syria,Others / Government,0,0
2025,Syria,Private Contractor,0,0
2025,Yemen,UN Agency,6392179.38,5973011.38
2025,Yemen,International NGO,2853526.55,2853526.55
2025,Yemen,National NGO,13376377.62,13765116.62
2025,Yemen,Red Cross/Red Crescent Society,0,0
