PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
81,Ukraine,UKR81,ERF/UKR_CBPF/76081/82501/2024,2024,Government of Canada,119,7,Canada,CA,2/20/2024 12:00:00 AM,2954209.75,1/22/2024 12:00:00 AM,2/26/2024 12:00:00 AM,2948034.99,1/1/0001 12:00:00 AM,CAD,1.34,CAD,1.36,4000000,4000483.48,0
81,Ukraine,UKR81,ERF/UKR_CBPF/76106/82548/2024,2024,IRISH AID,23,13,Ireland,IE,10/7/2024 12:00:00 AM,5592841.16,2/2/2024 12:00:00 AM,10/14/2024 12:00:00 AM,5592841.16,1/1/0001 12:00:00 AM,EUR,0.92,EUR,0.89,5000000,5000000,0
81,Ukraine,UKR81,ERF/UKR_CBPF/76114/82557/2024,2024,PRIVATE SECTOR,17,19,PRIVATE SECTOR,UNF,2/8/2024 12:00:00 AM,500,2/8/2024 12:00:00 AM,2/12/2024 12:00:00 AM,500,1/1/0001 12:00:00 AM,USD,1,USD,1,500,500,0
81,Ukraine,UKR81,ERF/UKR_CBPF/76124/82642/2024,2024,Sida,20,22,Sweden,SE,3/11/2024 12:00:00 AM,3285341.58,2/14/2024 12:00:00 AM,3/19/2024 12:00:00 AM,3282834.91,1/1/0001 12:00:00 AM,SEK,10.41,SEK,10.36,34000000,34000321.12,0
81,Ukraine,UKR81,ERF/UKR_CBPF/76128/82651/2024,2024,Government of Belgium,4,6,Belgium,BE,5/23/2024 12:00:00 AM,7559395.25,2/16/2024 12:00:00 AM,6/3/2024 12:00:00 AM,7583965.33,1/1/0001 12:00:00 AM,EUR,0.93,EUR,0.92,7000000,7000000,0
81,Ukraine,UKR81,ERF/UKR_CBPF/76132/82655/2024,2024,New Zealand,80,80,New Zealand,NZ,3/26/2024 12:00:00 AM,1539408.87,2/20/2024 12:00:00 AM,4/3/2024 12:00:00 AM,1485250,1/1/0001 12:00:00 AM,NZD,1.65,NZD,1.68,2500000,2499675.75,0
81,Ukraine,UKR81,ERF/UKR_CBPF/76147/82675/2024,2024,Government of Finland,6,10,Finland,FI,4/25/2024 12:00:00 AM,5364806.87,2/20/2024 12:00:00 AM,7/5/2024 12:00:00 AM,5359056.81,1/1/0001 12:00:00 AM,EUR,0.93,EUR,0.93,5000000,5000000,0
81,Ukraine,UKR81,ERF/UKR_CBPF/76175/82722/2024,2024,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,3/15/2024 12:00:00 AM,2688860.44,3/15/2024 12:00:00 AM,3/26/2024 12:00:00 AM,2688860.44,1/1/0001 12:00:00 AM,GBP,0.78,GBP,0.78,2100000,2100000,0
81,Ukraine,UKR81,ERF/UKR_CBPF/76185/82743/2024,2024,Government of Luxembourg,10,15,Luxembourg,LU,3/25/2024 12:00:00 AM,273522.98,3/22/2024 12:00:00 AM,3/15/2024 12:00:00 AM,273522.98,1/1/0001 12:00:00 AM,EUR,0.91,EUR,0.91,250000,250000,0
81,Ukraine,UKR81,ERF/UKR_CBPF/76219/82835/2024,2024,Government of Netherlands,11,16,Netherlands,NL,6/21/2024 12:00:00 AM,16251354.28,4/12/2024 12:00:00 AM,7/1/2024 12:00:00 AM,16077170.42,1/1/0001 12:00:00 AM,EUR,0.92,EUR,0.93,15000000,15000000,0
