PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfId,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
Yemen,64,468,2023,Reserve,24997,CBPF-YEM-23-R-INGO-24997,Camp Coordination / Management,,46,773719.4802
Yemen,64,468,2023,Reserve,24997,CBPF-YEM-23-R-INGO-24997,Emergency Shelter and NFI,,33,555059.6271
Yemen,64,468,2023,Reserve,24997,CBPF-YEM-23-R-INGO-24997,"Water, Sanitation and Hygiene",,21,353219.7627
Yemen,64,512,2023,Reserve,26958,CBPF-YEM-23-R-INGO-26958,Protection,,100,500000
Yemen,64,512,2023,Reserve,26969,CBPF-YEM-23-R-INGO-26969,Protection,,100,500000
Yemen,64,512,2023,Reserve,26979,CBPF-YEM-23-R-INGO-26979,Protection,,100,499999.99
Yemen,64,512,2023,Reserve,26993,CBPF-YEM-23-R-INGO-26993,Protection,,100,500121.96
Yemen,64,517,2023,Reserve,27045,CBPF-YEM-23-R-INGO-27045,Nutrition,,50,500000
Yemen,64,517,2023,Reserve,27045,CBPF-YEM-23-R-INGO-27045,"Water, Sanitation and Hygiene",,50,500000
Yemen,64,517,2023,Reserve,27052,CBPF-YEM-23-R-INGO-27052,Nutrition,,61,634395.2359
Yemen,64,517,2023,Reserve,27052,CBPF-YEM-23-R-INGO-27052,"Water, Sanitation and Hygiene",,39,405596.9541
Yemen,64,517,2023,Reserve,27058,CBPF-YEM-23-R-INGO-27058,Health,,60,389999.994
Yemen,64,517,2023,Reserve,27058,CBPF-YEM-23-R-INGO-27058,Nutrition,,40,259999.996
Yemen,64,517,2023,Reserve,27063,CBPF-YEM-23-R-INGO-27063,"Water, Sanitation and Hygiene",,100,650000.03
Yemen,64,517,2023,Reserve,27074,CBPF-YEM-23-R-INGO-27074,Health,,40,399999.776
Yemen,64,517,2023,Reserve,27074,CBPF-YEM-23-R-INGO-27074,Nutrition,,30,299999.832
Yemen,64,517,2023,Reserve,27074,CBPF-YEM-23-R-INGO-27074,"Water, Sanitation and Hygiene",,30,299999.832
Yemen,64,468,2023,Reserve,24968,CBPF-YEM-23-R-NGO-24968,Camp Coordination / Management,,20,289715.284
Yemen,64,468,2023,Reserve,24968,CBPF-YEM-23-R-NGO-24968,Emergency Shelter and NFI,,60,869145.852
Yemen,64,468,2023,Reserve,24968,CBPF-YEM-23-R-NGO-24968,"Water, Sanitation and Hygiene",,20,289715.284
Yemen,64,468,2023,Reserve,24971,CBPF-YEM-23-R-NGO-24971,Emergency Shelter and NFI,,100,429956.5
Yemen,64,468,2023,Reserve,24973,CBPF-YEM-23-R-NGO-24973,"Water, Sanitation and Hygiene",,100,504997.84
Yemen,64,468,2023,Reserve,24993,CBPF-YEM-23-R-NGO-24993,Camp Coordination / Management,,43,109630.2372
Yemen,64,468,2023,Reserve,24993,CBPF-YEM-23-R-NGO-24993,"Water, Sanitation and Hygiene",,57,145323.8028
Yemen,64,468,2023,Reserve,25033,CBPF-YEM-23-R-NGO-25033,Camp Coordination / Management,,19,133855.1273
