PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
Yemen,64,0,2014,Reserve,YEM-14/X/3420/ER/S-NFI/UN/452,Emergency Shelter and NFI,,100,239679.99
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS/INGO/1362,Food Security,Gender Based Violence,100,962678
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS/INGO/1399,Food Security,Gender Based Violence,100,1012814.79
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS/INGO/1411,Food Security,Gender Based Violence,100,1955857.28
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS/UN/1316,Food Security,Gender Based Violence,100,125248945.34
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS/UN/1376,Food Security,Gender Based Violence,100,5825632.55
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-NFI/INGO/1328,Emergency Shelter and NFI,Nutrition,0,0
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-NFI/INGO/1328,Food Security,Gender Based Violence,100,825243
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-NFI/NGO/1372,Emergency Shelter and NFI,Nutrition,100,264825
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-NFI/NGO/1372,Food Security,Gender Based Violence,0,0
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-P-L/UN/1379,Food Security,Gender Based Violence,68.85,1200195.27927
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-P-L/UN/1379,Logistics,Mine Action,0,0
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-P-L/UN/1379,Protection,Livelihood,31.15,543007.74073
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-P-WASH-NFI/INGO/1395,Emergency Shelter and NFI,Nutrition,19,481900.097
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-P-WASH-NFI/INGO/1395,Food Security,Gender Based Violence,42.86,1087065.16618
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-P-WASH-NFI/INGO/1395,Protection,Livelihood,19,481900.097
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-P-WASH-NFI/INGO/1395,"Water, Sanitation and Hygiene",Gender-based Violence (GBV),19.14,485450.93982
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-WASH-P/NGO/1345,Food Security,Gender Based Violence,50,482996.395
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-WASH-P/NGO/1345,Protection,Livelihood,25,241498.1975
Yemen,64,24,2015,Reserve,YEM-15/3420/FA/FS-WASH-P/NGO/1345,"Water, Sanitation and Hygiene",Gender-based Violence (GBV),25,241498.1975
