PooledFundId,PooledFundName,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectDuration,Budget,EnvironmentMarker,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AdminLocation1TypeName,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLevel1PCode,AdminLevel1Percentage
64,Yemen,28,YEM-13/X/3420/ER/N/INGO/28,DMA-ERF-O483-O483/86,,2013,1,Reserve,Medical Emergency Relief International,International NGO,Emergency comprehensive Nutrition interventions II (CMAM/IYCF and micronutrients interventions) for children under 5 years of age (girls and boys)  and PLW,5 months & 2 weeks,123581.59,,,8/5/2013 12:00:00 AM,1/16/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,44750.4640,,,0,0,,0.00000
64,Yemen,29,YEM-13/X/3420/ER/SNS/NGO/29,DMA-ERF-O483-0483/87,,2013,1,Reserve,Nahda Makers Organization,National NGO,"Emergency support for providing safe water for Returnees people in Alshek Salem, Dahl Ahmed villages in zongobar and Almatar Village in Ahwar",3 months & 3 weeks,50000,,,8/6/2013 12:00:00 AM,12/1/2013 12:00:00 AM,Project Closure,20,,Project Closure,16,47169.4080,,,0,0,,0.00000
64,Yemen,30,YEM-13/X/3420/ER/ER/UN/30,DMA-ERF-O483-0483/88,,2013,1,Reserve,United Nations Development Programme,UN Agency,Emergency Assistance to Victims of Conflict in South Yemen,9 months,492859.12,,,8/19/2013 12:00:00 AM,5/31/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,70149.3760,,,0,0,,0.00000
64,Yemen,32,YEM-13/X/3420/ER/SNS/INGO/32,DMA-ERF-O483-048/89,,2013,1,Reserve,Oxfam GB,International NGO,Integrated WASH Emergency Response in Abyan,5 months,500000,,,8/21/2013 12:00:00 AM,1/31/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,50495.4560,,,0,0,,0.00000
64,Yemen,36,YEM-13/X/3420/ER/SNS/INGO/36,DMA-ERF-O483-0483/91,,2013,1,Reserve,Mercy Corps,International NGO,Improve the Hygiene conditions in affected schools by providing WASH facilities in Alhaima Dakhiliyah and Alhaima Kharijiyah Districts ,5 months,203263.41,,,9/15/2013 12:00:00 AM,2/20/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,45657.5680,,,0,0,,0.00000
64,Yemen,37,YEM-13/X/3420/ER/H/INGO/37,DMA-ERF-O483-0483/90,,2013,1,Reserve,Humanitarian Aid & Development,International NGO,"Primary health services, provide essential medicines through health Centres/Units and undertaking mobile clinics, capacity building for medical cadre & education teaching staff, increase hygiene awareness, provide basic personal hygiene items & learn",,476368.84,,,9/15/2013 12:00:00 AM,3/20/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,33260.4800,,,0,0,,0.00000
64,Yemen,39,YEM-13/X/3420/ER/P/NGO/39,DMA-ERF-O483-0483/93,,2013,1,Reserve,Raqeep Organization for Human Rights,National NGO,Strengthen a protective environment for the quick response and human right protection,4,192210.92,,,9/9/2013 12:00:00 AM,1/7/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,58659.3920,,,0,0,,0.00000
64,Yemen,40,YEM-13/X/3420/ER/S-NFI/INGO/40,DMA-ERF-O483-0483/92,,2013,1,Reserve,Vision Hope Internation,International NGO,Providing Humanitarian (NFI) Support and temporary shelter improvement for IDPs,4,423292.5,,,8/27/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Project Closure,20,,Project Closure,16,73173.0560,,,0,0,,0.00000
64,Yemen,49,YEM-13/X/3420/ER/ER/INGO/49,DMA-ERF-O483-0483/94,,2013,1,Reserve,Norwegian Refugee Council,International NGO,Support to the Yemeni LNGOs Capacity Building Programs.” ,2 ,151516.28,,,9/5/2013 12:00:00 AM,11/4/2013 12:00:00 AM,Project Closure,20,,Project Closure,16,49285.9840,,,0,0,,0.00000
64,Yemen,63,YEM-13/X/3420/ER/H/UN/63,DMA-ERF-O483-0483/95,,2013,1,Reserve,World Health Organization,UN Agency,"Providing essential, life-saving health services for IDPs, refugees and host community in Haradh district, Hajjah governorate.",6,499683.58,,,9/30/2013 12:00:00 AM,3/29/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,76196.7360,,,0,0,,0.00000
